Calhoun,5534,Banner,6,BANNER FIRE DEPT.,"516 HWY 9 W (FIRE DEPT.), BRUCE MS 38915",552
Calhoun,5537,Calhoun City 4,7,CALHOUN CITY FIRE DEPT.,"201 E RUSSELL AVE (FIRE DEPT.), CALHOUN CITY MS 38916",1508
Calhoun,5538,Derma # 4,8,DERMA CITY HALL,"120 S. MAIN ST. (CITY HALL), DERMA MS 38839",557
Calhoun,5544,Derma #5,9,DERMA FIRE DEPT.,"310 E LAWRENCE AVE (FIRE DEPT), DERMA MS 38878",635
Calhoun,5545,Vardaman,10,VARDAMAN FIRE DEPT.,"109 N. RUSSELL ST. (FIRE DEPT.), VARDAMAN MS 38878",1075
Carroll,1865,Calvary,1-CAL,CALVARY FIRE STATION,"5246 CR 94, GRENADA MS 38901",192
Carroll,750000006,Jefferson,1-JEF,JEFFERSON LIBERTY BC LIFE CENTER,"3819 CR 100, CARROLLTON MS 38917",211
Carroll,750000004,McCarley,1-MCC,MCANERNEY'S RESTAURANT,"4398 CR 282, MCCARLEY MS 38943",447
Carroll,750000005,North Carrollton,1-NCR,NORTH CARROLLTON CITY HALL BOARD ROOM,"114 E MAIN ST, NORTH CARROLLTON MS 38947",541
Carroll,1866,Carrollton,2-CAR,CARROLL COUNTY EXTENSION SERVICE BUILDING,"105-B E WASHINGTON ST, CARROLLTON MS 38917",481
Carroll,1874,Rays Shop,2-RAY,RAYS SHOP MT PISGAH FIRE STATION,"287 CR 41, CARROLLTON MS 38917",995
Carroll,1864,Black Hawk,3-BLH,BLACK HAWK FIRE STATION,"35031 HYW 430, COILA MS 38923",347
Carroll,1869,Gravel Hill,3-GRH,GRAVEL HILL FIRE STATION,"695 CR 23, GREENWOOD MS 38930",571
Carroll,1878,West Carroll,3-WCA,WEST CARROLL FIRE STATION,"158 CR 531, GREENWOOD MS 38930",453
Carroll,1863,430 School,4-430,430 SCHOOL PRECINCT,"22 CR 165, COILA MS 38923",361
Carroll,1868,Fire Tower,4-FTW,FIRE TOWER PRECINCT,"72 CR 296, CARROLLTON MS 38917",887
Carroll,1876,Salem,4-SLA,SALEM FIRE STATION,"45204 HWY 430, VAIDEN MS 39176",320
Carroll,1867,East Vaiden,5-EVD,EAST VAIDEN COURTROOM,"803 FRONT ST, VAIDEN MS 39176",806
Carroll,1879,West Vaiden,5-WVA,WEST VAIDEN BOARD ROOM,"803 FRONT ST, VAIDEN MS 39176",500
Chickasaw,6381,Anchor 001,ANC,ANC-ANCHOR VOTING HOUSE 001,"650 CR 416, WOODLAND MS 39776",821
Chickasaw,6382,Buena Vista 002,BV,BV-BUENA VISTA VOTING HOUSE 002,"CR 172, HOUSTON MS 38851",716
Chickasaw,6383,Egypt 003,EGT,EGT-EGYPT VOTING CENTER 003,"CR 177, OKOLONA MS 38860",523
Chickasaw,6384,East Okolona 004,EO,EO-OKOLONA CITY AUDITORIUM 004,"215 MAIN ST, OKOLONA MS 38860",1208
Chickasaw,6385,North Houlka 005,NHK,NHK-HOULKA COMMUNITY CENTER 005,"612 HWY 32 E, HOULKA MS 38850",510
Chickasaw,6386,North Okolona 006,NO,NO-OKOLONA NATIONAL GUARD ARMORY 006,"214 W MONROE AVE, OKOLONA MS 38860",770
Chickasaw,6387,Northwest Houston 007,NWH,NWH-HOUSTON NATIONAL GUARD ARMORY 007,"653 PEARL ST, HOUSTON MS 38851",1593
Chickasaw,6388,Pleasant Grove Thorn 008,PG,PG-THORN COMMUNITY CENTER 008,"106 CR 37, HOUSTON MS 38851",801
Chickasaw,6389,Pearsall 009,PSL,PSL-PEARSALL VOTING HOUSE 009,"871 CR 92, HOUSTON MS 38851",470
Chickasaw,6391,Southeast Houston 010,SEH,SEH-HOUSTON CIVIC CENTER 010,"635 STARKVILLE RD, HOUSTON MS 38851",1655
Chickasaw,6392,South Houlka 011,SHK,SHK-HOULKA COMMUNITY CENTER 011,"612 HWY 32 E, HOULKA MS 38850",821
Chickasaw,6393,Sparta 012,SPA,SPA-SPARTA OPRY HOUSE 012,"634 CR 419, WOODLAND MS 39776",323
