Jasper,6661,Philadelphia,5-31,PHILADELPHIA,"114 W PARK ST, HEIDELBERG MS 39439",462
,,,,,GRANBY FIRE DEPT,
Jeff Davis,7078,Granby 11,11,GRANBY FIRE STATION,"956 ST. STEPHENS ROAD, PRENTISS MS 39474",183
Jeff Davis,7079,South Prentiss 12,12,CITY HALL,"911 3RD STREET, PRENTISS MS 39474",861
Jeff Davis,7080,South Prentiss 13,13,COURTHOUSE,"2335 COLUMBIA AVE, PRENTISS MS 39474",667
Jeff Davis,7082,Carson 22,22,MASONIC LODGE,"466 SOUTH CARSON ROAD, CARSON MS 39427",310
Jeff Davis,7083,Green'S Creek 23,23,G C COMMUNITY BLDG,"50 CARSON BUNKERHILL ROAD, CARSON MS 39427",386
Jeff Davis,7085,Hathorn 24,24,HATHORN BAPTIST CHURCH,"153 HATHORN ROAD, COLUMBIA MS 39429",262
Jeff Davis,7086,Son'S Academy 25,25,OAKVALE FIRE DEPT 2,"4242 HWY 13 SO., OAKVALE MS 39656",300
Jeff Davis,7087,Bassfield 26,26,LIBRARY,"226 GENERAL ROBERT E BLOUNT DRIVE, BASSFIELD MS 39421",465
Jeff Davis,7088,Bassfield 31,31,HWY 42 BB FIELD A-H,"HWY 42 BASEFD, BASSFIELD MS 39421",722
Jeff Davis,7089,Bassfield 32,32,HWY 42 BB FIELD I-Z,"HWY 42 BASEFD, BASSFIELD MS 39421",778
Jeff Davis,7091,Good Hope 33,33,GOOD HOPE FIRE STATION,"491 GOODHOPE ROAD, BASSFIELD MS 39421",374
Jeff Davis,7093,Melba 34,34,HWY 42 BB FIELD,"3844 HIGHWAY 42, BASSFIELD MS 39421",114
Jeff Davis,7094,Clem 41,41,CLEM FIRE STATION,"986 CLEM ROAD, MT OLIVE MS 39119",241
,,,,,,
Jeff Davis,7096,North East Prentiss 43,43,GRANBY ROAD,"106 GRANBY ROAD, PRENTISS MS 39474",944
Jeff Davis,7097,Williamson Mill 44,44,W. M. COMMUNITY BLDG,"536 WILLIAMSON MILL ROAD, PRENTISS MS 39474",384
Jeff Davis,7099,Gwinville 51,51,SONAT RD. GWINVILLE,"649 SONAT RD, NEW HEBRON MS 39140",196
Jeff Davis,7101,Hebron 52,52,SONAT RD-HEBRON,"649 SONAT RD, NEW HEBRON MS 39140",143
Jeff Davis,7102,North West Prentiss 53,53,EZRA GARNER BLDG.,"26 AIRPORT ROAD, PRENTISS MS 39474",367
,,,,,,
Jeff Davis,7106,Whiting 56,56,DOUBLE PONDS,"675 SOPHIA SUTTON ROAD, PRENTISS MS 39474",432
Jeff Davis,7081,PURGED VOTERS,PV1,PVP,,0
Jefferson,3351,UNION CHURCH,1010,UNION CHURCH FIRE STATION,"18236 HWY 28, UNION CHURCH MS 39668",369
Jefferson,3353,HARRISTON,1020,COUNTY BUILDING A,"22 BUCK RD, FAYETTE MS 39069",314
Jefferson,3354,RED LICK,1030,RED LICK FIRE STATION,"5038 REDLICK RD, LORMAN MS 39096",442
Jefferson,3357,STAMPLEY,2010,STAMPLEY FIRE STATION,"5447 STAMPLEY RD, FAYETTE MS 39069",352
Jefferson,3358,MT. ISREAL BAPTIST CHURCH,2020,MT. ISREAL BAPTIST CHURCH,"835 HIGHWAY 33, FAYETTE MS 39069",638
Jefferson,3361,MULTIPURPOSE CENTER,3010,MULTIPURPOSE CENTER,"678 MAIN STREET, FAYETTE MS 39069",502
Jefferson,3362,CITY HALL,3020,CITY HALL AUDITORIUM,"59 MEDGAR EVERS BLVD, FAYETTE MS 39069",806
,,,,,,
Jefferson,3365,CHURCH HILL,4020,SPURGEON MASON HALL,"26 CHURCH HILL RD, NATCHEZ MS 39120",209
Jefferson,3366,OLD HOLLYWOOD CHURCH,4030,OLD HOLLYWOOD CHURCH,"77 HOLLYWOOD CHURCH, FAYETTE MS 39069",602
Jefferson,3368,LORMAN,5010,LORMAN FIRE STATION,"11516 RODNEY RD, LORMAN MS 39096",332
Jefferson,775001959,CHAMBLISS RESTAURANT,5030,CHAMBLISS'S RESTAURANT,"12687 HWY 61, FAYETTE MS 39069",778
