"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
2BET,,140,"PHIL CRUM'S SHOP
CORINTH MS 38834",HWY 2 WEST CORINTH MS 38834
2BIG,,"1,122","BIGGERSVILLE FIRE STATION
RIENZI MS 38865",531 CR 513 RIENZI MS 38865
2CEN,2nd District Central Precinct,"2,270","W. O. W. BUILDING
GLEN MS 38846",72 CR 253 GLEN MS 38846
2CH,,"1,431","AMERICAN LEGION BUILDING
CORINTH MS 38834",511 S TATE ST CORINTH MS 38834
2EC,,"2,029","FIRST PRESBYTERIAN CHURCH
FELLOWSHIP HALL
CORINTH MS 38834",8TH STREET CORINTH MS 38834
2FP,,"2,397","FARMINGTON CITY HALL
CORINTH MS 38834",4135 CR 200 CORINTH MS 38834
2GL,,"1,488","GLEN CITY HALL
GLEN MS 38846",HWY 72 EAST GLEN MS 38846
2JAC,,500,"JACINTO SENIOR CITIZEN
CENTER
RIENZI MS 38865",4 CR 375 RIENZI MS 38865
2KOS,,"2,115","L. C. FOLLIN BLUE BUILDING
KOSSUTH MS 38834",7 CR 604 KOSSUTH MS 38834
2NC,,"1,420","NORTH CORINTH BAPTIST
CHURCH FELLOWSHIP HALL
CORINTH MS 38834","3311 NORTH POLK STREET CORINTH
MS 38834"
2PC,,822,"PINECREST BAPTIST CHURCH
FELLOWSHIP HALL
CORINTH MS 38834","313 PINECREST ROAD CORINTH MS
38834"
2RIE,,"1,418","RIENZI FIRE STATION
RIENZI MS 38865",71 S FRONT ST RIENZI MS 38865
2SCO,,"2,360","JOHN ST COMMUNITY CENTER
CORINTH MS 38834",1102 S JOHN ST CORINTH MS 38834
"2SG
2UC",,"1,216
1,514","NORTH STATION FIRE & RESCUE
CORINTH MS 38834
OLD UNION CENTER SCHOOL
BLDG
WALNUT MS 38683","911 HIGHWAY 45 CORINTH MS
38834
3 CR 643 WALNUT MS 38683"
2WC,,964,"BISHOP CENTER
CORINTH MS 38834","1300 WASHINGTON ST CORINTH MS
38834"
2WEN,,"1,340","V. F. W.
CORINTH MS 38834","1 PURDY SCHOOL RD CORINTH MS
38834"
,,"24,546",Total Active Voter Count,
