"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
111,Liberty,718,"LIBERTY/HWY. 567
LIBERTY MS 39645","4354 MS HWY 567 LIBERTY MS
39645"
112,New Zion,428,"NEW ZION/SMITHDALE F.D.
SMITHDALE MS 39664",5466 FENN RD SMITHDALE MS 39664
113,Zion Hill,487,"ZION HILL/HWY. 567/COLE RD.
LIBERTY MS 39645","6075 MS HWY 567 LIBERTY MS
39645"
114,Vance Park,271,"VANCE PARK
LIBERTY MS 39645","4124 MS HWY 24 WEST LIBERTY MS
39645"
210,Amite River,436,"AMITE RIVER/LIB. ELEMENTARY
LIBERTY MS 39645","3457B S GREENSBURG RD LIBERTY
MS 39645"
211,Ariel,394,"ARIEL VOLUNTEER FIRE DEPT.
BLDG.
GLOSTER MS 39638","4250 KAHNVILLE RD GLOSTER MS
39638"
212,Berwick,486,"BERWICK/JERUSALEM BAPT.
CHURCH
LIBERTY MS 39645","3590-A JERUSALEM RD LIBERTY MS
39645"
213,East Centreville,519,"E.CENTREVILLE/HWY. 48 W
CENTREVILLE MS 39631","1299 MS HWY 48 CENTREVILLE MS
39631"
310,Crosby,271,"CROSBY/FORMER TOWN HALL
CROSBY MS 39631",106 PINE ST CROSBY MS 39631
311,Gloster,948,"GLOSTER
TRANSFER/COMPACTOR
GLOSTER MS 39638","4909 E HOMOCHITTO RD GLOSTER
MS 39638"
312,Homochitto,101,"HOMOCHITTO/MT. VERNON
CHURCH
GLOSTER MS 39638",2038 POOLE LN GLOSTER MS 39638
313,Oneil,307,"O'NEIL FIRE DEPARTMENT
GLOSTER MS 39638","5697 OXFORD MEADVILLE RD
GLOSTER MS 39638"
314,East Gloster,368,"EAST GLOSTER/GLOSTER F.D.
GLOSTER MS 39638","251 S FIRST STREET GLOSTER MS
39638"
410,East Fork,562,"EAST FORK/HWY. 24/PEORIA RD.
LIBERTY MS 39645",4330 PEORIA RD LIBERTY MS 39645
411,East Liberty,346,"EAST LIBERTY/CENTRAL REPAIR
BLDG.
LIBERTY MS 39645","720 INDUSTRIAL PARK ROAD
LIBERTY MS 39645"
412,Smithdale,494,"SMITHDALE/HWY. 570 - FENN
RD.
SMITHDALE MS 39664","6485 MS HWY 570 SMITHDALE MS
39664"
413,Tangipahoa,586,TANGIPAHOA RD/HWY. 570,"7651 MS HIGHWAY 570 SUMMIT MS
39666"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,SUMMIT MS 39666,
510,Riceville,460,"RICEVILLE/HWY. 568/PALMER
RD.
MAGNOLIA MS 39652","2505 PALMER RD MAGNOLIA MS
39652"
511,South Liberty,465,"S. LIBERTY/HARRISON BLDG.
LIBERTY MS 39645","910 OLD MCCOMB LIBERTY ROD
LIBERTY MS 39645"
512,Tickfaw,298,"TICKFAW/PEORIA ROAD
LIBERTY MS 39645",3499 PEORIA RD LIBERTY MS 39645
513,Walls,735,"WALLS/GILLSBURG VOL. F. D.
OSYKA MS 39657",6077 MS HWY 568 OSYKA MS 39657
Total Number of Precincts 21,,"9,680",Total Active Voter Count,
