"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
10,South Central,"1,083","OLD KJHS GYMN
KOSCIUSKO MS 39090","600 TIPTON STREET KOSCIUSKO MS
39090"
11,Williamsville,"1,420","COMMUNITY HOUSE
KOSCIUSKO MS 39090","WILLIAMSVILLE ROAD KOSCIUSKO
MS 39090"
20,North East,"1,807","COLISEUM
KOSCIUSKO MS 3909",HWY 12 EAST KOSCIUSKO MS 3909
22,Mccool,388,"MCCOOL FIRE STATION
MCCOOL MS 39108",HWY 407 MCCOOL MS 39108
24,Liberty Chapel,346,"MASONIC LODGE
MCCOOL MS 39108","ATTALA ROAD 2120 MCCOOL MS
39108"
25,Berea,153,"COMMUNITY HOUSE
MCCOOL MS 39108","ATTALA ROAD 3122 MCCOOL MS
39108"
30,North West,"1,027","COURTHOUSE
KOSCIUSKO MS 39090","118 WEST WASHINGTON STREET
KOSCIUSKO MS 39090"
31,North Central,356,"RIDING ARENA
KOSCIUSKO MS 3909",HWY 43 NORTH KOSCIUSKO MS 3909
33,Carmack,266,"SCHOOL BUILDING
VAIDEN MS 39176",HWY 35 NORTH VAIDEN MS 39176
34,Possumneck,273,"COMMUNITY HOUSE
WEST MS 39192",ATTALA ROAD 3003 WEST MS 39192
36,Hesterville,279,"MASONIC LODGE
KOSCIUSKO MS 39090","ATTALA ROAD 3231 KOSCIUSKO MS
39090"
40,South West,597,"BLDG BY PALESTINE CHURCH
KOSCIUSKO MS 39090","16580 HWY 14 WEST KOSCIUSKO MS
39090"
42,Newport,380,"MCDANIEL'S STORE
GOODMAN MS 39108",HWY 14 WEST GOODMAN MS 39108
43,Sallis,"1,135","SALLIS FIRE STATION
SALLIS MS 39160",FRONT STREET SALLIS MS 39160
44,Mcadams,414,"MCADAMS SCHOOL
SALLIS MS 39160","6315 ATTALA ROAD 6315 SALLIS MS
39160"
50,East,924,"JASON NILES PARK PAVILION
KOSCIUSKO MS 39090","501 KNOX ROAD KOSCIUSKO MS
39090"
51,Providence,367,"PROVIDENCE FIRE STATION
ETHEL MS 39067",ATTALA ROAD 5053 ETHEL MS 39067
52,Zama,351,ZAMA FIRE STATION,"HWY 19 SOUTH KOSCIUSKO MS
39090"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,KOSCIUSKO MS 39090,
53,Thompson,160,"HARMONY CHURCH
ETHEL MS 39067",ATTALA ROAD 5210 ETHEL MS 39067
54,Ethel,431,"ETHEL FIRE STATION
ETHEL MS 39067",MAIN STREET ETHEL MS 39067
Total Number of Precincts 20,,"12,157",Total Active Voter Count,
