"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
1-CAL,Calvary,208,"CALVARY FIRE STATION
GRENADA MS 38901",5246 CR 94 GRENADA MS 38901
1-JEF,Jefferson,216,"JEFFERSON LIBERTY BC LIFE
CENTER
CARROLLTON MS 38917",3819 CR 100 CARROLLTON MS 38917
1-MCC,McCarley,466,"MCANERNEY'S RESTAURANT
MCCARLEY MS 38943",4398 CR 282 MCCARLEY MS 38943
1-NCR,North Carrollton,541,"NORTH CARROLLTON CITY HALL
BOARD ROOM
NORTH CARROLLTON MS 38947","114 E MAIN ST NORTH CARROLLTON
MS 38947"
2-CAR,Carrollton,483,"CARROLL COUNTY EXTENSION
SERVICE BUILDING
CARROLLTON MS 38917","105-B E WASHINGTON ST
CARROLLTON MS 38917"
2-RAY,Rays Shop,"1,006","RAYS SHOP MT PISGAH FIRE
STATION
CARROLLTON MS 38917",287 CR 41 CARROLLTON MS 38917
3-BLH,Black Hawk,339,"BLACK HAWK FIRE STATION
COILA MS 38923",35031 HYW 430 COILA MS 38923
3-GRH,Gravel Hill,527,"GRAVEL HILL FIRE STATION
GREENWOOD MS 38930",695 CR 23 GREENWOOD MS 38930
3-WCA,West Carroll,459,"WEST CARROLL FIRE STATION
GREENWOOD MS 38930",158 CR 531 GREENWOOD MS 38930
4-430,430 School,355,"430 SCHOOL PRECINCT
COILA MS 38923",22 CR 165 COILA MS 38923
4-FTW,Fire Tower,928,"FIRE TOWER PRECINCT
CARROLLTON MS 38917",72 CR 296 CARROLLTON MS 38917
4-SLA,Salem,311,"SALEM FIRE STATION
VAIDEN MS 39176",45204 HWY 430 VAIDEN MS 39176
5-EVD,East Vaiden,766,"EAST VAIDEN COURTROOM
VAIDEN MS 39176",803 FRONT ST VAIDEN MS 39176
5-WVA,West Vaiden,517,"WEST VAIDEN BOARD ROOM
VAIDEN MS 39176",803 FRONT ST VAIDEN MS 39176
Total Number of Precincts 14,,"7,122",Total Active Voter Count,
