"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
ANC,Anchor 001,824,"ANC-ANCHOR VOTING HOUSE
001
WOODLAND MS 39776",650 CR 416 WOODLAND MS 39776
BV,Buena Vista 002,694,"BV-BUENA VISTA VOTING HOUSE
002
HOUSTON MS 38851",CR 172 HOUSTON MS 38851
EGT,Egypt 003,491,"EGT-EGYPT VOTING CENTER 003
OKOLONA MS 38860",CR 177 OKOLONA MS 38860
EO,East Okolona 004,"1,211","EO-OKOLONA CITY AUDITORIUM
004
OKOLONA MS 38860",215 MAIN ST OKOLONA MS 38860
NHK,North Houlka 005,488,"NHK-HOULKA COMMUNITY
CENTER 005
HOULKA MS 38850","612 HWY 32 EAST HOULKA MS
38850"
NO,North Okolona 006,723,"NO-OKOLONA NATIONAL GUARD
ARMORY 006
OKOLONA MS 38860","214 W MONROE AVE OKOLONA MS
38860"
NWH,Northwest Houston 007,"1,587","NWH-HOUSTON NATIONAL
GUARD ARMORY 007
HOUSTON MS 38851",653 PEARL ST HOUSTON MS 38851
PG,Pleasant Grove Thorn 008,803,"PG-THORN COMMUNITY CENTER
008
HOUSTON MS 38851",106 CR 37 HOUSTON MS 38851
PSL,Pearsall 009,465,"PSL-PEARSALL VOTING HOUSE
009
HOUSTON MS 38851",871 CR 92 HOUSTON MS 38851
SEH,Southeast Houston 010,"1,714","SEH-HOUSTON CIVIC CENTER
010
HOUSTON MS 38851","635 STARKVILLE RD HOUSTON MS
38851"
SHK,South Houlka 011,800,"SHK-HOULKA COMMUNITY
CENTER 011
HOULKA MS 38850",612 HWY 32 E HOULKA MS 38850
SPA,Sparta 012,309,"SPA-SPARTA OPRY HOUSE 012
WOODLAND MS 39776",634 CR 419 WOODLAND MS 39776
VV,Van Vleet 013,416,"VV-CHICKASAW COUNTY BARN
013
HOUSTON MS 38851",146 CR 412 HOUSTON MS 38851
WO,West Okolona 014,"1,062","WO-OKOLONA NATIONAL GUARD
014
OKOLONA MS 38860","214 W MONROE AVE OKOLONA MS
38860"
,,,,
