"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
1-A,County Precinct 1-A,892,"SOUTH CLAIBORNE COUNTY
MAINT. FACILITY
LORMAN MS 39096","1015 CHINA GROVE CHURCH ROAD
LORMAN MS 39096"
1-B,County Precinct 1-B,416,"ALCORN STATE UNIVERSITY
LORMAN MS 39096",1000 ASU DRIVE LORMAN MS 39096
1-C,County Precinct 1-C,0,"ALCORN STATE UNIVERSITY
ALCORN STATE MS 39096","GYMNASIUM ALCORN STATE
UNIVERSITY ALCORN STATE MS
39096"
2-A,County Precinct 2-A,622,"CLAIBORNE COUNTY FIRE
DEPARTMENT
PORT GIBSON MS 39150","410 MARKET STREET PORT GIBSON
MS 39150"
2-B,County Precinct 2-B,323,"CLAIBORNE COUNTY FIRE
DEPARTMENT
PORT GIBSON MS 39150","410 MARKET STREET PORT GIBSON
MS 39150"
3-A,County Precinct 3-A,"1,113","MULTIPURPOSE CENTER
PORT GIBSON MS 39150","1703 BRIDEWELL LANE PORT GIBSON
MS 39150"
3-B,County Precinct 3-B,49,"COMMUNITY CENTER (MID WAY)
PORT GIBSON MS 39150","10137 OLD PORT GIBSON ROAD
PORT GIBSON MS 39150"
4-A,County Precinct 4-A,477,"HERMANVILLE NUTRITION
CENTER
HERMANVILLE MS 39086","4115 HWY 18 #4 HERMANVILLE MS
39086"
4-B,County Precinct 4-B,615,"HERMANVILLE NUTRITION
CENTER
HERMANVILLE MS 39086","4115 HWY 18 #4 HERMANVILLE MS
39086"
4-C,County Precinct 4-C,0,"AMERICAN PAPER TUBE
PORT GIBSON MS 39150","1315 BRIDEWELL LANE PORT GIBSON
MS 39150"
4-D,County Precinct 4-D,106,"SECOND UNION CHURCH
UTICA MS 39175","18074 OLD PORT GIBSON RD UTICA
MS 39175"
5-A,County Precinct 5-A,668,"PATTISON FIRE STATION
PATTISON MS 39144",1047 HWY 547 PATTISON MS 39144
,,,,
