"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
1,Desoto,357,"DESOTO VFD
SHUBUTA MS 39360",157 CO. RD. 114 SHUBUTA MS 39360
11,Beaverdam,319,"BVDM VFD
SHUBUTA MS 39360","13327 CO. RD. 210 SHUBUTA MS
39360"
12,Harmony Dist. 2,419,"HARMONY 2 VFD
QUITMAN MS 39355",532 CO. RD. 282 QUITMAN MS 39355
13,Oakgrove,436,"OK GRV VOTING HOUSE
SHUBUTA MS 39360",31 CO. RD. 2661 SHUBUTA MS 39360
14,Pachuta,410,"PACHUTA SR CTZN
PACHUTA MS 39347",15387 HWY 11 N PACHUTA MS 39347
15,Souinlovie,227,"SOUINLOVIE CHURCH
ENTERPRISE MS 39330","71 CO. RD. 324 ENTERPRISE MS
39330"
18,Stonewall Dist. 3,634,"STNW 3 TOWN HALL
STONEWALL MS 39363","801 S. ERWIN RD. STONEWALL MS
39363"
2,South Quitman,"1,155","SOUTH QTM MULTI PURP BLDG
QUITMAN MS 39355","101 WESTWOOD AVE. QUITMAN MS
39355"
20,Enterprise,"1,635","ENTERPRISE VFD
ENTERPRISE MS 39330","102 HWY. 513 ENTERPRISE MS
39330"
21,HOPEWELL,197,"HOPEWELL VFD
QUITMAN MS 39355","2603 COUNTY ROAD 430 QUITMAN
MS 39355"
22,Rolling Creek,265,"RC VFD
QUITMAN MS 39355","1556 CO.RD. 345 QUITMAN MS
39355"
24,Snell,215,"SNELL VFD
MERIDIAN MS 39301","11893 CO. RD. 514 MERIDIAN MS
39301"
25,Energy,250,"ENERGY VOTING HOUSE
MERIDIAN MS 39301","8841 CO. RD. 514 MERIDIAN MS
39301"
26,Union,783,"UNION COMM CTR
MERIDIAN MS 39301",114 HWY 514 MERIDIAN MS 39301
27,North Quitman,502,"NQ 4 BOYS & GIRLS CLUB
QUITMAN MS 39355","341 NORTH JACKSON AVE. QUITMAN
MS 39355"
3,Langsdale,77,"LANGSDALE COMM CTR
SHUBUTA MS 39360","5681 CO. RD. 610 SHUBUTA MS
39360"
30,Manassa,147,"MANASSA COMM CTR
QUITMAN MS 39355","3867 CO. RD. 511 QUITMAN MS
39355"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
31,Springs,183,"SPRINGS VFD
QUITMAN MS 39355","8005 CO. RD. 511 QUITMAN MS
39355"
33,Carmichael,305,"CARM COMM CTR
QUITMAN MS 39355","4507 CO. RD. 630 QUITMAN MS
39355"
34,East Quitman,"1,590","EQ 5 BOY SCOUT HUT
QUITMAN MS 39355","301 S. JACKSON AVE. QUITMAN MS
39355"
4,Harmony Dist. 1,199,"HARM 1 MEETING PLACE
QUITMAN MS 39355",1849 HWY 18 W QUITMAN MS 39355
5,Stonewall Dist. 1,546,"STNW 1 JCJC BUILDING
STONEWALL MS 39363","1200 SOUTH ERWIN RD. STONEWALL
MS 39363"
,,,,
