"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
C,,426,"CAIRO VOTER BUILDING
CEDAR BLUFF MS 39741","447 MILLSAPS RD CEDAR BLUFF MS
39741"
CAR,,938,"CARADINE VOTER BUILDING
PRAIRIE MS 39756","7820 BRAND UNA RD PRAIRIE MS
39756"
CB,,208,"CEDAR BLUFF - COMMUNITY
CENTER
CEDAR BLUFF MS 39741","101 HENRYVILLE ROAD CEDAR BLUFF
MS 39741"
CWP,,"1,123","COUNTY COMPLEX
WEST POINT MS 39773","348 W. BROAD STREET WEST POINT
MS 39773"
EWP,,"1,796","AMERICAN LEGION HUT
WEST POINT MS 39773","183 WESTBROOK WEST POINT MS
39773"
NWP,,"1,812","RECREATION CENTER
WEST POINT MS 39773","119 WOOD STREET WEST POINT MS
39773"
P,,622,"PHEBA - VOTER BUILDING
PHEBA MS 39755","8760 HIGHWAY 50 W PHEBA MS
39755"
PB,,492,"PINE BLUFF VOTER BUILDING
MANTEE MS 39751","5206 COLONY ROAD MANTEE MS
39751"
SI,,"1,067","SILOAM - COMMUNITY CENTER
WEST POINT MS 39773","2020 HIGHWAY 47 WEST POINT MS
39773"
SWP,,"1,633","SOUTH-WEST POINT
WEST POINT MS 39773","854 E. BRAME AVE. WEST POINT MS
39773"
T,,396,"TIBBEE - FIRE STATION
WEST POINT MS 39773","3564 E. TIBBEE RD. WEST POINT MS
39773"
US,,696,"UNION STAR - FIRE STATION
WEST POINT MS 39773","5378 WAVERLY ROAD WEST POINT
MS 39773"
V,,695,"VINTON - COUNTY SHED
WEST POINT MS 39773","302 BARTON FERRY RD WEST POINT
MS 39773"
,,,,
