"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
BGA,Beauregard,773,"BEAUREGARD
WESSON MS 39191","1009 BEAUREGARD RD WESSON MS
39191"
CE,Centerpoint,"1,140","CENTERPOINT
HAZLEHURST MS 39083","1004 CENTERPOINT LN HAZLEHURST
MS 39083"
CP,Carpenter,263,"CARPENTER
UTICA MS 39175",1004 DENTVILLE RD UTICA MS 39175
CSE,Crystal Springs East,"2,758","CRYSTAL SPRINGS EAST
CRYSTAL SPRINGS MS 39059","210 LEE AVE CRYSTAL SPRINGS MS
39059"
CSN,Crystal Springs North,513,"CRYSTAL SPRINGS NORTH
CRYSTAL SPRINGS MS 39059","26031 HWY 51 CRYSTAL SPRINGS MS
39059"
CSS,Crystal Springs South,"2,566","CRYSTAL SPRINGS SOUTH
CRYSTAL SPRINGS MS 39059","200 S JACKSON ST CRYSTAL
SPRINGS MS 39059"
CSW,Crystal Springs West,"1,125","CRYSTAL SPRINGS WEST
CRYSTAL SPRINGS MS 39059","12172 NEW ZION ROAD CRYSTAL
SPRINGS MS 39059"
DV,Dentville,264,"DENTVILLE
HAZLEHURST MS 39083","11104 DENTVILLE RD HAZLEHURST
MS 39083"
GL,Gallman,"2,283","GALLMAN
HAZLEHURST MS 39083","COPIAH COUNTY FAIRGROUNDS
2040 WEST GALLMAN ROAD
HAZLEHURST MS 39083"
GTN,Georgetown North,406,"GEORGETOWN NORTH
GEORGETOWN MS 39078","6110 BRUSHY CREEK RD
GEORGETOWN MS 39078"
GTS,Georgetown South,524,"GEORGETOWN SOUTH
GEORGETOWN MS 39078","1177 RAILROAD AVE GEORGETOWN
MS 39078"
HZE,Hazlehurst East,"2,021","HAZLEHURST EAST
HAZLEHURST MS 39083","202 EAST WHITWORTH ST
HAZLEHURST MS 39083"
HZN,Hazlehurst North,232,"HAZLEHURST NORTH
HAZLEHURST MS 39083","640 GEORGETOWN ST HAZLEHURST
MS 39083"
HZS,Hazlehurst South,467,"HAZLEHURST SOUTH
HAZLEHURST MS 39083","1001 1 SIGNATURE DR HAZLEHURST
MS 39083"
HZW,Hazlehurst West,"1,686","HAZLEHURST WEST
HAZLEHURST MS 39083","122 S LOWE ST HAZLEHURST MS
39083"
MV,Martinsville,709,"MARTINSVILLE
HAZLEHURST MS 39083","12072 HWY 51 HAZLEHURST MS
39083"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
SGR,Shady Grove,503,"SHADY GROVE
HAZLEHURST MS 39083","BETHEL VFD
#2 SHADY GROVE STATION
1090 SHADY GROVE ROAD
HAZLEHURST MS 39083"
SHU,Stronghope Union,493,"STRONGHOPE UNION
WESSON MS 39191","4196 MONTICELLO RD WESSON MS
39191"
,,,,
