"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
101,Ingrams Mill,"1,418","ACI FIRE STATION #2
BYHALIA MS 38611","4735 RED BANKS RD S BYHALIA MS
38611"
102,Lewisburg East,613,"NEW PROSPECT BAPTIST
CHURCH
OLIVE BRANCH MS 38654","310 HWY 305 OLIVE BRANCH MS
38654"
103,Miller,"2,330","MINERAL WELLS UNITED
METHODIST CHURCH
OLIVE BRANCH MS 38654","5400 CENTERHILL RD OLIVE BRANCH
MS 38654"
104,Fairhaven,"2,630","OB SEVEN DAY ADVENDIST
CHURCH
OLIVE BRANCH MS 38654","10469 COLLEGE RD OLIVE BRANCH
MS 38654"
105,Olive Branch South,"3,737","MIDDLE SCHOOL GYM
OLIVE BRANCH MS 38654","6530 BLOCKER ST OLIVE BRANCH MS
38654"
106,Olive Branch North,"3,020","INTERMEDIATE SCHOOL
OLIVE BRANCH MS 38654","8631 PIGEON ROOST OLIVE BRANCH
MS 38654"
107,Hacks Cross Road,"3,186","ST. LUKE CHURCH OF GOD IN
CHRIST
OLIVE BRANCH MS 38654","7491 HACKS CROSS RD OLIVE
BRANCH MS 38654"
108,Olive Branch West,"1,375","OB SENIOR CITIZEN'S BUILDING
OLIVE BRANCH MS 38654","8800 COLLEGE ST. OLIVE BRANCH
MS 38654"
109,Cumberland,"2,404","FIRST CUMBERLAND
PRESBYTERIAN CHURCH
OLIVE BRANCH MS 38654","8061 GERMANTOWN RD OLIVE
BRANCH MS 38654"
110,Olive Branch East,"2,054","GREAT COMMISSION CHURCH
OLIVE BRANCH MS 38654","7070 RELIANCE LN OLIVE BRANCH
MS 38654"
201,Mineral Wells,"3,386","BEAUTIFUL SAVIOR LUTHERAN
CHURCH
OLIVE BRANCH MS 38654","7630 DAVIDSON RD OLIVE BRANCH
MS 38654"
202,Greenbrook North,"3,366","GRACEWOOD BAPTIST CHURCH
SOUTHAVEN MS 38672","8551 GETWELL RD N SOUTHAVEN MS
38672"
203,Desoto Central,"3,276","DESOTO CENTRAL HIGH SCHOOL
SOUTHAVEN MS 38671","2911 CENTRAL PKWY SOUTHAVEN MS
38671"
204,Greenbrook South,"4,416","SOUTHAVEN INTERMEDIATE
SCHOOL
SOUTHAVEN MS 38671","175 RASCO ROAD
SOUTHAVEN MS 38671"
205,Summershill,"3,047","SUMMERSHILL FIRE STATION
OLIVE BRANCH MS 38654","7600 PLEASANT HILL RD OLIVE
BRANCH MS 38654"
206,Pleasant Hill North,"3,497","PLEASANT HILL BAPTIST CHURCH
OLIVE BRANCH MS 38654","4046 PLEASANT HILL RD OLIVE
BRANCH MS 38654"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
207,Elmore,"2,613","CORNERSTONE CHURCH
SOUTHAVEN MS 38671","5998 ELMORE RD SOUTHAVEN MS
38671"
301,Colonial Hills,"1,344","COLONIAL HILLS CHURCH
SOUTHAVEN MS 38671","7701 HWY 51 N SOUTHAVEN MS
38671"
302,Southaven West,"2,698","JUSTICE CRT/TAX COLL BLDG
SOUTHAVEN MS 38671","8525 HIGHWAY 51 N SOUTHAVEN MS
38671"
303,Horn Lake North,"2,615","GOODMAN RD BAPTIST CHURCH
HORN LAKE MS 38637","4368 GOODMAN RD W HORN LAKE
MS 38637"
304,Southaven North,"3,080","M. R. DAVIS PUBLIC LIBRARY
SOUTHAVEN MS 38671","8554 NORTHWEST DR.
SOUTHAVEN MS 38671"
305,Walls,"2,979","WALLS LIBRARY
WALLS MS 38680","7181 DELTA BLUFF PKWY WALLS MS
38680"
306,Lake Cormorant,692,"LAKE CORMORANT MIDDLE
SCHOOL
LAKE CORMORANT MS 38641","3203 WILSON MILL ROAD LAKE
CORMORANT MS 38641"
307,Horn Lake Intermediate,"2,572","HORN LAKE INTERMEDIATE
SCHOOL
HORN LAKE MS 38637","6585 HORN LAKE RD HORN LAKE MS
38637"
