"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
011,Rocky Creek,"1,578","ROCKY CREEK FIRE DEPARTMENT
LUCEDALE MS 39452","1250 ROCKY CREEK RD LUCEDALE
MS 39452"
012,Multi Mart,339,"SENIOR CITIZENS BLDG
LUCEDALE MS 39452","7102 HWY 198 E LUCEDALE MS
39452"
013,Ward,415,"WARD FIRE DEPARTMENT
LUCEDALE MS 39452","2167 WEEKS RD LUCEDALE MS
39452"
014,Shipman,447,"SHIPMAN FIRE DEPARTMENT
LUCEDALE MS 39452","3161 SHIPMAN RD LUCEDALE MS
39452"
021,Courthouse,302,"COURTHOUSE
LUCEDALE MS 39452",355 COX ST LUCEDALE MS 39452
022,Pine Level,505,"AGRICOLA EMERGENCY SHELTER
LUCEDALE MS 39452","3161 COOKS CORNER RD LUCEDALE
MS 39452"
023,Agricola,"1,165","AGRICOLA FIRE DEPARTMENT
LUCEDALE MS 39452",6191 HWY 613 LUCEDALE MS 39452
024,Howell,536,"HOWELL COMMUNITY CENTER
LUCEDALE MS 39452","4257 HOWELL TANNER CHAPEL RD
LUCEDALE MS 39452"
025,Movella,488,"MOVELLA FIRE DEPARTMENT
LUCEDALE MS 39452",1131 HWY 613 LUCEDALE MS 39452
031,Multi-Purpose,212,"MULTI-PURPOSE BUILDING
HIGHWAY
LUCEDALE MS 39452","9146 OLD HWY 63 SOUTH LUCEDALE
MS 39452"
032,Basin,"1,293","BASIN FIRE DEPARTMENT
LUCEDALE MS 39452","1174 PLEASANT HILL CHURCH RD
LUCEDALE MS 39452"
033,Davis,479,"DAVIS COMMUNITY CENTER
LUCEDALE MS 39452","103 MUSIC MOUNTAIN RD LUCEDALE
MS 39452"
034,Barton,988,"BARTON FIRE DEPARTMENT
LUCEDALE MS 39452","2112 GRAIN ELEVATOR RD LUCEDALE
MS 39452"
041,City Hall,"1,061","CITY COURTROOM
LUCEDALE MS 39452",545 OAK ST LUCEDALE MS 39452
042,Shady Grove,"1,016","SHADY GROVE COUNTY BARN
LUCEDALE MS 39452","14204 HWY 26 W LUCEDALE MS
39452"
043,Bexley,714,"OLD BEXLEY SCHOOL
LUCEDALE MS 39452","102 BEXLEY RD N. LUCEDALE MS
39452"
044,Salem,123,"SALEM FIRE DEPARTMENT
MCLAIN MS 39456",7269 HWY 57 N. MCLAIN MS 39456
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
051,Middle School,845,"MIDDLE SCHOOL GYM
LUCEDALE MS 39452",330 CHURCH ST LUCEDALE MS 39452
052,Central,298,"CENTRAL FIRE DEPARTMENT
LUCEDALE MS 39452","4146 BASIN CENTRAL RD LUCEDALE
MS 39452"
053,Benndale,881,"BENNDALE EMERGENCY SHELTER
LUCEDALE MS 39452","5207 HWY 26 W. LUCEDALE MS
39452"
054,Broome,251,"BROOME FIRE DEPARTMENT
PERKINSTON MS 39573","8109 BROOME SCHOOL RD
PERKINSTON MS 39573"
,,,,
