"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
101,Lakeshore,"2,556","LAKESHORE
BAY ST LOUIS MS 39520","6440 LOWER BAY ROAD BAY ST
LOUIS MS 39520"
102,Arlington,624,"ARLINGTON
WAVELAND MS 39576","1119 DICKS STREET WAVELAND MS
39576"
103,Waveland East,"1,420","WAVELAND EAST
WAVELAND MS 39576","335 COLEMAN AVE WAVELAND MS
39576"
104,Pearlington,933,"PEARLINGTON
PEARLINGTON MS 39572","5265 HIGHWAY 604 PEARLINGTON
MS 39572"
205,Flat Top,"1,013","FLAT TOP
PICAYUNE MS 39466","23472 INDIAN RIDGE RD PICAYUNE
MS 39466"
206,Catahoula,215,"CATAHOULA
PICAYUNE MS 39466","10028 BROWNS RD PICAYUNE MS
39466"
207,Lee Town,"1,226","LEE TOWN
PICAYUNE MS 39466","LEE TOWN ROAD PICAYUNE MS
39466"
208,Bayou Phillip,583,"BAYOU PHILLIP
BAY ST LOUIS MS 39520","9155 HARBOR DRIVE BAY ST LOUIS
MS 39520"
209,Waveland West,"1,738","WAVELAND WEST
WAVELAND MS 39576","309 HIGHWAY 90 WAVELAND MS
39576"
210,Crane Creek,"1,202","CRANE CREEK
PERKINSTON MS 39573","30350 HIGHWAY 603 PERKINSTON
MS 39573"
311,Dedeaux,845,"DEDEAUX
PASS CHRISTIAN MS 39571","14595 VIDALIA RD PASS CHRISTIAN
MS 39571"
312,North Bay West,"1,282","NORTH BAY WEST
BAY ST LOUIS MS 39520","645 GREEN MEADOW ROAD BAY ST
LOUIS MS 39520"
313,Diamondhead East,"4,855","DIAMONDHEAD EAST
DIAMONDHEAD MS 39525","5300 DIAMONDHEAD CIRCLE
DIAMONDHEAD MS 39525"
314,Courthouse,317,"COURTHOUSE
BAY ST LOUIS MS 39520","152 MAIN STREET BAY ST LOUIS MS
39520"
415,Kiln West,"1,108","KILN WEST
KILN MS 39556",18692 HIGHWAY 43 KILN MS 39556
416,West Shoreline Park,712,"WEST SHORELINE PARK
WAVELAND MS 39576","10071 KILN WAVELAND CUTOFF RD
WAVELAND MS 39576"
417,City Hall,"1,157",CITY HALL,601 BOOKTER ST BAY ST LOUIS MS
"Precinct
Code",,"Active
Voter
Count",Polling Place,Address
,,,BAY ST LOUIS MS 39520,39520
418,,"1,634","SOUTH BAY
BAY ST LOUIS MS 39520","912 S BEACH BLVD. BAY ST LOUIS
MS 39520"
419,,987,"NORTH BAY EAST
BAY ST LOUIS MS 39520","312 HIGHWAY 90 BAY ST LOUIS MS
39520"
420,,934,"GARDEN ISLE
BAY ST LOUIS MS 39520","3068 LONGFELLOW DR BAY ST
LOUIS MS 39520"
521,,866,"EDWARDSVILLE
BAY ST LOUIS MS 39520","9998 HIGHWAY 603 BAY ST LOUIS
MS 39520"
522,,"1,118","FENTON
KILN MS 39556","2369 KILN DELISLE ROAD KILN MS
39556"
523,,806,"KILN EAST
KILN MS 39556","5380 KILN DELISLE ROAD KILN MS
39556"
524,,"1,936","DIAMONDHEAD WEST
DIAMONDHEAD MS 39525","5000 DIAMONDHEAD CIRCLE
DIAMONDHEAD MS 39525"
,,,,
,,"31,447",Total Active Voter Count,
