"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
1011,East Biloxi,"2,112","DR. FRANK GRUICH, SR.
COMMUNITY CENTER
BILOXI MS 39530","591 E HOWARD AVENUE BILOXI MS
39530"
1021,Biloxi Central,"1,938","LOPEZ QUAVE PUBLIC SAFETY
CENTER
BILOXI MS 39530",170 PORTER AVE BILOXI MS 39530
1031,Biloxi # 8,"1,479","MICHEL MIDDLE SCHOOL
BILOXI MS 39530","1400 FATHER RYAN AVENUE BILOXI
MS 39530"
1041,Biloxi Bay,"1,890","VFW POST #2434
BILOXI MS 39531",289 VETERANS AVE BILOXI MS 39531
1051,North Bay,"6,529","D'IBERVILLE CIVIC CENTER
D'IBERVILLE MS 39540","10395 AUTO MALL PKWY
D'IBERVILLE MS 39540"
1061,White Plains,"1,055","WHITE PLAINS UNITED
METHODIST CHURCH
SAUCIER MS 39574","18013 WHITE PLAINS RD SAUCIER
MS 39574"
1071,Poplar Head,405,"POPLAR HEAD METHODIST
UNITED CHURCH
SAUCIER MS 39574","13196 POPLAR HEAD RD SAUCIER MS
39574"
1081,Biloxi 10,"2,450","WEST BILOXI LIBRARY
BILOXI MS 39531",2047 PASS RD BILOXI MS 39531
1091,New Popps Ferry,"1,412","FIRST BAPTIST CHURCH BILOXI
BILOXI MS 39532","1560 POPPS FERRY RD BILOXI MS
39532"
2011,Advance,"1,636","GALILEE BAPTIST CHURCH
SAUCIER MS 39574","23004 SAUCIER ADVANCE RD
SAUCIER MS 39574"
2031,Lyman,"5,794","LYMAN COMMUNITY CENTER
GULFPORT MS 39503","13742 HIGHWAY 49 GULFPORT MS
39503"
2041,E Orange Grove,"4,140","HARRISON CENTRAL
ELEMENTARY SCHOOL
GULFPORT MS 39503","15451 DEDEAUX RD GULFPORT MS
39503"
2051,Gulfport # 4,608,"CENTRAL FIRE STATION
GULFPORT MS 39501",1515 23RD AVE GULFPORT MS 39501
2061,Gulfport # 5,"1,223","GULFPORT LITTLE THEATRE
INCORPORATED
GULFPORT MS 39501",2600 13TH AVE GULFPORT MS 39501
2071,West Mississippi City,"1,701","HERBERT WILSON RECREATION
CENTER
GULFPORT MS 39507","3225 HANCOCK AVE GULFPORT MS
39507"
