"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
01,Precinct 01,"1,219","EUDORA WELTY LIBRARY
JACKSON MS 39201",300 N STATE ST JACKSON MS 39201
02,Precinct 02,316,"PEOPLES FUNERAL HOME
JACKSON MS 39202",886 N FARISH ST JACKSON MS 39202
04,Precinct 04,595,"ROWAN MIDDLE SCHOOL
JACKSON MS 39202","136 E ASH ST
JACKSON MS 39202"
06,Precinct 06,"1,069","GOOD SAMARITAN CENTER, INC
JACKSON MS 39202","114 MILLSAPS AVE JACKSON MS
39202"
08,Precinct 08,819,"FIRE STATION #5
JACKSON MS 39202","1810 N STATE ST JACKSON MS
39202"
09,Precinct 09,"1,144","BELHAVEN COLLEGE
JACKSON MS 39202","1500 PEACHTREE ST JACKSON MS
39202"
10,Precinct 10,472,"GALLOWAY ELEMENTARY
SCHOOL
JACKSON MS 39203","186 IDLEWILD ST JACKSON MS
39203"
11,Precinct 11,551,"JACKSON MEDICAL MALL
JACKSON MS 39213","300 W WOODROW WILSON AVE
JACKSON MS 39213"
13,Precinct 13,"1,367","WALTON ELEMENTARY SCHOOL
JACKSON MS 39213","3200 BAILEY AVE JACKSON MS
39213"
14,Precinct 14,890,"FONDREN PRESBYTERIAN
CHURCH
JACKSON MS 39216","3220 OLD CANTON RD JACKSON MS
39216"
16,Precinct 16,"2,018","WOODLAND HILLS BAPTIST
CHURCH
JACKSON MS 39216","3327 OLD CANTON RD JACKSON MS
39216"
18,Precinct 18,589,"WELLS MEMORIAL UNITED METH
CHURCH
JACKSON MS 39213","2019 BAILEY AVE JACKSON MS
39213"
19,Precinct 19,630,"CHERRY GROVE MISSIONARY
BAPT. CHURCH
JACKSON MS 39203","1296 MARTIN LUTHER KING JR DR
JACKSON MS 39203"
20,Precinct 20,706,"LANIER HIGH SCHOOL
JACKSON MS 39203",833 W MAPLE ST JACKSON MS 39203
21,Precinct 21,520,"GEORGE KURTS FIELDHOUSE
JACKSON MS 39209","125 GYMNASIUM DR
(OFF BULLARD ST) JACKSON MS
39209"
22,Precinct 22,"1,667","FIRE STATION #20
JACKSON MS 39213","4445 MEDGAR EVERS BLVD JACKSON
MS 39213"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
23,Precinct 23,"1,325","MEDGAR EVERS MUNICIPAL
LIBRARY
JACKSON MS 39213","4215 MEDGAR EVERS BLVD JACKSON
MS 39213"
24,Precinct 24,910,"FRENCH ELEMENTARY SCHOOL
JACKSON MS 39209",311 JOEL AVE JACKSON MS 39209
25,Precinct 25,"1,515","RAINES ELEMENTARY SCHOOL
JACKSON MS 39209","156 FLAG CHAPEL DR JACKSON MS
39209"
26,Precinct 26,"1,847","TRUE WORSHIP MINISTRY
JACKSON MS 39209","5019 CLINTON BLVD JACKSON MS
39209"
27,Precinct 27,"1,454","GROVE PARK COMMUNITY
CENTER
JACKSON MS 39213","4126 PARKWAY AVE JACKSON MS
39213"
28,Precinct 28,"1,260","GOLDEN KEY COMMUNITY
CENTER
JACKSON MS 39213","3450 ALBERMARLE RD JACKSON MS
39213"
29,Precinct 29,741,"POWELL MIDDLE SCHOOL
JACKSON MS 39213","3655 LIVINGSTON RD JACKSON MS
39213"
30,Precinct 30,696,"FAITH PRESBYTERIAN CHURCH
JACKSON MS 39213","3255 BAILEY AVE JACKSON MS
39213"
31,Precinct 31,"1,183","JOHNSON ELEMENTARY SCHOOL
JACKSON MS 39213","1339 OAK PARK DR JACKSON MS
39213"
32,Precinct 32,754,"FIRE STATION #16
JACKSON MS 39216","1400 LAKELAND DR JACKSON MS
39216"
33,Precinct 33,"1,053","CASEY ELEMENTARY SCHOOL
JACKSON MS 39211","2101 LAKE CIRCLE JACKSON MS
39211"
34,Precinct 34,"1,689","WILLIE MORRIS LIBRARY
JACKSON MS 39211","4912 OLD CANTON RD JACKSON MS
39211"
35,Precinct 35,"1,515","SPANN ELEMENTARY SCHOOL
JACKSON MS 39211","1615 BRECON DR JACKSON MS
39211"
36,Precinct 36,"1,157","MCLEOD ELEMENTARY SCHOOL
JACKSON MS 39211","1616 SANDALWOOD PL JACKSON MS
39211"
37,Precinct 37,888,"BOYD ELEMENTARY SCHOOL
JACKSON MS 39206","4531 BROADMEADOW DR. JACKSON
MS 39206"
