"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
1A,1 Acona,684,"ACONA FIRE DEPARTMENT
LEXINGTON MS 39095","11680 ROSEBANK-MT. OLIVE RD
LEXINGTON MS 39095"
1DUR,1 Durant St Anderson,327,"1 DUR - JOHN WESLEY UM
CHURCH
DURANT MS 39063",369 BAIN STREET DURANT MS 39063
1LG,Beat 1 Lexington,"1,483","SAINTS ACADEMY- FAITH HALL
LEXINGTON MS 39095","169 HIGHWAY 17 SOUTH LEXINGTON
MS 39095"
2DG,Beat 2 Durant,944,"DURANT CITY HALL
DURANT MS 39063","253 WEST MULBERRY STREET
DURANT MS 39063"
2LEX,2 Lexington Sandhill,0,2 SUB LEX-SANDHILL,
2SD,Beat 2 Sub Durant,869,"WILLIAM SULLIVAN ELEMENTARY
SCHOOL-BAND HALL
DURANT MS 39063","14494 HWY. 51 SOUTH DURANT MS
39063"
2WL,Beat 2 West,588,"WEST CITY HALL
WEST MS 39192",114 GREEN STREET WEST MS 39192
3C,Beat 3 Coxburg (A-Z),206,"COXBURG COMMUNITY CENTER
LEXINGTON MS 39095","4298 EBENEZER-COXBURG RD
LEXINGTON MS 39095"
3E,Beat 3 Ebenezer (A-Z),365,"EBENEZER FIRE DEPARTMENT
LEXINGTON MS 39095","115 HIGHWAY 14 LEXINGTON MS
39095"
3GK,Beat 3 Goodman,860,"GOODMAN NUTRITION BUILDING
GOODMAN MS 39079","9982 MAIN STREET GOODMAN MS
39079"
3PL,Beat 3 Pickens,"1,037","PICKENS POLICE DEPARTMENT
PICKENS MS 39146","163 NORTH SECOND STREET
PICKENS MS 39146"
4LG,Beat 4 Lexington,"1,973","SAINTS ACADEMY B. S. LYLES
AUDITORIUM
LEXINGTON MS 39095","200 COURT SQUARE LEXINGTON MS
39095"
4T,Beat 4 Thornton (A-Z),451,"THORNTON FIRE DEPT
TCHULA MS 39169","591 TOLARSVILLE ROAD TCHULA MS
39169"
4WC,Beat 4 Walden Chapel (A-Z,271,"WALDEN CHAPEL CHURCH
GOODMAN MS 39079","308 FRANKLIN ROAD GOODMAN MS
39079"
5C,Beat 5 Cruger (A-Z),359,"CRUGER NEW TOWN HALL
CRUGER MS 38924","225 RAILROAD STREET CRUGER MS
38924"
5L,Beat 5 Lexington (A-Z),662,"LEXINGTON LIBRARY
LEXINGTON MS 39095","208 TCHULA STREET LEXINGTON MS
39095"
5TJ,Beat 5 Tchula,"1,976",SENIOR CITIZENS BUILDING,"80 SCHOOL STREET TCHULA MS
39169"
