"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
1010,Fourmile North - 1fn 1010,50,"FOURMILE STORE
BELZONI MS 39038","EMERGENCY MNGMT-YMD LEVEE
DIST
49 LAKE RD BELZONI MS 39038"
1020,Belzoni North - 1bn 1020,"1,212","GREEN GROVE CHURCH
BELZONI MS 39038",603 CHURCH ST BELZONI MS 39038
2010,Isola North - 2in 2010,858,"CITY HALL/MULTI-PURP
ISOLA MS 38754",203 JULIA ST ISOLA MS 38754
2020,Belzoni North - 2bn 2020,363,"HEALTH DEPARTMENT - DHS
BELZONI MS 39038","16735 HIGHWAY 49N BELZONI MS
39038"
2030,Gooden Lake North - 2gn 2030,64,"GOODEN LAKE VOTING
BUILDING
BELZONI MS 39038","3106 SIXTEEN SECTION RD BELZONI
MS 39038"
3010,Belzoni South - 3bs 3010,516,"MULTI-PURPOSE BUILDING
BELZONI MS 39038","318 SILVER CITY RD BELZONI MS
39038"
3020,Silver City South - 3ss 3020,454,"COUNTY BARN
SILVER CITY MS 39166",31 EAST ST SILVER CITY MS 39166
3030,Lake City South - 3ls 3030,100,"LAKE CITY VOTING BUILDING
YAZOO CITY MS 39194","18 ED HARKINS RD YAZOO CITY MS
39194"
4010,Belzoni - 4010,"1,153","COURTHOUSE
BELZONI MS 39038","102 CASTLEMAN STREET BELZONI
MS 39038"
4030,Putnam South - 4ps 4030,213,"PUTNAM VOTING BUILDING
BELZONI MS 39038","18 ROB HOWARD RD BELZONI MS
39038"
5010,Belzoni South - 5bs 5010,459,"WESTGATE OFFICE BUILDING
BELZONI MS 39038","148 WILSON CIRCLE BELZONI MS
39038"
5020,Midnight South - 5ms 5020,177,"MIDNIGHT VOTING BUILDING
MIDNIGHT MS 39117",49 OXMEAD RD MIDNIGHT MS 39117
,,,,
