"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
0101,Hwy 57,464,"VOLUNTEER FIRE DEPT STATION
#2B
VANCLEAVE MS 39565",17400 HWY 57 VANCLEAVE MS 39565
,,,,
,,,,
,,,,
0108,Big Point,"2,357","BIG POINT COMMUNITY
SHELTER
MOSS POINT MS 39562","18413 HWY. 613 MOSS POINT MS
39562"
0110,Escatawpa,"3,456","ESCATAWPA COMMUNITY
CENTER
MOSS POINT MS 39563","4107 JAMESTOWN RD MOSS POINT
MS 39563"
0111,Carterville,181,"DAISY VESTRY COMMUNITY
CENTER
VANCLEAVE MS 39565","25900 SCHOOLHOUSE RD
VANCLEAVE MS 39565"
0113,Orange Grove,"1,213","ORANGE GROVE COMMUNITY
CENTER
MOSS POINT MS 39562","9313 OLD STAGE RD MOSS POINT MS
39562"
,,,,
,,,,
0205,YMBC-Dantzler,"1,611","YOUNG MEN'S BUS. CLUB,
DANTZLER
MOSS POINT MS 39563","3406 DANTZLER ST MOSS POINT MS
39563"
0208,Jefferson Street,"2,447","JUSTICE COURT BLDG ON JEFF.
ST.
MOSS POINT MS 39563","5343 JEFFERSON AV MOSS POINT MS
39563"
,,,,
,,,,
0304,Sacred Heart,"2,303","RESURRECTION ELEMENTARY
SCHOOL
PASCAGOULA MS 39581","3704 QUINN DR PASCAGOULA MS
39581"
,,,,
0307,Presbyterian,"1,419",FIRST PRESBYTERIAN CHURCH,1819 PASCAGOULA ST PASCAGOULA
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,PASCAGOULA MS 39567,MS 39567
0309,North Pascagoula,530,"OASIS CHURCH GULF COAST
PASCAGOULA MS 39567","4007 PASCAGOULA ST PASCAGOULA
MS 39567"
0310,Gautier,"7,046","CONVENTION CTR,COMMUNITY
COLLEGE
GAUTIER MS 39553",2012 LIBRARY LN GAUTIER MS 39553
0311,Hickory Hills,"2,335","MARTIN BLUFF BAPTIST CHURCH
GAUTIER MS 39553","7417 MARTIN BLUFF RD GAUTIER MS
39553"
0401,Villa Maria,507,"VILLA MARIA RETIREMENT APTS
OCEAN SPRINGS MS 39564","921 PORTER ST OCEAN SPRINGS MS
39564"
0402,OS Community Ctr,319,"OCEAN SPRINGS COMMUNITY
CENTER
OCEAN SPRINGS MS 39564","512 WASHINGTON AV OCEAN
SPRINGS MS 39564"
0403,OS Armory,"2,285","OCEAN SPRINGS ARMORY
OCEAN SPRINGS MS 39564","712 PINE DR OCEAN SPRINGS MS
39564"
0406,St Martin,"3,661","ST MARTIN COMMUNITY CENTER
BILOXI MS 39532","15008 LEMOYNE BLVD BILOXI MS
39532"
0407,Latimer,"3,431","LATIMER COMMUNITY HOUSE
VANCLEAVE MS 39565","10908 TUCKER RD VANCLEAVE MS
39565"
0408,Larue,311,"LARUE COMMUNITY CENTER
VANCLEAVE MS 39565","19400 LARUE RD VANCLEAVE MS
39565"
0409,West Jackson,"3,941","WEST JACKSON CO SAFE ROOM
OCEAN SPRINGS MS 39564","13000 WALKER ROAD
OCEAN SPRINGS MS 39564"
0503,Fontainebleau,"4,223","FONTAINEBLEAU COMMUNITY
HOUSE
OCEAN SPRINGS MS 39564","3901 HWY 57 OCEAN SPRINGS MS
39564"
0504,Gulf Park Estates,"3,174","WESLEY UNITED METHODIST
CHURCH
OCEAN SPRINGS MS 39564","8900 OLD SPANISH TRAIL OCEAN
SPRINGS MS 39564"
0505,OS Civic Ctr,"4,225","OCEAN SPRINGS CIVIC CENTER
OCEAN SPRINGS MS 39564","3730 BIENVILLE BLVD OCEAN
SPRINGS MS 39564"
0507,South Vancleave,"3,094","CENTRAL JC COMM. SAFE ROOM
VANCLEAVE MS 39565","5500 BALL PARK ROAD VANCLEAVE
MS 39565"
0508,Grace Baptist Church,"3,192","GRACE BAPTIST CHURCH
OCEAN SPRINGS MS 39564","3707 BIENVILLE BLVD. OCEAN
SPRINGS MS 39564"
