"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
1-12,Antioch,340,"ANTIOCH
LOUIN MS 39338",2245 HWY 18 LOUIN MS 39338
1-22,Holders,684,"HOLDERS
BAY SPRINGS MS 39422","1230 HWY 528 BAY SPRINGS MS
39422"
1-32,Moss,924,"MOSS
LAUREL MS 39443",1203 C R 8 LAUREL MS 39443
1-42,Palestine,93,"PALESTINE
LOUIN MS 39338",992 C R 20 LOUIN MS 39338
2-11,Paulding,"1,021","PAULDING
PAULDING MS 39348",1778 HWT 503 PAULDING MS 39348
2-21,Fellowship,104,"FELLOWSHIP
HICKORY MS 39332",3 C R 2424 HICKORY MS 39332
2-31,Midway,333,"MIDWAY
NEWTON MS 39345",2509 C R 24 NEWTON MS 39345
2-41,Rose Hill,464,"ROSE HILL
ROSE HILL MS 39356",31 C R 5131 ROSE HILL MS 39356
2-51,Vossburg,294,"VOSSBURG
VOSSBURG MS 39366",630 C R 39 VOSSBURG MS 39366
3-12,Bay Springs Beat 3,"1,063","BAY SPRINGS BEAT-3
BAY SPRINGS MS 39422",61 C R 1521 BAY SPRINGS MS 39422
3-32,Louin,711,"LOUIN
LOUIN MS 39338",4242 HWY 15 LOUIN MS 39338
3-42,Montrose,387,"MONTROSE
LOUIN MS 39338",383 C R 20 LOUIN MS 39338
4-12,Bay Springs Beat 4,"1,051","BAY SPRINGS BEAT-4
BAY SPRINGS MS 39422","27 W 8 TH AVE BAY SPRINGS MS
39422"
4-22,Stringer,"1,243","STRINGER
STRINGER MS 39481",1128 HWY 15 STRINGER MS 39481
5-11,Heidelberg,"1,333","HEIDELBERG
HEIDELBERG MS 39439","114 W PARK ST HEIDELBERG MS
39439"
5-21,Claiborne,580,"CLAIBORNE
HEIDELBERG MS 39439",3185 C R 8 HEIDELBERG MS 39439
,,,,
