"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
101,Oxford 1,"4,433","OXFORD PARK COMMISSION
OFFICE
OXFORD MS 38655","310 S. 15TH STREET OXFORD MS
38655"
102,Denmark-Laf Springs-Pine Bluff,661,"FIRE STATION #11 (LAFAYETTE
SPRINGS)
OXFORD MS 38655","11 COUNTY RD 287 OXFORD MS
38655"
103,Yocona Community Center,754,"YOCONA COMMUNITY CENTER
OXFORD MS 38655",826 HWY 334 OXFORD MS 38655
201,Oxford 2,"6,373","OXFORD CONFERENCE CT
OXFORD MS 38655","102 ED PERRY BLVD OXFORD MS
38655"
202,Philadelphia,295,"PHILADELPHIA COMMUNITY
CENTER
ETTA MS 38627",1303 HWY 30 EAST ETTA MS 38627
301,Oxford 3,"2,926","STONE RECREATION CENTER
OXFORD MS 38655","423 WASHINGTON AVE OXFORD MS
38655"
302,Abbeville,"1,348","ABBEVILLE TOWN HALL
ABBEVILLE MS 38601","8 BUSINESS 7 SOUTH ABBEVILLE MS
38601"
303,College Hill,"2,076","COLLEGE HILL COMMUNITY
CENTER
OXFORD MS 38655","10 COUNTY ROAD 130 OXFORD MS
38655"
304,Taylor 3,789,"TAYLOR COMMUNITY CENTER
TAYLOR MS 38673",78 FIRST ST TAYLOR MS 38673
401,Oxford 4,"4,375","LAFAYETTE CIVIC CLUB
OXFORD MS 38655","14 TOMMIE COLLIE JANE RD OXFORD
MS 38655"
402,Burgess,535,"BURGESS (OASIS CHURCH)
OXFORD MS 38655","861 HIGHWAY 6 WEST OXFORD MS
38655"
403,Anchor-Taylor 4,661,"ANCHOR TAYLOR (GREEN'S
SHOP)
WATER VALLEY MS 38965","177 COUNTY ROAD 376 WATER
VALLEY MS 38965"
404,Harmontown,636,"FIRE STATION #1
(HARMONTOWN)
COMO MS 38619",599 HIGHWAY 310 COMO MS 38619
405,Union West 4,373,"FIRE STATION #16 (UNION
WEST)
OXFORD MS 38655","823 COUNTY ROAD 313 OXFORD MS
38655"
501,Oxford 5,"2,909","LAF. CO HEALTH DEPT.-HWY 7 S
OXFORD MS 38655","101 CENTER RIDGE DR (HWY 7
SOUTH) OXFORD MS 38655"
502,Paris,324,"FIRE STATION #14 (PARIS)
PARIS MS 38949","31 COUNTY ROAD 430 PARIS MS
38949"
503,Tula,386,FIRE STATION #6 (TULA),"153 COUNTY ROAD 436 OXFORD MS
38655"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,,
