"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
111,Lamar Park,"1,632","LAMAR PARK COMMUNITY
CENTER
HATTIESBURG MS 39402","226 PINEWOOD DR HATTIESBURG MS
39402"
112,Okahola,613,"OKAHOLA COMMUNITY CENTER
PURVIS MS 39475","59 OLD OKAHOLA SCHOOL RD
PURVIS MS 39475"
114,Richburg,"2,049","RICHBURG COMMUNITY CENTER
HATTIESBURG MS 39402","324 SANDY RUN RD HATTIESBURG
MS 39402"
118,Northeast Lamar,"1,565","OLD MAC MCKAY FIRE HALL
HATTIESBURG MS 39402","662 WEATHERSBY RD
HATTIESBURG MS 39402"
221,Lumberton,"1,508","BEN BARRETT COMMUNITY
CENTER
LUMBERTON MS 39455","746 EAST MAIN AVE LUMBERTON MS
39455"
222,South Purvis,"1,976","SOUTH PURVIS COMMUNITY
CENTER
PURVIS MS 39475","829 MARTIN LUTHER KING DR
PURVIS MS 39475"
223,Yawn,296,"YAWN COMMUNITY CENTER
LUMBERTON MS 39455","254 YAWN SCHOOL RD LUMBERTON
MS 39455"
235,Wesley Manor,"1,284","WESLEY MANOR RETIREMENT
CENTER
HATTIESBURG MS 39402","246 WESTOVER DR HATTIESBURG MS
39402"
240,Westover,645,"ARNOLD LINE WATER ASSN
HATTIESBURG MS 39402","4901 W 4TH ST HATTIESBURG MS
39402"
313,Pine Grove,585,"PINE GROVE COMMUNITY
CENTER
PURVIS MS 39475","638 PURVIS OLOH RD PURVIS MS
39475"
331,Baxterville,447,"BAXTERVILLE COMMUNITY
CENTER
LUMBERTON MS 39455",5535 HWY 13 LUMBERTON MS 39455
332,Greenville,944,"GREENVILLE COMMUNITY
CENTER
LUMBERTON MS 39455","2721 PURVIS COLUMBIA RD
LUMBERTON MS 39455"
333,Purvis,"2,228","PURVIS COMMUNITY CENTER
PURVIS MS 39475","112 SHELBY SPEIGHTS DR PURVIS
MS 39475"
341,Arnold Line,"1,058","ARNOLD LINE COMMUNITY
CENTER
HATTIESBURG MS 39402","345 HEGWOOD RD HATTIESBURG MS
39402"
342,Mill Creek,584,"MILL CREEK COMMUNITY CENTER
PURVIS MS 39475",4403 OLD HWY 11 PURVIS MS 39475
442,Midway,"1,762","MIDWAY COMMUNITY CENTER
HATTIESBURG MS 39402","1166 OLD HWY 24 HATTIESBURG MS
39402"
443,Oak Grove,"1,982",OAK GROVE COMMUNITY CENTER,4956 OLD HWY 11 HATTIESBURG MS
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,HATTIESBURG MS 39402,39402
444,Lake Serene,"2,798","LAKE SERENE CLUBHOUSE
HATTIESBURG MS 39402","256 W LAKE RD HATTIESBURG MS
39402"
446,Kingsmill,"1,563","KINGSMILL COMMUNITY CENTER
HATTIESBURG MS 39402","5874 W 4TH ST HATTIESBURG MS
39402"
551,Breland,"2,823","BRELAND COMMUNITY CENTER
HATTIESBURG MS 39402","1349 JACKSON RD HATTIESBURG MS
39402"
552,Oloh,798,"OLOH COMMUNITY CENTER
SUMRALL MS 39482",45 OLOH RD SUMRALL MS 39482
553,Rocky Branch,768,"ROCKY BRANCH COMMUNITY
CENTER
SUMRALL MS 39482","2646 ROCKY BRANCH RD SUMRALL
MS 39482"
,,,,
