"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
1,Courthouse A-Z,"1,423","COURTHOUSE
MONTICELLO MS 39654","517 EAST BROAD STREET
MONTICELLO MS 39654"
10,Tilton,238,"TILTON FIRE DEPARTMENT
JAYESS MS 39641","213 GIVENS MULLINS ROAD JAYESS
MS 39641"
11,Topeka,376,"TOPEKA FIRE DEPT.
JAYESS MS 39641",21 BISMARK ROAD JAYESS MS 39641
12,Armory,155,"NATIONAL GUARD ARMORY
MONTICELLO MS 39654","62 OLD HWY 27 NORTH MONTICELLO
MS 39654"
13,Grange,259,"COLEMANS CHAPEL CHURCH
SILVER CREEK MS 39663","4656 HWY 43 SILVER CREEK MS
39663"
14,Hooker,258,"PEARL RIVER BAPTIST CHURCH
SILVER CREEK MS 39663","24 PEARL RIVER ROAD SILVER CREEK
MS 39663"
15,New Hebron,524,"NEW HEBRON FIRE STATION
NEW HEBRON MS 39140","408-A JEFFERSON STREET NEW
HEBRON MS 39140"
16,Stringer,413,"NORTH PLEASANT HILL FIRE
DEPT
NEW HEBRON MS 39140","372 NORTH PLEASANT HILL ROAD
NEW HEBRON MS 39140"
18,Monticello-Beat 5,154,"FIRST BAPTIST CHURCH
MONTICELLO MS 39654","188 CHURCH STREET MONTICELLO
MS 39654"
2,Nola,71,"NOLA VOTING BUILDING
SONTAG MS 39665","137 SONTAG NOLA ROAD SONTAG
MS 39665"
20,Oakvale,158,"OAKVALE FIRE DEPARTMENT
OAKVILLE MS 39656","368 THIRD AVENUE OAKVILLE MS
39656"
21,Peyton Town,187,"DOERS OF THE WORD MISSION
MONTICELLO MS 39654","95 OAK GROVE ROAD MONTICELLO
MS 39654"
24,West District 1,205,"329 FORD CALCOTE
MONTICELLO MS 39654","329 FORD CALCOTE ROAD
MONTICELLO MS 39654"
27,Nola 91,79,NOLA 91 VOTING BUILDING,
28,Wanilla 91,66,WANILLA 91 FIRE DEPT.,
29,Arm,558,"EAST ARM FIRE DEPARTMENT
SILVER CREEK MS 39663","24 ARM CEMETARY ROAD SILVER
CREEK MS 39663"
3,Oma,429,OMA VOL. FIRE DEPT,"1218 MONTICELLO ROAD
MONTICELLO MS 39654"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,MONTICELLO MS 39654,
30,Silver Creek,492,"U.P.W.I. UNION HALL
SILVER CREEK MS 39663","3186 SOUTHERN AVENUE SILVER
CREEK MS 39663"
4,Sontag,451,"COMMUNITY CENTER (SONTAG)
SONTAG MS 39665","946 SONTAG NOLA ROAD SONTAG
MS 39665"
5,Wanilla,89,"WANILLA FIRE DEPARTMENT
MONTICELLO MS 39654","969 SMITH FERRY ROAD
MONTICELLO MS 39654"
6,West Monticello (A-Z),713,"V.F.W. BUILDING
MONTICELLO MS 39654","32 ROCK HILL ROAD MONTICELLO MS
39654"
7,Center,199,"CENTER FIRE DEPARTMENT
MONTICELLO MS 39654","278 EAST LINCOLN ROAD
MONTICELLO MS 39654"
8,Coopers Creek (A-Z),581,"TOPEKA-TILTON SCHOOL
MONTICELLO MS 39654",853 HWY 27 MONTICELLO MS 39654
,,,,
