"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
CONWA,Conway,672,"CONWAY/D2
CARTHAGE MS 39051","VOTING HOUSE
3201 CONWAY RD CARTHAGE MS
39051"
E CAR,East Carthage,870,"EAST CARTHAGE/D1
CARTHAGE MS 39051","TRINITY BAPTIST CHURCH
308 OAKHILL DRIVE CARTHAGE MS
39051"
EDINB,Edinburg,608,"EDINBURG/D1
CARTHAGE MS 39051","PINE GROVE CHURCH
91 ADAMS RD CARTHAGE MS 39051"
FREEN,Freeny,836,"FREENY/D4
CARTHAGE MS 39051","VOTING HOUSE
3503 FREENY RD CARTHAGE MS
39051"
GOOD,Good Hope,820,"GOOD HOPE/D4
LENA MS 39094","SW LEAKE WATER ASSN. BLDG.
991 PLEASANT HILL RD LENA MS
39094"
HARM,HARMONY,486,"HARMONY/D5
CARTHAGE MS 39051","VOTING HOUSE
3100 GALILEE RD CARTHAGE MS
39051"
LENA,Lena,633,"LENA/D4
LENA MS 39094","LENA FIRE DEPT
1114 GRAND AVE. LENA MS 39094"
MADDE,Madden,617,"MADDEN/D5
CARTHAGE MS 39051","MADDEN FIRE DEPT
1413 BRYAN RD CARTHAGE MS
39051"
N CAR,North Carthage,"1,244","NORTH CARTHAGE/D2
CARTHAGE MS 39051","CARTHAGE LIBRARY
114 EAST FRANKLIN STREET
CARTHAGE MS 39051"
OFAHO,Ofahoma,578,"OFAHOMA/D3
CARTHAGE MS 39051","OFAHOMA FIRE DEPT
2531 FOREST GROVE RD CARTHAGE
MS 39051"
RENFR,Renfroe,516,"RENFROE/D1
CARTHAGE MS 39051","MARYDELL FIRE DEPT
201 LOOP RD CARTHAGE MS 39051"
S CAR,South Carthage,483,"SOUTH CARTHAGE/D4
CARTHAGE MS 39051","FREENY WATER ASSN.
1411 HWY 35 SOUTH CARTHAGE MS
39051"
SALEM,Salem,448,"SALEM/D5
WALNUT GROVE MS 39189","VOTING HOUSE
735 PURVIS RD WALNUT GROVE MS
39189"
SINGL,Singleton,"1,028",SINGLETON/D2,"BARNES FIRE DEPARTMENT
4645 COUNTYLINE RD CARTHAGE MS"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,CARTHAGE MS 39051,39051
SUNRI,Sunrise,491,"SUNRISE/D1
CARTHAGE MS 39051","EDINBURG FIRE DEPT
2657 HWY 16 E CARTHAGE MS 39051"
THOMA,Thomastown,705,"THOMASTOWN/D3
KOSCIUSKO MS 39090","THOMASTOWN COMMUNITY CNTR
7665 HWY 43 KOSCIUSKO MS 39090"
W CAR,West Carthage,"1,362","WEST CARTHAGE/D3
CARTHAGE MS 39051","LINCOLN PARK COMMUNITY CNT
411 HAYES STREET CARTHAGE MS
39051"
W GRO,Walnut Grove,"1,140","WALNUT GROVE/D5
WALNUT GROVE MS 39189","PUBLIC LIBRARY
146 MAIN STREET WALNUT GROVE
MS 39189"
,,,,
