"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
P101,Pratts,367,"PRATTS FIRE STATION
BALDWYN MS 38824",2171 HWY 370 BALDWYN MS 38824
P102,Baldwyn,981,"BALDWYN CITY HALL
BALDWYN MS 38824","202 S SECOND ST BALDWYN MS
38824"
P103,Guntown,"1,042","GUNTOWN COMMUNITY CENTER
GUNTOWN MS 38849",1571 MAIN ST GUNTOWN MS 38849
P104,Friendship,250,"FRIENDSHIP FIRE STATION
BALDWYN MS 38824",990 RD 2578 BALDWYN MS 38824
P105,Unity,599,"UNITY FIRE STATION
GUNTOWN MS 38849",913 RD 1303 GUNTOWN MS 38849
P106,Hebron,477,"HEBRON PRECINCT BUILDING
SALTILLO MS 38866",210 RD 1451 SALTILLO MS 38866
P107,Fellowship,701,"FELLOWSHIP FIRE STATION
SALTILLO MS 38866",611 RD 885 SALTILLO MS 38866
P108,Veterans Park,"2,110","J. T. NEELY CENTER
TUPELO MS 38804","792 N VETERANS MEMORIAL BLVD
TUPELO MS 38804"
P109,Tupelo 1,600,"BEL-AIR CENTER
TUPELO MS 38804","2107 COUNTRY CLUB RD TUPELO MS
38804"
P110,Eggville,546,"EGGVILLE FIRE STATION
TUPELO MS 38804",860 RD 1498 TUPELO MS 38804
P113,Auburn,"1,467","AUBURN CIVIC CENTER
TUPELO MS 38804",166 RD 1498 TUPELO MS 38804
P201,Cedar Hill,"1,630","CEDAR HILL FIRE STATION
GUNTOWN MS 38849",149 RD 541 GUNTOWN MS 38849
P204,Birmingham Ridge,"1,567","BIRMINGHAM RIDGE FIRE
STATION
SALTILLO MS 38866",947 RD 1948 SALTILLO MS 38866
P205,Euclatubba,331,"EUCLATUBBA BAPTIST CHURCH
SALTILLO MS 38866","726 EUCLATUBBA RD SALTILLO MS
38866"
P206,Saltillo,"2,861","SALTILLO COMMUNITY CENTER
SALTILLO MS 38866",131 PARK AVE SALTILLO MS 38866
P207,Beech Springs,708,"BEECH SPRINGS BAPTIST
CHURCH
SALTILLO MS 38866",146 RD 1702 SALTILLO MS 38866
P209,Tupelo 2,"3,361","PARKWAY BAPTIST CHURCH
TUPELO MS 38801",1302 LEE ST TUPELO MS 38801
P301,Belden,"2,179","BELDEN VOLUNTEER FIRE
STATION
BELDEN MS 38826","4677-A ENDVILLE RD BELDEN MS
38826"
P302,Bissell,"4,833",BISSELL BAPTIST CHURCH,4662 W MAIN ST TUPELO MS 38801
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,TUPELO MS 38801,
P308,Tupelo 3,"3,663","LAWNDALE PRESBYTERIAN
CHURCH
TUPELO MS 38801","1500 LAWNDALE DR TUPELO MS
38801"
P401,Palmetto,"1,149","PALMETTO-OLD UNION FIRE
DEPT.
TUPELO MS 38801",825 RD 261 TUPELO MS 38801
P402,Pleasant Grove,"1,234","PLEASANT GROVE PRECINCT
BUILDING
SHANNON MS 38868",779 RD 506 SHANNON MS 38868
P403,Old Union,573,"OLD UNION BAPTIST CHURCH
LOCATION
SHANNON MS 38868",531 RD 600 SHANNON MS 38868
P405,Tupelo 4 North,"3,030","ST. PAUL CHRISTIAN LIFE
CENTER
TUPELO MS 38804",475 N. FRONT ST TUPELO MS 38804
P406,Tupelo 4 South,"2,108","MORNING STAR BAPTIST
CHURCH
TUPELO MS 38801","2840 WILLIE MOORE RD TUPELO MS
38801"
,,,,
,,,,
P503,Richmond,519,"RICHMOND BAPTIST CHURCH
FELLOWSHIP HALL
TUPELO MS 38804",2249 ROAD 814 TUPELO MS 38804
,,,,
,,,,
,,,,
P508,Nettleton,905,"NETTLETON METHODIST CHURCH
LIFE CENTER
NETTLETON MS 38858","160 VERONA AVE NETTLETON MS
38858"
,,,,
P510,Gilvo,215,"ALLEN'S CHAPEL METHODIST
CHURCH
MOOREVILLE MS 38857","3119 HWY 178 MOOREVILLE MS
38857"
P511,Mooreville,"1,628","MOOREVILLE METHODIST
CHURCH
MOOREVILLE MS 38857",733 HWY 371 MOOREVILLE MS 38857
P512,Verona,"1,711",VERONA CITY HALL,201 MAIN ST VERONA MS 38879
,,"Active
Voter
Count",Polling Place,Address
,,,,
