"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
35,Minter City,310,"MINTER CITY VOLUNTEER FIRE
STATION
MINTER CITY MS 38944","2900 COUNTY ROAD 26 MINTER CITY
MS 38944"
36,North Gwd,"3,701","FIRE STATION/LEGION HUT
GREENWOOD MS 38930","307 TALLAHATCHIE STREET
GREENWOOD MS 38930"
37,Money,167,"MONEY VOLUNTEER FIRE
STATION
MONEY MS 38945","28200 COUNTY ROAD 518 MONEY MS
38945"
40,Central Gwd,"1,045","MAIN STREET FIRE STATION
GREENWOOD MS 38930","404 MAIN STREET GREENWOOD MS
38930"
41,West Gwd,"2,259","LEFLORE COUNTY COURT HOUSE
GREENWOOD MS 38930","310 WEST MARKET STREET
GREENWOOD MS 38930"
42,Mvsu,995,"MVSU SOCIAL SCIENCES BLDG
ITTA BENA MS 38941","14000 HIGHWAY 82 WEST ITTA BENA
MS 38941"
43,Schlater,375,"SCHLATER CITY HALL
SCHLATER MS 38952","108 BEATRICE ST SCHLATER MS
38952"
44,Southwest Gwd,902,"YOUTH CENTER
GREENWOOD MS 38930","926 HENRY STREET GREENWOOD MS
38930"
45,North Itta Bena,"2,043","ITTA BENA FIRE DEPARTMENT
ITTA BENA MS 38941","301 MARTIN LUTHER KING DRIVE
ITTA BENA MS 38941"
46,South Itta Bena,577,"ITTA BENA COMMUNITY CENTER
ITTA BENA MS 38941","305 THURMAN ST. ITTA BENA MS
38941"
47,Rising Sun,987,"RISING SUN SCHOOL
GREENWOOD MS 38930","3827 RISING SUN SCHOOL ROAD
GREENWOOD MS 38930"
48,Sidon,406,"SIDON COMMUNITY HOUSE
SIDON MS 38954",104 GREEN STREET SIDON MS 38954
49,Morgan City,267,"LEFLORE COUNTY ROAD BARN
MORGAN CITY MS 38946","65161 HIGHWAY 7 SOUTH MORGAN
CITY MS 38946"
50,Swiftown,56,"MAXEY'S GROCERY
SWIFTOWN MS 38959","100545 HIGHWAY 7 SOUTH
SWIFTOWN MS 38959"
51,South Gwd,838,"JODIE WILSON LIBRARY
GREENWOOD MS 38930","209 MARTIN LUTHER KING DRIVE
GREENWOOD MS 38930"
52,Southeast Gwd,"2,340","EAST ELEMENTARY SCHOOL
GREENWOOD MS 38930","208 MEADOWBROOK ROAD
GREENWOOD MS 38930"
59,Ne Gwd,"1,516",CIVIC CENTER,200 HIGHWAY 7 NORTH
"Precinct Precinct Name
Code","Active
Voter
Count",Polling Place,Address
,,GREENWOOD MS 38930,GREENWOOD MS 38930
,,,
