"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
105,New Life Baptist Church,"2,005","NEW LIFE BAPTIST CHURCH
MADISON MS 39110","NEW LIFE BAPTIST CHURCH
385 N OLD CANTON RD MADISON MS
39110"
106,Northbay Bayview Clubhouse,985,"NORTHBAY BAYVIEW
CLUBHOUSE
MADISON MS 39110","NORTHBAY BAYVIEW CLUB HOUSE
200 BAYVIEW DR MADISON MS
39110"
107,Ridgeland Recreation Center,"4,673","RIDGELAND RECREATION
CENTER
RIDGELAND MS 39157","RIDGELAND RECREATION CENTER
127 TRACE PARK RIDGELAND MS
39157"
109,Victory Baptist Church,"1,349","VICTORY BAPTIST CHURCH
MADISON MS 39110",420 HOY RD MADISON MS 39110
111,Mark Apartments,975,"THE MARK APTS. CLUBHOUSE
RIDGELAND MS 39157","THE MARK APARTMENTS CLUBHOUSE
711 LAKE HARBOR RIDGELAND MS
39157"
113,Sunnybrook Retirement Village,625,"SUNNYBROOK RETIREMENT
VILLAGE
MADISON MS 39110",248 LOCUST LN MADISON MS 39110
203,Vertical Church,"2,450","VERTICAL CHURCH
MADISON MS 39110","521 GLUCKSTADT RD MADISON MS
39110"
204,Highland Chapel Church,"3,958","HIGHLAND CHAPEL CHURCH
MADISON MS 39110","HIGHLAND CHAPEL
1620 OLD MANNSDALE RD MADISON
MS 39110"
205,Gluckstadt @ St Joe Catholic,"3,241","GLUCKSTADT @ ST JOE
CATHOLIC
MADISON MS 39110",127 CHURCH RD MADISON MS 39110
206,China Grove A.M.E. Church,"1,763","CHINA GROVE A.M.E. CHURCH
MADISON MS 39110","1060 MANNSDALE RD MADISON MS
39110"
207,First Baptist Madison,"3,029","FIRST BAPTIST MADISON
MADISON MS 39110",2100 MAIN ST MADISON MS 39110
209,First Presbyterian Madison,"2,182","FIRST PRESBYTERIAN MADISON
MADISON MS 39110","FIRST PRESBYTERIAN CHURCH
7717 OLD CANTON RD MADISON MS
39110"
309,Trace Ridge Baptist Church,"2,325","TRACE RIDGE BAPTIST CHURCH
RIDGELAND MS 39157","238 LAKE HARBOR DR RIDGELAND
MS 39157"
310,Ridgel'D 1st Methodist Church,"1,977","RIDGELAND FIRST METHODIST
CHURCH
RIDGELAND MS 39157","234 W JACKSON ST RIDGELAND MS
39157"
312,Colonial Heights Baptist Church,"1,562","COLONIAL HEIGHTS BAPTIST
CHURCH
RIDGELAND MS 39157","444 NORTHPARK DR RIDGELAND MS
39157"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
314,Victory Christian Community,"2,253","VICTORY CHRISTIAN
COMMUNITY
MADISON MS 39110","7417 OLD CANTON RD MADISON MS
39110"
315,Highland Colony Baptist Church,"4,171","HIGHLAND COLONY BAPTIST
CHURCH
MADISON MS 39110","1200 HIGHLAND COLONY PARKWAY
MADISON MS 39110"
406,Greater Mt Levi Full Gospel,968,"GREATER MT LEVI FULL GOSPEL
BAPTIST CHURCH
CANTON MS 39046","1008 W FULTON ST CANTON MS
39046"
407,Canton St. Paul Methodist Church,337,"ST. PAUL METHODIST CHURCH
CANTON MS 39046",505 S UNION ST CANTON MS 39046
408,Fellowship Bible Church,"1,017","FELLOWSHIP BIBLE CHURCH
CANTON MS 39046","FELLOWSHIP BIBLE CHURCH
2270 HIGHWAY 51 CANTON MS
39046"
409,Tougaloo,450,"TOUGALOO
TOUGALOO MS 39174","TOUGALOO COLLEGE
HEALTH & WELLNESS CENTER ROOM
212
500 W COUNTY LINE RD TOUGALOO
MS 39174"
