"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
1NHS,1 North Holly Springs,"1,946","HS MULTIPURPOSE BLDG
HOLLY SPRING MS 38635","235 N MEMPHIS ST HOLLY SPRING
MS 38635"
1RBK,1 Red Banks,"1,256","RED BANKS FIRE STATION
RED BANKS MS 38661","1348 S RED BANKS RD RED BANKS
MS 38661"
1WHS,1 West Holly Springs,"1,597","HOLLY SPRINGS FIRE STATION
HOLLY SPRINGS MS 38635","127 W FALCONER AVE HOLLY
SPRINGS MS 38635"
2CAY,2 North Cayce,781,"VOTE BLDG/AMERICAN MOTEL
HWY 72
BYHALIA MS 38611",40 JONATHAN DR BYHALIA MS 38611
2EGR,2 Early Grove,320,"EARLY GROVE VOTING BLDG
LAMAR MS 38642","20 EARLY GROVE RD LAMAR MS
38642"
2HUD,2 Hudsonville,495,"HUDSONVILLE VOTE BLDG
HOLLY SPRINGS MS 38635","4235 HUDSONVILLE RD HOLLY
SPRINGS MS 38635"
2MPL,2 Mt Pleasant,"1,212","MT PLEASANT HEADSTART
HOLLY SPRINGS MS 38635","1439 BOSWELL RD HOLLY SPRINGS
MS 38635"
2NHS,2 North Holly Springs,"1,066","ICS HEADSTART CENTRAL
OFFICE
HOLLY SPRINGS MS 38635","160 W VALLEY AVE HOLLY SPRINGS
MS 38635"
2SLA,2 Slayden,694,"SLAYDEN VOTING BLDG
LAMAR MS 38642",172 N SLAYDEN RD LAMAR MS 38642
3BAR,3 Barton,"1,083","BARTON FIRE STATION
OLIVE BRANCH MS 38654","5135 HWY 302 OLIVE BRANCH MS
38654"
3BYH,3 Byhalia,"2,143","NEW BYHALIA TOWN HALL
BYHALIA MS 38611",225 HWY 309 S BYHALIA MS 38611
3CAY,3 Cayce,761,"CAYCE FIRE STATION
BYHALIA MS 38611",30 LEE CREEK RD BYHALIA MS 38611
4CHU,4 Chulahoma,611,"CHULAHOMA COMMUNITY
CENTER
HOLLY SPRINGS MS 38635","5797 HWY 4 W HOLLY SPRINGS MS
38635"
4LAH,4 Laws Hill,256,"LAWS HILL COMMUNITY CENTER
WATERFORD MS 38685","3451 LAWS HILL RD WATERFORD MS
38685"
4MAR,4 Marianna,736,"MARIANNA VOTING BUILDING
HOLLY SPRINGS MS 38635","4789 MARIANNA RD HOLLY SPRINGS
MS 38635"
4VIC,4 Victoria,595,"VICTORIA COMMUNITY CENTER
BYHALIA MS 38611",77 VICTORIA RD BYHALIA MS 38611
4WAR,4 Warsaw,802,"ST PAUL CHURCH ACTIVITY
CENTER
BYHALIA MS 38635",1393 HWY 309 S BYHALIA MS 38635
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
4WAT,4 Watson,607,"WATSON COMMUNITY CENTER
BYHALIA MS 38611",3766 HWY 309 S BYHALIA MS 38611
4WHL,4 Wall Hill,773,"WALL HILL VOTING BUILDING
BYHALIA MS 38611","2104 MT. SINAI RD BYHALIA MS
38611"
5BTH,5 Bethlehem,391,"BETHLEHEM FIRE STATION
POTTS CAMP MS 38659","2233 BROWNLEE RD POTTS CAMP MS
38659"
5COR,5 Cornersville,173,"CORNERSVILLE METHODIST
CHURCH
POTTS CAMP MS 38659","21 CORNERSVILLE RD POTTS CAMP
MS 38659"
5PTC,5 Potts Camp,"1,147","POTTS CAMP TOWN HALL
POTTS CAMP MS 38659","17 S CENTER ST POTTS CAMP MS
38659"
5SHS,5 South Holly Springs,"2,459","NATIONAL GUARD ARMORY
HOLLY SPRINGS MS 38635","720 HWY 4 E HOLLY SPRINGS MS
38635"
5WFD,5 Waterford,711,"WATERFORD COMMUNITY
CENTER
WATERFORD MS 38685","45 WATERFORD ST WATERFORD MS
38685"
Total Number of Precincts 24,,"22,615",Total Active Voter Count,
