"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
DH,DUCK HILL,589,"FIRE STATION-DH
DUCK HILL MS 38925","HIGHWAY 51 & 404E DUCK HILL MS
38925"
EW,EAST WINONA,710,"LIBRARY
WINONA MS 38967",115 QUITMAN ST WINONA MS 38967
K,KILMICHAEL,608,"KILMICHAEL
KILMICHAEL MS 39747","110 FIRST STREET KILMICHAEL MS
39747"
LOD,Lodi,230,"COUNTY BUILDING - LODI
KILMICHAEL MS 39747","2541 LODI ROAD KILMICHAEL MS
39747"
MTP,Mt. Pisgah,168,"MT. PLEASANT MB CHURCH
DUCK HILL MS 38925","726 HIGHWAY 404 DUCK HILL MS
38925"
NAT,Nations,304,"NATIONS
KILMICHAEL MS 39747","915 HIGHWAY 413 KILMICHAEL MS
39747"
ND,NORTH DUCK HILL,256,"FIRE STATION-ND
DUCK HILL MS 38925","HIGHWAY 51 & 404W DUCK HILL MS
38925"
NK,NORTH KILMICHAEL,106,"MT. OLIVE BAPTIST CHURCH
KILMICHAEL MS 39747","1406 B B KING DR KILMICHAEL MS
39747"
NMP,NORTH MT PISGAH SWEETHOME,163,"SWEETHOME BAPTIST CHURCH
DUCK HILL MS 38925","8 SWEETHOME ROAD
DUCK HILL MS 38925"
NW,NORTH WINONA,873,"OLD NATIONAL GUARD ARMORY
WINONA MS 38967",700 ALBERTA DR WINONA MS 38967
PPC,Poplar Creek,120,"FIRE DEPARTMENT - POPLAR
CREEK
KILMICHAEL MS 39747","10 POPLAR CREEK RD KILMICHAEL
MS 39747"
SE,SOUTHEAST WINONA,249,"OLD CITY HALL-WINONA
WINONA MS 38967","116 N QUITMAN AVE WINONA MS
38967"
STW,Stewart,94,"FIRE DEPARTMENT - STEWART
STEWART MS 39767","21 CHOCTAW STREET STEWART MS
39767"
SW,SOUTH WINONA,"1,266","COMMUNITY CENTER - WINONA
WINONA MS 38967",623 POWELL ST WINONA MS 38967
,,,,
