"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
CHUNKY,,508,"CHUNKY CITY HALL
CHUNKY MS 39323","24 N COMMERCE STREET CHUNKY MS
39323"
"CONEHA
T",,820,"CONEHATTA COMMUNITY HOUSE
CONEHATTA MS 39057","8507 HWY 489 CONEHATTA MS
39057"
DEC #1,,865,"MULTI-PURPOSE BLDG.
DECATUR MS 39327","14712 HWY 15 SOUTH DECATUR MS
39327"
DEC #2,,560,"COURTHOUSE
DECATUR MS 39327","92 WEST BROAD ST DECATUR MS
39327"
DUFFEE,,700,"DUFFEE FIRE STATION
LITTLE ROCK MS 39337","12763 CHUNKY-DUFFEE RD LITTLE
ROCK MS 39337"
HICKORY,,"1,422","HICKORY SCHOOL
HICKORY MS 39332","376 W COLLEGE ST HICKORY MS
39332"
"LAWREN
C",,"1,322","COUNTY BARN
LAWRENCE MS 39336","1178 LAWRENCE HAZEL RD
LAWRENCE MS 39336"
LR,,926,"MASONIC LODGE
LITTLE ROCK MS 39337","322 LITTLE ROCK CO. LINE RD
LITTLE ROCK MS 39337"
NEWT #1,,"1,117","THIRD NEW HOPE DISTRICT
BUILDING
NEWTON MS 39345","308 OLD HICKORY RD NEWTON MS
39345"
NEWT #5,,652,"NEWTON AIRPORT LOUNGE
NEWTON MS 39345",232 OKEEFE RD NEWTON MS 39345
NEWT 4,,"1,419","NEWTON NATIONAL GUARD
ARMORY
NEWTON MS 39345","412 NORTHSIDE DRIVE NEWTON MS
39345"
PROSPEC,,463,"PROSPECT BAPTIST CHURCH
CONEHATTA MS 39057","7619 CONEHATTA PROSPECT RD
CONEHATTA MS 39057"
SCANLAN,,797,"SCANLAN COMMUNITY HOUSE
DECATUR MS 39327",77 SCANLAN RD DECATUR MS 39327
UNION 1,,489,"GOOD SAMARITAN CHURCH
UNION MS 39365",106 BOLDEN UNION MS 39365
UNION 2,,609,"LIBRARY
UNION MS 39365","101 PEACHTREET STREET UNION MS
39365"
UNION 3,,480,"UNION CITY HALL
UNION MS 39365",404 BANK STREET UNION MS 39365
,,"13,149",Total Active Voter Count,
