"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
BS,Bell Schoolhouse,404,"BELL SCHOOL HOUSE FIRE
STATION
STARKVILLE MS 39759","BELL SCHOOL HOUSE FIRE STATION
2221 HWY 389 STARKVILLE MS
39759"
CA,Center Grove/North Adaton,704,"CENTER GROVE/N ADATON
STARKVILLE MS 39759","ADATON FIRE STATION
2237 REED RD STARKVILLE MS
39759"
CB,Craig Springs/South Bradley,247,"CRAIG SPRINGS FIRE STATION
STURGIS MS 39769","CRAIG SPRINGS FIRE STATION
2199 CRAIG SPRINGS RD STURGIS
MS 39769"
CE,Central Starkville,"1,826","CENTRAL STARKVILLE
STARKVILLE MS 39759","CIRCUIT COURT COMPLEX
108 W MAIN STREET STARKVILLE MS
39759"
ES,East Starkville,716,"EAST STARKVILLE
STARKVILLE MS 39759","ST. JOSEPH CATHOLIC CHURCH
607 UBIVERSITY DR STARKVILLE MS
39759"
HE,Hickory Grove/Southeast,"2,697","HICKORY GROVE
STARKVILLE MS 39762","EAST OKT COUNTY FIRE STATION
15052 OLD HWY 82 E STARKVILLE
MS 39762"
MA,Maben,347,"MABEN CITY HALL
MABEN MS 39750","MABEN CITY HALL
685 2ND AVE MABEN MS 39750"
N2,North Starkville District 2,"1,014","NORTH 2
STARKVILLE MS 39759","MT PELIER BAPTIST CHURCH
840 N JACKSON ST STARKVILLE MS
39759"
N3,North Starkville District 3,"1,929","TRINITY PRESBYTERIAN CHURCH
STARKVILLE MS 39759","607 HOSPITAL RD
STARKVILLE MS 39759"
NL,North Longview,827,"NORTH LONGVIEW
STARKVILLE MS 39759","LONGVIEW FIRE STATION
2168 HWY 12 W STARKVILLE MS
39759"
NM,Needmore Community Center,"1,498","NEEDMORE
STARKVILLE MS 39759","NEEDMORE COMMUNITY CENTER
610 E GILLESPIE STARKVILLE MS
39759"
OK,Oktoc,899,"OKTOC
STARKVILLE MS 39759","OKTOC FIRE STATION
OKTOC RD STARKVILLE MS 39759"
OS,Osborn,"1,080","OSBORN
STARKVILLE MS 39759","16 TH SECTION BAPTIST LIFE
CENTER	5480 OLD WEST POINT
RD STARKVILLE MS 39759"
SA,South Adaton,475,SOUTH ADATON,"ADATON BAPTIST CHURCH
1975 HWY 82 W STARKVILLE MS"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,STARKVILLE MS 39759,39759
SB,Sturgis/North Bradley,957,"STURGIS
STURGIS MS 39759","STURGIS FIRE STATION
2729 MONTGOMERY ST STURGIS MS
39759"
SD,Self Creek/Double Springs,607,"SELF CREEK/DBL SPRINGS
MABEN MS 39750","FIRE STSTION ON TURNER RD
3407 HWY 82 W MABEN MS 39750"
SL,South Longview,208,"SOUTH LONGVIEW
STARKVILLE MS 39759","LONGVIEW FIRE STATION
2168 HWY 12 W STARKVILLE MS
39759"
SM,Sessums,"1,301","SESSUMS
STARKVILLE MS 39759","SESSUMS FIRE STATION
3100 TURKEY CREEK RD STARKVILLE
MS 39759"
SS,South Starkville,"5,110","SOUTH STARKVILLE
STARKVILLE MS 39759","SPORTSPLEX
405 LYNN LANE STARKVILLE MS
39759"
,,,,
