"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
1010,Indian Springs 1010,458,"INDIAN SPRINGS
PETAL MS 39465","137 WALTER MYERS RD PETAL MS
39465"
1020,New Augusta Community Center 1020,372,"NEW AUGUSTA COMMUNITY
CENTER
NEW AUGUSTA MS 39462","298 WILLOW ST EAST NEW AUGUSTA
MS 39462"
1030,Beaumont District 1 1030,716,"BEAUMONT DISTRICT 1
BEAUMONT MS 39423",1235 HWY 198 BEAUMONT MS 39423
1040,Miracle Temple COGIC 1040,191,"MIRACLE TEMPLE COGIC
RICHTON MS 39476","923 OLD AUGUSTA ROAD RICHTON
MS 39476"
2040,Runnelstown 2040,"1,321","RUNNELSTOWN
PETAL MS 39465",9204 HWY 42 PETAL MS 39465
2050,Prospect 2050,306,"PROSPECT COMMUNITY CENTER
RICHTON MS 39476","204 PROSPECT ROAD RICHTON MS
39476"
3060,Richton Holly Street 3060,"1,740","RICHTON HOLLY ST
RICHTON MS 39476","302 HOLLY ST NORTH RICHTON MS
39476"
4080,Richton Multi Purpose 4080,561,"RICHTON MULTI PURPOSE
RICHTON MS 39476",1194 HWY 15 RICHTON MS 39476
4090,Hintonville 4090,332,"HINTONVILLE
BEAUMONT MS 39423","66 HINTONVILLE RD BEAUMONT MS
39423"
4100,Arlington 4100,606,"ARLINGTON
BEAUMONT MS 39423","285 ARLINGTON RD BEAUMONT MS
39423"
5110,Courthouse 5110,417,"COURTHOUSE ANNEX
NEW AUGUSTA MS 39462","103 SECOND STREET W NEW
AUGUSTA MS 39462"
5120,Beaumont Senior Citizens 5120,226,"BEAUMONT SR CITIZENS
BEAUMONT MS 39423","1502 BOLTON AVE BEAUMONT MS
39423"
5130,Thompson Hill 5130,80,"THOMSPON HILL
BEAUMONT MS 39423","29 LITTLE CREEK RD BEAUMONT MS
39423"
5140,Janice 5140,725,"JANICE
BROOKLYN MS 39425","32 JANICE SCHOOL RD BROOKLYN
MS 39425"
,,,,
