"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
AL,Algoma Al,895,"PRECINCT AL
ALGOMA MS 38820","ALGOMA COMMUNITY HOUSE
186 FRONT STREET ALGOMA MS
38820"
BA,Bankhead Ba,914,"PRECINCT BA
PONTOTOC MS 38863","BANKHEAD POLLING PLACE
3039 HIGHWAY 6 EAST PONTOTOC
MS 38863"
BE,Bethel/Endville Be,786,"PRECINCT BE
BELDEN MS 38826","BETHEL/ENDVILLE POLLING PLACE
30 ENDVILLE ROAD
BELDEN MS 38826"
BEC,Beckham Bec,778,"PRECINCT BEC
PONTOTOC MS 38863","BECKHAM COMMUNITY CENTER
9413 HIGHWAY 15 SOUTH
PONTOTOC MS 38863"
BU,Buchanan Bu,766,"PRECINCT BU
PONTOTOC MS 38863","BUCHANAN COMMUNITY BUILDING
4783 FRIENDSHIP ROAD PONTOTOC
MS 38863"
CC,Cherry Creek Cc,768,"PRECINCT CC
ECRU MS 38841","OLD CHERRY CREEK SCHOOL
90 CENTER HILL ROAD ECRU MS
38841"
EC,Ecru Ec,"1,188","PRECINCT EC
ECRU MS 38841","ECRU COMMUNITY CENTER
154 CENTRAL AVENUE ECRU MS
38841"
FR,Friendship Fr,321,"PRECINCT FR
ECRU MS 38841","FRIENDSHIP BAPTIST CHURCH
6248 HIGHWAY 15 NORTH ECRU MS
38841"
HO,Hoyle Ho,937,"PRECINCT HO
PONTOTOC MS 38863","GLOBAL OUTREACH BUILDING
74 KINGSHIGHWAY PONTOTOC MS
38863"
HU,Hurricane Hu,655,"PRECINCT HU
THAXTON MS 38871","HURRICANE COMMUNITY CENTER
7930 HIGHWAY 346 THAXTON MS
38871"
JU,Judah Ju,439,"PRECINCT JU
RANDOLPH MS 38864","JUDAH POLLING PLACE
11315 HWY 341
RANDOLPH MS 38864"
LO,Longview Lo,424,"PRECINCT LO
BELDEN MS 38826","LONGVIEW POLLING PLACE
3465 LONGVIEW ROAD BELDEN MS
38826"
OH,Oakhill Oh,388,PRECINCT OH,"OAK HILL COMMUNITY CENTER
101 OAK HILL LOOP PONTOTOC MS
38863"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,PONTOTOC MS 38863,
P1,Pontotoc 1 P1,475,"PRECINCT P1
PONTOTOC MS 38863","MAPLE DRIVE PRESBYTERIAN
CHURCH
146 MAPLE DRIVE PONTOTOC MS
38863"
P2,Pontotoc 2 P2,786,"PRECINCT P2
PONTOTOC MS 38863","PONTOTOC COUNTY AIRPORT
445 AVIATION LANE PONTOTOC MS
38863"
P3,Pontotoc 3 P3,"1,340","PRECINCT P3
PONTOTOC MS 38863","AMERICAN LEGION BUILDING
327 LEGION LANE PONTOTOC MS
38863"
P4,Pontotoc 4 P4,813,"PRECINCT P4
PONTOTOC MS 38863","PEPA WAREHOUSE
930 HWY 41 PONTOTOC MS 38863"
P5,Pontotoc 5 P5,"1,676","PRECINCT P5
PONTOTOC MS 38863","PONTOTOC COUNTY COURTHOUSE
11 WASHINGTON STREET PONTOTOC
MS 38863"
RA,Randolph,"1,047","PRECINCT RA
RANDOLPH MS 38864","RANDOLPH COMMUNITY CENTER
758 RANDOLPH LOOP RANDOLPH MS
38864"
RO,Robbs Ro,110,"PRECINCT RO
RANDOLPH MS 38864","ROBBS POLLING PLACE
450 ROBBS BEND RANDOLPH MS
38864"
SH,Sherman Sh,457,"PRECINCT SH
SHERMAN MS 38869","SHERMAN LIBRARY
56 WEST LAMAR STREET SHERMAN
MS 38869"
SP,Springville Sp,"1,078","PRECINCT SP
PONTOTOC MS 38863","SPRINGVILLE POLLING PLACE
42 SOUTH PONTOTOC ROAD
PONTOTOC MS 38863"
TH,Thaxton Th,719,"PRECINCT TH
THAXTON MS 38871","THAXTON COMMUNITY CENTER
10615 HWY 336 THAXTON MS 38871"
TO,Toccopola To,354,"PRECINCT TO
THAXTON MS 38871","TOCCOPOLA FIRE DEPARTMENT
3152 TOCCOPOLA JUNCTION ROAD
THAXTON MS 38871"
TR,Troy Tr,886,"PRECINCT TR
PONTOTOC MS 38863","DISTRICT 5 ROAD MAINTENANCE
FACILITY
6920 HIGHWAY 41 PONTOTOC MS
38863"
TU,Turnpike Tu,520,PRECINCT TU,"TURNPIKE VOTING PRECINCT
39 MCGREGOR CHAPEL ROAD NORTH"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,PONTOTOC MS 38863,PONTOTOC MS 38863
WO,Woodland Wo,224,"PRECINCT WO
PONTOTOC MS 38863","WOODLAND POLLING PLACE
3597 WOODLAND ROAD PONTOTOC
MS 38863"
Z,Zion Z,596,"PRECINCT Z
PONTOTOC MS 38863","DISTRICT 4 ROAD MAINTENANCE
FACILITY
149 WOODLAND ROAD
PONTOTOC MS 38863"
Total Number of Precincts 28,,"20,340",Total Active Voter Count,
