"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
BRANCH,BEAT 4/BRANCH,838,"BEAT 4/BRANCH
MORTON MS 39117","LIBERTY FIRE DEPT
-289 MEASLES RD MORTON MS
39117"
CLIFTON,Beat 4/Clifton,127,"BEAT 4/CLIFTON
FOREST MS 39074","OLD FELLOWSHIP HALL
- 3034 CLIFTON HILLSBORO RD
FOREST MS 39074"
CONTREL,Beat 4/Contrell,415,"BEAT 4/CONTRELL
LENA MS 39094","33 EAST WATKINS RD LENA MS
39094"
COO/SPR,Beat 3/Cooperville/Springfield,825,"BEAT
3/COOPERVILLE/SPRINGFIELD
MORTON MS 39117","VFW #5586
NEXT TO KRACKER STATION
5228 HWY 13 SOUTH MORTON MS
39117"
EWM,Beat 3/Eastwest Morton,"1,845","BEAT 3/EASTWEST MORTON
MORTON MS 39117","NATIONAL GUARD ARMORY MORTON
MS 39117"
FORKVIL,Beat 4/Forkville,308,"BEAT 4/FORKVILLE
MORTON MS 39117","8030 HIGHWAY 13 NORTH MORTON
MS 39117"
HARPERV,Beat 1/Harperville,"1,133","BEAT 1/HARPERVILLE
FOREST MS 39074","1001 OLD HILLSBORO RD FOREST MS
39074"
HIGHHIL,Beat 2/High Hill,450,"BEAT 2/HIGH HILL
LAKE MS 39092","6316 HIGHWAY 501 SOUTH LAKE MS
39092"
HILLSBO,Beat 1/Hillsboro,"1,364","BEAT 1/HILLSBORO
FOREST MS 39074","99 HILLSBORO-LUDLOW RD FOREST
MS 39074"
"HOMEWO
D",Beat 2/Homewood,366,"BEAT 2/HOMEWOOD
FOREST MS 39074","MORTON MARATHON RD FOREST MS
39074"
LAKE,Beat 2/Lake,427,"BEAT 2/LAKE
LAKE MS 39092","LAKE TOWN HALL
- 100 FRONT STREET LAKE MS
39092"
LANGSMI,Beat 5/Langs Mill,873,"BEAT 5/LANGS MILL
FOREST MS 39074","2780 RINGGOLD RD FOREST MS
39074"
LUDLOW,Beat 4/Ludlow,693,"BEAT 4/LUDLOW
LUDLOW MS 39117","LUDLOW FIRE DEPT
-39 LEE RD LUDLOW MS 39117"
NEFORES,Beat 5/Northeast Forest,638,"BEAT 5/NORTHEAST FOREST
FOREST MS 39074",1324 EAST 4TH ST FOREST MS 39074
NFOREST,Beat 1/North Forest,"1,545",BEAT 1/NORTH FOREST,"FOREST SERVICE CENTER
-970 E 1ST STREET FOREST MS
39074"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,FOREST MS 39074,
"NMORTO
N",Beat 4/North Morton,"1,314","BEAT 4/NORTH MORTON
MORTON MS 39117","OLD CITY HALL
-19 WEST 1ST AVENUE MORTON MS
39117"
"NWFORE
S",Beat 3/Northwest Forest,252,"BEAT 3/NORTHWEST FOREST
FOREST MS 39074","AMERICAN LEGION FOREST MS
39074"
PULASKI,Beat 3/Pulaski,442,"BEAT 3/PULASKI
PULASKI MS 39152","7156 HIGHWAY 481 SOUTH PULASKI
MS 39152"
SALEM,Beat 5/Salem,769,"BEAT 5/SALEM
LAKE MS 39092","""LAKE MIDDLE SCHOOL""-1770 EAST
SCOTT RD LAKE MS 39092"
SEBASTO,Beat 5/Sebastopol,565,"BEAT 5/SEBASTOPOL
SEBASTOPOL MS 39359","PUBLIC LIBRARY
-17413 HIGHWAY 21 SEBASTOPOL
MS 39359"
SFOREST,Beat 2/South Forest,"2,050","BEAT 2/SOUTH FOREST
FOREST MS 39074","SCOTT COUNTY COURTHOUSE
FOREST MS 39074"
STEELE,Beat 5/Steele,926,"BEAT 5/STEELE
FOREST MS 39074",8992 HIGHWAY 21 FOREST MS 39074
,,,,
