"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
Bowie,Bowie,386,"CO BLDG/MT ZION RD
MAGEE MS 39111",MT ZION RD MAGEE MS 39111
Braxton,Braxton,938,"BRAXTON MASONIC LODGE
BRAXTON MS 39044",124 W MAIN ST BRAXTON MS 39044
Brdgprt,Bridgeport,489,"BRIDGEPORT COMMUNITY
HOUSE",
D'Lo,D'Lo,387,"D'LO
D'LO MS 39062",FOURTH ST D'LO MS 39062
DryCrek,Dry Creek,814,"CO BLDG/DRY CREEK RD
MAGEE MS 39111",DRY CREEK RD MAGEE MS 39111
ForkChr,Fork Church,443,"COMMUNITY HOUSE/GILLIS
STORE
MENDENHALL MS 39114",HWY 28 W MENDENHALL MS 39114
Hrsvile,Harrisville,914,"CO BLDG/HWY 469 & JENNINGS
STORE
HARRISVILLE MS 39082",HWY 459 HARRISVILLE MS 39082
Jupiter,Jupiter,819,"PINE GROVE CHURCH
MENDENHALL MS 39114","104 PINE GROVE CHURCH RD
MENDENHALL MS 39114"
Magee1,Magee 1,893,"WC MCDONALD BLDG
MAGEE MS 39111",905 MCLAURIN DR MAGEE MS 39111
Magee2,Magee 2,"1,492","MAGEE NATIONAL GUARD
ARMORY
MAGEE MS 39111",HWY 49 MAGEE MS 39111
Magee4N,Magee 4 North,706,"MAGEE CITY HALL
MAGEE MS 39111",123 MAIN AVE N MAGEE MS 39111
Magee4S,Magee 4 South,"1,235","MAGEE COMMUNITY HOUSE
MAGEE MS 39111",115 FIRST AVE NE MAGEE MS 39111
Merit,Merit,782,"CO BLDG/INTER OF HWY 43 &
MERIT RD
MENDENHALL MS 39114","HWY 43 & MERIT RD MENDENHALL
MS 39114"
Mhall1,Mendenhall 1,448,"NAZARETH CHURCH/DIXIE RD
MENDENHALL MS 39114","611 DIXIE AVE MENDENHALL MS
39114"
Mhall3,Mendenhall 3,"1,276","SIMPSON CO MULTI PURPOSE
BLDG
MENDENHALL MS 39114","109 WEST PINE ST MENDENHALL MS
39114"
NewHope,New Hope,324,"CO BLDG/NEW HOPE RD
MOUNT OLIVE MS 39119","NEW HOPE RD MOUNT OLIVE MS
39119"
OakGrov,Oak Grove,769,"CO BLDG/HWY28
MENDENHALL MS 39114","SIMPSON HWY 28 MENDENHALL MS
39114"
Pearl,Pearl,575,OLD PEARL FIRE DEPT,"5367 GATESVILLE RD HARRISVILLE
MS 39082"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,HARRISVILLE MS 39082,
Pinola,Pinola,460,"PINOLA FIRE STATION
PINOLA MS 39149",SCHOOLHOUSE RD PINOLA MS 39149
Saratog,Saratoga,383,"CO BLDG/RODNEY SULLIVAN
MAGEE MS 39111","302 RODNEY SULLIVAN RD MAGEE
MS 39111"
Shivers,Shivers,510,"CO BLDG/HWY 43
PINOLA MS 39149",HWY 43 PINOLA MS 39149
Sumrall,Sumrall,558,"STATION 7
MAGEE MS 39111","2129 SIMPSON HWY 540 MAGEE MS
39111"
,,,,
