"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
01,Ag-Complex,729,"AG-COMPLEX
RALEIGH MS 39153",101 SCR 77 RALEIGH MS 39153
02,Center Ridge,559,"CENTER RIDGE
TAYLORSVILLE MS 39168","UNITY METHODIST CHURCH
HWY 37 TAYLORSVILLE MS 39168"
03,Mize,705,"MIZE
MIZE MS 39116","108 CYRRESS STREET MIZE MS
39116"
04,Sylvarena,234,"SYLVARENA
RALEIGH MS 39153","80 OLD SCHOOL DRIVE RALEIGH MS
39153"
05,Cedar Grove,195,"CEDAR GROVE
RALEIGH MS 39153",3459 HWY 501 RALEIGH MS 39153
06,Summerland,924,"SUMMERLAND
TAYLORSVILLE MS 39168","1214 COMFORT STREET HWY 28
TAYLORSVILLE MS 39168"
07,Union-New Home,664,"UNION-NEW HOME
TAYLORSVILLE MS 39168",665 SCR 9 TAYLORSVILLE MS 39168
08,Warren Hill,509,"WARREN HILL
RALEIGH MS 39153",4384 SCR 101 RALEIGH MS 39153
09,Taylorsville,"1,117","TAYLORSVILLE
TAYLORSVILLE MS 39168","305 EATON STREET TAYLORSVILLE
MS 39168"
10,Zion Hill - New Haven,973,"ZION HILL - NEW HAVEN
MIZE MS 39116",194 SCR 45 MIZE MS 39116
12,Polkville,597,"POLKVILLE - 77
MORTON MS 39117",6606 HWY 13 MORTON MS 39117
13,Shady Grove,492,"SHADY GROVE
MIZE MS 39116","9584 SCR 503 SOUTH MIZE MS
39116"
14,West Raleigh,473,"WEST RALEIGH
RALEIGH MS 39153",5689 HWY 540 RALEIGH MS 39153
15,White Oak,464,"WHITE OAK
RALEIGH MS 39153",3646 SCR 125 RALEIGH MS 39153
16,Burns,370,"BURNS
RALEIGH MS 39153",1606 HWY 481 RALEIGH MS 39153
17,Clear Springs-Pineville,361,"CLEAR SPRINGS-PINEVILLE
RALEIGH MS 39153",4377 HWY 501 RALEIGH MS 39153
18,Lorena - Spinola,427,"LORENA - SPINOLA
FOREST MS 39074",1374 SCR 35-17 FOREST MS 39074
19,North Raleigh,905,"NORTH RALEIGH
RALEIGH MS 39153","158 MAIN STREET RALEIGH MS
39153"
