"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
101,Teasdale,440,"TEASDALE FIRE HOUSE
ENID MS 38927","319 ENID TEASDALE ROAD ENID MS
38927"
102,Enid,499,"ENID FIREHOUSE
ENID MS 38927",2 JACKSON AVE ENID MS 38927
103,Springhill,262,"SPRINGHILL FIREHOUSE
OAKLAND MS 38948","7369B MS HWY 32 E OAKLAND MS
38948"
104,Charleston Beat #1,901,"CHARLESTON DAY CLUB
CHARLESTON MS 38921","43 OAKGROVE ROAD CHARLESTON
MS 38921"
201,Charleston Beat #2,"1,349","CITY HALL
CHARLESTON MS 38921","26 SOUTH SQUARE CHARLESTON MS
38921"
202,Brazil,90,"TRUEVINE MB CHURCH
SUMNER MS 38957","312 BRAZIL CHURCH ROAD SUMNER
MS 38957"
203,Sumner Beat #2,355,"COURTHOUSE SUMNER
SUMNER MS 38957",#1 MONROE ST SUMNER MS 38957
301,Charleston Beat #3,721,"ROTARY BUILDING
CHARLESTON MS 38921","206 S. SABINE STREET CHARLESTON
MS 38921"
302,Paynes,262,"PAYNES FIREHOUSE
CHARLESTON MS 38921","1980 MS HWY 35 S CHARLESTON MS
38921"
304,Cascilla,469,"CASCILLA FIREHOUSE
CASCILLA MS 38920","620 WHITTEN RD CASCILLA MS
38920"
305,Murphreesbore,247,"MURPHREESBORO FIREHOUSE
SCOBEY MS 38953","1194 TALLAHA ROAD SCOBEY MS
38953"
306,Rosebloom,160,"ROSEBLOOM FIREHOUSE
CASCILLA MS 38920","1747 CASCILLA ROAD CASCILLA MS
38920"
401,Tippo,204,"TIPPO FIREHOUSE
CHARLESTON MS 38921","2292 TIPPO RD CHARLESTON MS
38921"
402,Phillip,239,"PHILLIP FIREHOUSE
PHILLIP MS 38950","37 BROADWAY STREET PHILLIP MS
38950"
403,Glendora,452,"COUNTY CLINIC BUILDING
GLENDORA MS 38928","12 GIPSON AVE. GLENDORA MS
38928"
404,Webb Beat #4,246,"WEBB LIBRARY
WEBB MS 38966","102 S. LAURA STREET WEBB MS
38966"
405,Blue Cane,489,BLUE CANE COMMUNITY CENTER,"180 BLUE CANE ROAD CHARLESTON
MS 38921"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,CHARLESTON MS 38921,
406,Leverette,121,"LEVERETTE VOTING HOUSE
HOLCOMB MS 38940","1419 MS HWY 35 S HOLCOMB MS
38940"
501,Webb Beat #5,712,"WEST TALLAHATCHIE HIGH
SCHOOL
WEBB MS 38966",2110 MS HWY 49 E WEBB MS 38966
502,Sumner Beat #5,212,"R.H. BEARDEN ELEMENTARY
PARENT CENTER
SUMNER MS 38957","1094 FRIENDSHIP ROAD SUMNER MS
38957"
,,,,
