"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
ARK,Arkabutla,"1,067","ARKABUTLA COMMUNITY CENTER
COLDWATER MS 38618","8225 ARKABUTLA ROAD COLDWATER
MS 38618"
CW3,Coldwater 3,"1,772","TATE CO SCHOOL DISTRICT
CENTRAL OFFICE (BOARDROOM)
COLDWATER MS 38618","574 PARKWAY STREET COLDWATER
MS 38618"
EVN,Evansville,273,"EVANSVILLE BAPTIST CHURCH -
FAMILY LIFE CENTER
COLDWATER MS 38618","471 EVANSVILLE ROAD COLDWATER
MS 38618"
IND,Independence,"1,826","INDEPENDENCE FIRE DEPART
COLDWATER MS 38618","5480 HIGHWAY 305 COLDWATER MS
38618"
LOX,Looxahoma,"1,098","LOOXAHOMA COMMUNITY
CENTER
SENATOBIA MS 38668","1198 LYLES ROAD SENATOBIA MS
38668"
PAL,Palestine,322,"GREENLEAF FIRE DEPARTMENT
COLDWATER MS 38618","8584 PALESTINE ROAD COLDWATER
MS 38618"
PG4,Poagville 4,887,"POAGVILLE FIRE DEPARTMENT
COLDWATER MS 38618","1206 POAGVILLE ROAD COLDWATER
MS 38618"
PG5,Poagville 5,291,"POAGVILLE COMMUNITY CENTER
COLDWATER MS 38618","7791 PEYTON ROAD COLDWATER MS
38618"
SAR,Sarah,241,"SARAH COMMUNITY CENTER
SARAH MS 38665","15670 BROWNSFERRY ROAD SARAH
MS 38665"
SHD,Sherrod,365,"CROCKETT COMMUNITY CENTER
SENATOBIA MS 38668","7256 HIGHWAY 4 WEST SENATOBIA
MS 38668"
SN1,Senatobia 1,"2,499","COUNTY AGENT AUDITORIUM
SENATOBIA MS 38668","1 FRENCHES ALLEY SENATOBIA MS
38668"
SN2,Senatobia 2,"1,655","SENATOBIA COMMUNITY CENTER
SENATOBIA MS 38668","104 SOUTHERN STREET SENATOBIA
MS 38668"
SN3,Senatobia 3,944,"OLD NATIONAL GUARD ARMORY
SENATOBIA MS 38668","4575 HIGHWAY 51 NORTH
SENATOBIA MS 38668"
SN4,Senatobia 4,"1,141","WOODMAN OF THE WORLD
SENATOBIA MS 38668","137 HALLS MILL LEEVE ROAD
SENATOBIA MS 38668"
STR1,Strayhorn 1,667,"FLAG LAKE BAPTIST CHURCH
SARAH MS 38665","1628 HIGHWAY 4 WEST SARAH MS
38665"
STR2,Strayhorn 2,517,"OLD FLAG LAKE CHURCH MULTI-
PURPOSE BUILDING
SARAH MS 38665","1957 FLAG LAKE ROAD SARAH MS
38665"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
TAY,Taylor,218,"ANTIOCH #2 CHURCH
COLDWATER MS 38618","3330 ARKABUTLA ROAD COLDWATER
MS 38618"
THY,Thyatira,307,"THYATIRA CHURCH OF CHRIST
SENATOBIA MS 38668","26059 HIGHWAY 4 EAST SENATOBIA
MS 38668"
TYR,Tyro,377,"TYRO COMMUNITY CENTER
SENATOBIA MS 38668","7676 LOOXAHOMA TYRO ROAD
SENATOBIA MS 38668"
,,,,
