"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
0001,Threeforks,417,"MT HEBRON TCDC BUILDING
WALNUT MS 38663",7841 CR 301 WALNUT MS 38663
0002,Brownfield,191,"CAMBURN BUILDING
WALNUT MS 38683",31440 HWY. 15 N WALNUT MS 38683
0003,Walnut,726,"UNION HALL WALNUT, MS
WALNUT MS 38683",31 MITCHELL AVE WALNUT MS 38683
0004,Chalybeate,875,"CHALYBEATE ELEMENTARY
SCHOOL
WALNUT MS 38683","2471 HIGHWAY 354 WALNUT MS
38683"
0005,Tiplersville,389,"NORTH TIPPAH SUPERINDENT'S
OFFICE
TIPLERSVILLE MS 38674","24111 HIGHWAY 15 TIPLERSVILLE
MS 38674"
0006,North Falkner,283,"FALKNER ELEMENTARY SCHOOL
GYM
FALKNER MS 38629","20771 HIGHWAY 15 FALKNER MS
38629"
0007,FALKNER,889,"FALKNER TOWN HALL
FALKNER MS 38629",10071 CR 200 FALKNER MS 38629
0008,North Ripley,"1,806","OLD MARTIN ANIMAL CLINIC
RIPLEY MS 38663",115 MARTIN ST. RIPLEY MS 38663
0009,Blue Mountain,"1,200","BLUE MOUNTAIN FIRE STATION
TRAINING BLD
BLUE MOUNTAIN MS 38610","105 W MAIN ST BLUE MOUNTAIN MS
38610"
0010,Cotton Plant,262,"COTTON PLANT
BLUE MOUNTAIN MS 38610","100 COUNTY ROAD 714 BLUE
MOUNTAIN MS 38610"
0011,New Hope,336,"NEW HOPE TCDC BUILDING
BLUE MOUNTAIN MS 38610","1211 CR 702 BLUE MOUNTAIN MS
38610"
0012,Clarysville,176,"OLD BUENA VISTA SCHOOL
RIPLEY MS 38663",81 CR 718 RIPLEY MS 38663
0013,Palmer,587,"PALMER BAPTIST CHURCH
RIPLEY MS 38663",3671 CR 813 RIPLEY MS 38663
0014,Shady Grove,164,"SHADY GROVE FIRE STATION
RIPLEY MS 38663",790 HIGHWAY 4 RIPLEY MS 38663
0015,Mitchell,284,"MITCHELL FIRE DEPARTMENT
RIPLEY MS 38663",40 CR 614 RIPLEY MS 38663
0016,Pine Grove,295,"PINE GROVE BAPTIST CHURCH
RIPLEY MS 38663",2520 CR 627 RIPLEY MS 38663
0017,Dumas,642,"DUMAS FIRE STATION
DUMAS MS 38625","3340 HIGHWAY 370 DUMAS MS
38625"
0018,Dry Creek,346,"DRY CREEK FIRE STATION
BOONEVILLE MS 38829",8301 CR 600 BOONEVILLE MS 38829
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
0019,Southwest Ripley,"1,380","INDUSTRIAL BUILDING @
FAIRGROUNDS
RIPLEY MS 38663","10791-B HIGHWAY 15 RIPLEY MS
38663"
0020,Chapman,628,"CHAPMAN CHURCH OF CHRIST
RIPLEY MS 38663",250A CR 550 RIPLEY MS 38663
0021,Spout Springs,249,"SPOUT SPRINGS FIRE STATION
RIPLEY MS 38663",23100 HIGHWAY 2 RIPLEY MS 38663
0022,Peoples,317,"PEOPLES BAPTIST CHURCH
FELLOWSHIP HALL
RIPLEY MS 38663",7691 CR 500 RIPLEY MS 38663
0023,Providence,285,"HOPPER'S SHOP
TIPLERSVILLE MS 38674","2840 CR 204 TIPLERSVILLE MS
38674"
,,,,
