"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
1HS,Hubbard Salem,158,"HUBBARD SALEM @ TRI-STATE
COMMERCE PARK/BUILDING
1000
IUKA MS 38852",751 CR 989 IUKA MS 38852
1IUK,Iuka,"2,378","IUKA @ TCEPA METERING DEPT
(OLD CHEVROLET PLACE)
IUKA MS 38852","104 CONSTITUTION DRIVE IUKA MS
38852"
2B,Burnsville,"1,066","BURNSVILLE @ CHAMBER BLDG
BURNSVILLE MS 38833",322 HWY 72 BURNSVILLE MS 38833
2CM,Coles Mill,675,"COLES MILL @ N XRDS FIRE
DEPT
IUKA MS 38852",200 CR 333 IUKA MS 38852
2NB,North Burnsville,732,"N BURNSVILLE @ COMM CENTER
BURNSVILLE MS 38833","70 MUNICIPAL PARK ROAD
BURNSVILLE MS 38833"
3EI,East Iuka,"1,822","E IUKA @ NATIONAL GUARD
ARMORY
IUKA MS 38852",901 E QUITMAN ST IUKA MS 38852
3MW,Springhill,654,"SPRINGHILL @ OLD MIDWAY
SCHOOL
IUKA MS 38852",473 HWY 364 IUKA MS 38852
4DNS,Dennis,306,"DENNIS @ LIBERTY CHURCH OF
CHRIST OLD FELLOWSHIP HALL
DENNIS MS 38838",689 HWY 25 DENNIS MS 38838
4NBM,North Belmont,393,"NORTH BELMONT @ BLUE SPRS
PARK
BELMONT MS 38827",1 SUMMER ST BELMONT MS 38827
4PDN,Paden,318,"PADEN @ COMMUNITY CENTER
TISHOMINGO MS 38873","1 LENNON AVE TISHOMINGO MS
38873"
4TIS,Tishomingo,"1,491","TISHOMINGO @ TISHOMINGO
COMMUNITY CENTER
TISHOMINGO MS 38873","1267 MAIN ST TISHOMINGO MS
38873"
5Bel,Belmont,"1,218","BELMONT @ AMERICAN LEGION
BLDG
BELMONT MS 38852",17 VALLEY ROAD BELMONT MS 38852
5CS,Cotton Springs,295,"COTTON SPRINGS @ MT ZION
DENNIS MS 38838",596 HWY 4 DENNIS MS 38838
,,,,
