"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
101,Macedonia,340,"MACEDONIA COMMUNITY
CENTER
MYRTLE MS 38650",1022 CR 26 MYRTLE MS 38650
102,Blythe,259,"BLYTHE
HICKORY FLAT MS 38633",1244 CR 10 HICKORY FLAT MS 38633
103,Myrtle,"1,252","TEMPLE BAPTIST FLB
MYRTLE MS 38650","1026 NORTH STREET MYRTLE MS
38650"
104,Glenfield,891,"AMERICAN LEGION HUT
GLENFIELD
NEW ALBANY MS 38652","113 FAIRGROUND CIRCLE NEW
ALBANY MS 38652"
201,Pinedale,467,"PINEDALE FIRE STATION
ETTA MS 38627","1239 ST HIGHWA 355 ETTA MS
38627"
202,West Union,741,"WEST UNION SCHOOL
MYRTLE MS 38650","1610 ST HIGHWAY 30 WEST MYRTLE
MS 38650"
203,Sportsplex,"1,129","NEW ALBANY SPORTSPLEX
NEW ALBANY MS 38652","1165 BRATTON ROAD NEW ALBANY
MS 38652"
204,Ingomar,"1,003","INGOMAR SCHOOL
NEW ALBANY MS 38652",1616 CR 86 NEW ALBANY MS 38652
301,King's Chapel,488,"KING'S CHAPEL INGOMAR FIRE
STATION
NEW ALBANY MS 38652","1521 LOT 1 CR 101 NEW ALBANY MS
38652"
302,Courthouse,"1,046","COURTHOUSE
NEW ALBANY MS 38652","114 EAST BANKHEAD STREET NEW
ALBANY MS 38652"
303,Central Maintenance,925,"CENTRAL MAINTENANCE
NEW ALBANY MS 38652","844 ST HIGHWAY 15 NORTH NEW
ALBANY MS 38652"
304,Beacon Hill,755,"BEACON HILL FIRE STATION
NEW ALBANY MS 38652",1025 CR 278 NEW ALBANY MS 38652
401,Blue Springs,551,"BLUE SPRINGS TOWN HALL
BLUE SPRINGS MS 38828","1182 ST HIGHWAY 9 SOUTH BLUE
SPRINGS MS 38828"
402,Hillcrest Church,934,"HILLCREST CHURCH
NEW ALBANY MS 38652","216 ST HWY 15 S NEW ALBANY MS
38652"
403,Center,460,"CENTER BAPTIST CHURCH
BLUE SPRINGS MS 38828","1710 CR 121 BLUE SPRINGS MS
38828"
404,East Union,"1,002","EAST UNION SCHOOL
BLUE SPRINGS MS 38828","1554 ST HIGHWAY 9 SOUTH BLUE
SPRINGS MS 38828"
501,NE Community College,"1,630",NE COMMUNITY COLLEGE,"301 NORTH STREET NEW ALBANY MS
38652"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,NEW ALBANY MS 38652,
502,Keownville,680,"KEOWNVILLE
NEW ALBANY MS 38652","1471 ST HIGHWAY 30 EAST NEW
ALBANY MS 38652"
503,Pleasant Ridge,353,"PLEASANT RIDGE
NEW ALBANY MS 38652",2075 CR 180 NEW ALBANY MS 38652
504,Jericho,462,"JERICHO BAPTIST CHURCH
BALDWYN MS 38824",2179 CR 171 BALDWYN MS 38824
Total Number of Precincts 20,,"15,368",Total Active Voter Count,
