"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
11,Midway,321,"MIDWAY
TYLERTOWN MS 39667","455 STALLINGS BRIDGE ROAD
TYLERTOWN MS 39667"
12,Lexie,821,"LEXIE
TYLERTOWN MS 39667","8 EAST LEXIE RD TYLERTOWN MS
39667"
13,South Kirklin,255,"SOUTH KIRKLIN
TYLERTOWN MS 39667","707 KIRKLIN ROAD TYLERTOWN MS
39667"
14,North Kirklin,634,"NORTH KIRKLIN
TYLERTOWN MS 39667","418 KIRKLIN ROAD TYLERTOWN MS
39667"
21,East Tylertown,95,"EAST TYLERTOWN
TYLERTOWN MS 39667","705 BROAD STREET TYLERTOWN MS
39667"
22,West Tylertown,658,"WEST TYLERTOWN
TYLERTOWN MS 39667","250 BALL AVENUE TYLERTOWN MS
39667"
23,Mesa,78,"MESA
TYLERTOWN MS 39667","12 MESA WALKER BRIDGE ROAD
TYLERTOWN MS 39667"
24,North Knoxo,"1,028","NORTH KNOXO
TYLERTOWN MS 39667","08 BRANDON BAY ROAD TYLERTOWN
MS 39667"
31,Dexter,841,"DEXTER
TYLERTOWN MS 39667","929 HIGHWAY 48 EAST TYLERTOWN
MS 39667"
32,Improve,570,"IMPROVE
SANDY HOOK MS 39478","1600 HIGHWAY 48 EAST SANDY
HOOK MS 39478"
33,3rd District Tylertown,624,"3RD DISTRICT TYLERTOWN
TYLERTOWN MS 39667","700 UNION ROAD TYLERTOWN MS
39667"
41,4th District Tylertown,427,"4TH DISTRICT TYLERTOWN
TYLERTOWN MS 39667","815 MORRIS AVENUE TYLERTOWN MS
39667"
42,Varnel,686,"VARNEL
TYLERTOWN MS 39667","881 HIGHWAY 27 NORTH
TYLERTOWN MS 39667"
44,Sartinsville,273,"SARTINVILLE
TYLERTOWN MS 39667","1614 HIGHWAY 27 NORTH
TYLERTOWN MS 39667"
48,Darbun,145,"DARBUN
TYLERTOWN MS 39667","411 DARBUN ROAD TYLERTOWN MS
39667"
49,4th Distrct West Tylertown,588,"4TH DISTRICT WEST TYLERTOWN
TYLERTOWN MS 39667","84 NEW BETHEL ROAD TYLERTOWN
MS 39667"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,,
,,,,
,,,,
,,,,
