"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
123,Redwood,336,"RIDGEWAY BAPTIST CHURCH
VICKSBURG MS 39183","4684 REDWOOD ROAD VICKSBURG
MS 39183"
133,Bovina,"1,165","BOVINA BAPTIST CH
VICKSBURG MS 39180",5293 HWY 80 VICKSBURG MS 39180
135,Culkin,"3,315","GIBSON MEM UMC
VICKSBURG MS 39183","335 OAK RIDGE RD VICKSBURG MS
39183"
143,Oakland,832,"OAKLAND BAPTIST CHURCH
VICKSBURG MS 39183","2959 OAK RIDGE RD VICKSBURG MS
39183"
211,Cedar Grove,"1,511","ROLLING ACRES COMM CTR
VICKSBURG MS 39183","131 ELIZABETH CIRCLE VICKSBURG
MS 39183"
212,Kings,"1,066","TRIUMPH MINISTRIES CTR
VICKSBURG MS 39183","200 R L CHASE CIRCLE VICKSBURG
MS 39183"
214,St Aloysius,372,"SPRING HILL MB CH
VICKSBURG MS 39183","815 MISSION 66 VICKSBURG MS
39183"
221,Auditorium,"1,282","CITY AUDITORIUM
VICKSBURG MS 39183","901 MONROE STREET VICKSBURG MS
39183"
222,Brunswick,328,"EAGLE LAKE VOL FIRE DEPT
VICKSBURG MS 39183","15115 HWY 465 VICKSBURG MS
39183"
225,3-61,157,"INTERNATIONAL PAPER
REDWOOD MS 39156",3737 HWY 3 REDWOOD MS 39156
332,American Legion Post,"1,632","AMERICAN LEGION POST 3
VICKSBURG MS 39180","1712 MONROE STREET VICKSBURG
MS 39180"
336,Cherry Street,"2,143","TREE HOUSE BANQUET HALL
VICKSBURG MS 39180","1837 CHERRY ST VICKSBURG MS
39180"
342,No.7 Fire Station,"1,149","TRAVELERS REST BAPTIST CH
VICKSBURG MS 39180","718 BOWMAR AVE VICKSBURG MS
39180"
441,Jett,"1,332","JETT A
VICKSBURG MS 39180","6949 HWY 61 SOUTH VICKSBURG MS
39180"
443,Goodrum,"1,038","GOODRUM BAPTIST CH
VICKSBURG MS 39180","4569 FISHER FERRY ROAD
VICKSBURG MS 39180"
444,Yokena,682,"YOKENA PRESBYTERIAN CH
VICKSBURG MS 39180","10660 HWY 61 SOUTH VICKSBURG
MS 39180"
452,Elks Lodge,"1,355",ELKS LODGE #95,"1366 HWY 61 SOUTH VICKSBURG MS
39180"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
,,,VICKSBURG MS 39180,
531,Beechwood,"1,624","CALVARY BAPTIST CH
VICKSBURG MS 39180","2878 OLD HWY 27 VICKSBURG MS
39180"
551,Moose Lodge,"1,208","BERACHAH BAPTIST CH
VICKSBURG MS 39180","2918 FISHER FERRY ROAD
VICKSBURG MS 39180"
553,Tingleville,956,"CHURCH OF GOD
VICKSBURG MS 39180","5598 GIBSON ROAD VICKSBURG MS
39180"
555,Lee Road,569,"FISHER FERRY FIRE STATION #2
VICKSBURG MS 39180","4423 LEE ROAD VICKSBURG MS
39180"
558,Plumbers & Pipefitters,"1,141","PLUMBERS & PIPEFITTERS
VICKSBURG MS 39180","3203 NORTH FRONTAGE ROAD
VICKSBURG MS 39180"
,,,,
