"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
11,Waynesboro City 1,767,"WAYNESBORO CITY 1
WAYNESBORO MS 39367","120 HOGANS PARK RD,
WAYNESBORO OPTIMIST CLUB
BLDG. WAYNESBORO MS 39367"
12,Waynesboro City 2,"1,090","WAYNESBORO CITY 2 A-L
WAYNESBORO MS 39367","406 MISSISSIPPI DR, PRECINCT
HOUSE WAYNESBORO MS 39367"
13,Waynesboro City 3,"1,071","WAYNESBORO CITY 3 A-L
WAYNESBORO MS 39367","1008 BENTON ST, WAYNESBORO
CITY AUDITORIUM WAYNESBORO MS
39367"
14,Waynesboro City 4,598,"WAYNESBORO CITY 4
WAYNESBORO MS 39367","601 AZALEA DR, VOLUNTEER FIRE
DEPT BLDG WAYNESBORO MS 39367"
15,Waynesboro City 5,510,"WAYNESBORO CITY 5 M-Z
WAYNESBORO MS 39367","3849 HWY 63, NATIONAL GUARD
ARMORY WAYNESBORO MS 39367"
21,State Line,839,"STATE LINE
STATELINE MS 39362","233 MAIN ST, VOLUNTEER FIRE DEPT
STATELINE MS 39362"
24,Eucutta,251,"EUCUTTA
SHUBUTA MS 39360","1504 EUCUTTA SANDERSVILLE RD,
VOLUNTEER FIRE DEPT SHUBUTA MS
39360"
31,Buckatunna,747,"BUCKATUNNA
BUCKATUNNA MS 39322","1678 HWY 45 SOUTH, VOLUNTEER
FIRE DEPT. BLDG. BUCKATUNNA MS
39322"
32,Winchester,763,"WINCHESTER
WAYNESBORO MS 39367","236 WINCHESTER CROSS RD,
PRECINCT HOUSE WAYNESBORO MS
39367"
34,Beat Four,774,"BEAT FOUR A-L
WAYNESBORO MS 39367","5109-A HWY 84, VOLUNTEER FIRE
DEPT WAYNESBORO MS 39367"
35,Corinth,364,"CORINTH
WAYNESBORO MS 39367","2320 CAMP EIGHT RD, PRECINCT
HOUSE BLDG WAYNESBORO MS
39367"
42,Denham,537,"DENHAM
WAYNESBORO MS 39367","612 COUNTY LAKE DENHAM RD,
VOLUNTEER FIRE DEPT
WAYNESBORO MS 39367"
43,Hiwannee,382,"HIWANNEE
WAYNESBORO MS 39367","5834 HWY 45 NORTH, VOL. FIRE
DEPT WAYNESBORO MS 39367"
45,Strengthford,228,"STRENGTHFORD
LAUREL MS 39441","4 STRENGTHFORD COOLEY RD,
VOLUNTEER FIRE DEPT LAUREL MS
39441"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
51,Chicora,378,"CHICORA
BUCKATUNNA MS 39322","1788 BUCKATUNNA CHICORA CLARA
RD, PRECINCT HOUSE BUCKATUNNA
MS 39322"
52,Big Rock,197,"BIG ROCK
WAYNESBORO MS 39367","960 BIG ROCK RD, PRECINCT HOUSE
BLDG WAYNESBORO MS 39367"
53,Matherville/Coyt,176,"MATHERVILLE/COYT
SHUBUTA MS 39360","83 MATHERVILLE FROST B5RIDGE
RD, VOLUNTEER FIRE DEPT BLDG
SHUBUTA MS 39360"
54,Mozingo,426,"MOZINGO
WAYNESBORO MS 39367","1663 RESERVOIR RD, VOLUNTEER
FIRE DEPT. BLDG. WAYNESBORO MS
39367"
64,Pleasant Grove,563,"PLEASANT GROVE
LAUREL MS 39441","157 OLD HWY 84 LOOP RD,
VOLUNTEER FIRE DEPT. BLDG.
LAUREL MS 39441"
65,Clara,"1,573","CLARA A-L
WAYNESBORO MS 39367","2575 HWY 63, VOLUNTEER FIRE DEPT
BLDG. WAYNESBORO MS 39367"
73,Chapparal/Diamond,421,"CHAPPARAL/DIAMOND
WAYNESBORO MS 39367","983 HAYES NUTE RD, PRECINCT
HOUSE WAYNESBORO MS 39367"
83,Yellow Creek,689,"YELLOW CREEK A-L
WAYNESBORO MS 39367","1660 WAYNESBORO SHUBUTA RD,
VOLUNTEER FIRE DEPT BLDG
WAYNESBORO MS 39367"
Total Number of Precincts 22,,"13,344",Total Active Voter Count,
