"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
11,Eupora No. 1,"1,240","COMMUNITY HOUSE
EUPORA MS 39744",142 N DUNN ST EUPORA MS 39744
12,Bluff Springs,179,"BLUFF SPRINGS CHURCH
EUPORA MS 39744","684 BLUFF SPRINGS CHURCH RD
EUPORA MS 39744"
21,Eupora No. 2,452,"DEPT. OF HUMAN SERV.
EUPORA MS 39744","51 GOVERNMENT ST EUPORA MS
39744"
22,Walthall,469,"WALTHALL FIRE DEPT.
WALTHALL MS 39771","515 CARROLL ST WALTHALL MS
39771"
23,Bellefontaine,325,"MASONIC LODGE #174
BELLEFONTAINE MS 39737","13480 MS HWY 404 BELLEFONTAINE
MS 39737"
24,Cadaretta,120,"CADARETTA WATER ASSOC.
BLDG.
GORE SPRINGS MS 38929","3814 CADARETTA RD GORE SPRINGS
MS 38929"
31,Eupora No. 3,380,"DIVERSICARE OF EUPORA
EUPORA MS 39744","156 E WALNUT AVE EUPORA MS
39744"
32,Grady,319,"WEST SHADY GROVE CHURCH
EUPORA MS 39744",2251 GRADY RD EUPORA MS 39744
33,Tomnolen,437,"TOMNOLEN BAPTIST CHURCH
EUPORA MS 39744","147 GREENSBORO RD EUPORA MS
39744"
34,Fay,144,"BOATMANS GARAGE
STEWART MS 39767","1622 STEWART-LODI RD STEWART
MS 39767"
41,Mathiston,643,"MATHISTON PUBLIC LIBRARY
MATHISTON MS 39752","298 SCOTT AVE MATHISTON MS
39752"
42,Maben,580,"CHURCH OF GOD OF PROPHECY
MABEN MS 39750",1390 MS HWY 15 MABEN MS 39750
43,Big Black,263,"BEAT 4 COUNTY BARN
MATHISTON MS 39752","11275 CLARKSON RD MATHISTON MS
39752"
51,Fame,281,"FAME CHURCH
EUPORA MS 39744","1033 FAME CHURCH RD EUPORA MS
39744"
52,Clarkson,362,"CLARKSON FIRE DEPT.
MATHISTON MS 39752","27 FIRE HOUSE RD MATHISTON MS
39752"
53,Cumberland,369,"CUMBERLAND BAPTIST CHURCH
MABEN MS 39750","216 OLD CUMBERLAND RD MABEN
MS 39750"
54,Mantee,407,"MANTEE COMMUNITY CENTER
MANTEE MS 39751",1275 MAIN ST MANTEE MS 39751
