"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
1-1,Mechanicsburg,721,"NEW FIRE STATION HWY 433
BENTONIA MS 39040","4146 HWY 433 WEST BENTONIA MS
39040"
1-2,East Bentonia,444,"BENTONIA TOWN HALL
BENTONIA MS 39040","216 E RAILROAD AVE BENTONIA MS
39040"
1-3,West Bentonia,813,"116 PRITCHARD AVE.
BENTONIA MS 39040","116 PRITCHARD AVE BENTONIA MS
39040"
1-4,Center Ridge,627,"CENTER RIDGE RD ACROSS
FROM
YAZOO CITY MS 39194","3205 CENTER RIDGE ROAD YAZOO
CITY MS 39194"
1-6,LITTLE YAZOO,969,"LITTLE YAZOO SPORT CENTER
YAZOO CITY MS 39194","1649 HWY 49 FRONTAGE ROAD
YAZOO CITY MS 39194"
1-7,Satartia,93,"SATARTIA TOWN HALL
SATARTIA MS 39162","318 PLUM STREET SATARTIA MS
39162"
1-8,Valley,246,"TINSLEY COMMUNITY CENTER
NEXT
YAZOO CITY MS 39194","3666 TINSLEY ROAD YAZOO CITY MS
39194"
2-1,Benton,964,"BENTON FIRE HOUSE
BENTON MS 39039","216 ACADEMY DRIVE BENTON MS
39039"
2-2,Welfare Office,989,"WELFARE OFFICE--GRADY AVE.
YAZOO CITY MS 39194","1315 GRADY AVE YAZOO CITY MS
39194"
2-3,Deasonville,"1,030","DEASONVILLE COMMUNITY
CENTER
VAUGHAN MS 39179","6925 VAUGHAN ROAD VAUGHAN MS
39179"
2-5,Zion,403,"COUNTY ROAD BARN
YAZOO CITY MS 39194","1686 COUNTY BARN ROAD YAZOO
CITY MS 39194"
2-6,Fugates,540,"SCOTLAND STORE AT
INTERSECTION
BENTON MS 39039",SCOTLAND ROAD BENTON MS 39039
3-1,Mound St. Building,911,"OLD WELFARE BLDG. CORNER
MOUND
YAZOO CITY MS 39194","347 NORTH MOUND STREET YAZOO
CITY MS 39194"
3-2,Old Jr. High,"1,367","JR. HIGH SCHOOL
YAZOO CITY MS 39194","516 EAST CANAL STREET YAZOO
CITY MS 39194"
3-3,Jonestown,807,"JONESTOWN COUNTY BARN
YAZOO CITY MS 39194","905 THOMAS AVE YAZOO CITY MS
39194"
3-4,Washington St. Fire Station,734,"WASHINGTON STREET FIRE
STATION
YAZOO CITY MS 39194","210 SOUTH WASHINGTON STREET
YAZOO CITY MS 39194"
"Precinct
Code",Precinct Name,"Active
Voter
Count",Polling Place,Address
4-1,Eden,450,"EDEN FIRE STATION
YAZOO CITY MS 39194","262 EDEN MAIN STREET YAZOO CITY
MS 39194"
4-2,Midway,651,"MIDWAY VOL FIRE STATION
BENTON MS 39039","5891 HWY. 433 NORTH BENTON MS
39039"
4-4,Teen Center,"2,322","TEEN CENTER
YAZOO CITY MS 39194","1200 JACKSON AVE YAZOO CITY MS
39194"
4-5,Free Run,208,"FREERUN COMMUNITY CENTER
YAZOO CITY MS 39194","4320 EDEN MIDWAY ROAD YAZOO
CITY MS 39194"
5-1,Lake City,282,"NEW AIRPORT-CARTER RD
YAZOO CITY MS 39194","1293 CARTER ROAD YAZOO CITY MS
39194"
5-3,Holly Bluff,301,"HOLLY BLUFF FIRE STATION
HOLLY BLUFF MS 39194","995 HIGHWAY 16 WEST HOLLY BLUFF
MS 39194"
,,,,
