election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2016-11-08,MS,Adams,Adams,county,,"Dist. 5, Airport Precinct",,,AIRPORT TERMINAL,"434 AIRPORT RD., NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
2016-11-08,MS,Adams,Adams,county,,"Dist. 1, By-Pass Fire Precinct",,,MISS. AUTO DIRECT,"250 JOHN R JUNKIN DR., NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
2016-11-08,MS,Adams,Adams,county,,"Dist. 1, Bellemont Precinct",,,CROSSPOINT CHURCH,"285 HIGHLAND BLVD., NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
2016-11-08,MS,Adams,Adams,county,,"Dist. 2, Beau Pre Precinct",,,CALVERY BAPTIST CHURCH,"522 HIGHWAY 61 SO., NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
2016-11-08,MS,Adams,Adams,county,,"Dist. 3, Concord Precinct",,,CHRISTIAN HOPE BAPTIST CHURCH,"301 LASALLE ST, NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
2016-11-08,MS,Adams,Adams,county,,"Dist. 1, Courthouse Precinct",,,COURTHOUSE,"115 S. WALL ST., NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
2016-11-08,MS,Adams,Adams,county,,"Dist. 4, Carpenter Precinct",,,ROSE HILL BAPTIST CHURCH,"607 1/2 MADISON ST., NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
2016-11-08,MS,Adams,Adams,county,,"Dist. 2, Duncan Park Precinct",,,DUNCAN PARK CANTEEN,"57 DUNCAN PARK RD., NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
2016-11-08,MS,Adams,Adams,county,,"Dist. 5, Foster Mound Precinct",,,DISTRICT 5 FIRE STATION,"228 FOSTER MOUND RD., NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
2016-11-08,MS,Adams,Adams,county,,"Dist. 2, Kingston Precinct",,,KINGSTON FIRE STATION,"575 KINGSTON RD, NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
2016-11-08,MS,Adams,Adams,county,,"Dist. 2, Liberty Park Precinct",,,MS NAT GUARD ARMORY,"329 LIBERTY RD., NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
2016-11-08,MS,Adams,Adams,county,,"Dist. 4, Morgantown Precinct",,,MORGANTOWN SCHOOL,"101 COTTAGE HOME DR., NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
2016-11-08,MS,Adams,Adams,county,,"Dist. 3, Maryland Hgts. Precinct",,,MARYLAND HEIGHTS REC BLDG,"111 DUMAS DR., NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
2016-11-08,MS,Adams,Adams,county,,"Dist. 3, Nps Multi Purpose Bldg.",,,DAVID R STECKLER MULTI PUR. BLDG,"311 LIBERTY RD., NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
2016-11-08,MS,Adams,Adams,county,,"Dist. 4, Northside Precinct",,,FRAZIER SCHOOL,"1445 GEORGE F WEST BLVD., NATCHEZ MS 39120",,ORR,2019-10-04,PDFs extracted using ABBYY
