election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2020-11-03,MO,Adair,Adair,county,1009-03,BRASHEAR/WILSON 03,BRASHEAR1,,NEMO FAIR GROUNDS,"2700 E ILLINOIS ST KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,1009-04,BRASHEAR/WILSON 04,BRASHEAR1,,NEMO FAIR GROUNDS,"2700 E ILLINOIS ST KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,1009-05,BRASHEAR/WILSON 05,BRASHEAR1,,NEMO FAIR GROUNDS,"2700 E ILLINOIS ST KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,1009-07,BRASHEAR/WILSON 07,BRASHEAR1,,NEMO FAIR GROUNDS,"2700 E ILLINOIS ST KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,1009-08,BRASHEAR/WILSON 08,BRASHEAR1,,NEMO FAIR GROUNDS,"2700 E ILLINOIS ST KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,1009-09,BRASHEAR/WILSON 09,BRASHEAR1,,NEMO FAIR GROUNDS,"2700 E ILLINOIS ST KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,1009-10,BRASHEAR/WILSON 10,BRASHEAR1,,NEMO FAIR GROUNDS,"2700 E ILLINOIS ST KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,101-01,SOUTHWEST ONE/BENTON 01,CORNERSTON,,CORNERSTONE CHURCH,"1702 N ELSON ST KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,102-01,SOUTHEAST TWO/BENTON 01,REHOBOTH,,REHOBOTH BAPTIST CHURCH,"100 PFEIFFER AVE KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,103-01,SOUTHEAST THREE/BENTON 01,MOOSE,,LOYAL ORDER OF THE MOOSE LODGE,"2405 E. ILLINOIS ST. KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,104-01,NORTHEAST FOUR/BENTON 01,ANNEX,,ADAIR COUNTY ANNEX,"300 N FRANKLIN ST KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,105-01,NORTHEAST FIVE/BENTON 01,MOOSE5,,LOYAL ORDER OF THE MOOSE 5,"2405 E ILLINOIS ST KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,106-01,NORTHEAST SIX/BENTON 01,NAZARENE,,CHURCH OF THE NAZARENE,"2302 N LINCOLN RD KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,107-01,TSU/BENTON 01,STUDENT UN,,"STUDENT UNION, FIRST FLOOR","901 S FRANKLIN ST KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,108-01,RURAL BENTON/BENTON 01,CONSER,,MO. DEPT. OF CONSERVATION,"3500 S. BALTIMORE KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,108-02,RURAL BENTON/BENTON 02,CONSER,,MO. DEPT. OF CONSERVATION,"3500 S. BALTIMORE KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,108-03,RURAL BENTON/BENTON 03,CONSER,,MO. DEPT. OF CONSERVATION,"3500 S. BALTIMORE KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,108-04,RURAL BENTON/BENTON 04,CONSER,,MO. DEPT. OF CONSERVATION,"3500 S. BALTIMORE KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,209-01,BRASHEAR/CLAY 01,BRASHEAR1,,NEMO FAIR GROUNDS,"2700 E ILLINOIS ST KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,209-02,BRASHEAR/CLAY 02,BRASHEAR1,,NEMO FAIR GROUNDS,"2700 E ILLINOIS ST KIRKSVILLE, 63501",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,312-01,NOVINGER/LIBERTY 01,NOVINGER,,NOVINGER COMMUNITY CENTER,"101 SNYDER AVE NOVINGER, 63559",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,412-01,NOVINGER/MORROW 01,NOVINGER,,NOVINGER COMMUNITY CENTER,"101 SNYDER AVE NOVINGER, 63559",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,512-01,NOVINGER/NINEVEH 01,NOVINGER,,NOVINGER COMMUNITY CENTER,"101 SNYDER AVE NOVINGER, 63559",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,512-02,NOVINGER/NINEVEH 02,NOVINGER,,NOVINGER COMMUNITY CENTER,"101 SNYDER AVE NOVINGER, 63559",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,512-03,NOVINGER/NINEVEH 03,NOVINGER,,NOVINGER COMMUNITY CENTER,"101 SNYDER AVE NOVINGER, 63559",,website,2020-10-06,
2020-11-03,MO,Adair,Adair,county,512-04,NOVINGER/NINEVEH 04,NOVINGER,,NOVINGER COMMUNITY CENTER,"101 SNYDER AVE NOVINGER, 63559",,website,2020-10-06,
