election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2012-11-06,MT,Beaverhead,Beaverhead,county,1,,,,Lutheran Church,"715 East Bannack, Dillon, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,2,,,,Lutheran Church,"715 East Bannack, Dillon, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,3,,,,Lutheran Church,"715 East Bannack, Dillon, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,4,,,,Lima Fire Hall,"5 West Section Corner Street, Lima, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,5,,,,Lima Comm Fire Hall,"5 W Section Cornter St, Lima, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,6,,,,Lutheran Church,"715 East Bannack, Dillon, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,7,,,,Lutheran Church,"715 East Bannack, Dillon, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,8,,,,Grant School,"12420 Highway 324, Dillon, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,9,,,,Lutheran Church,"715 East Bannack, Dillon, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,12,,,,Lutheran Church,"715 East Bannack, Dillon, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,14,,,,Lutheran Church,"715 East Bannack, Dillon, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,17,,,,Reichle School 1,"6715 Schoolhouse Road, Glen, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,19,,,,Polaris School,"4210 Pioneer Mountains Byway, Polaris, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,20,,,,Jackson School,"415 Jardine Avenue, Jackson, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,21,,,,Wisdom Community Hall,"411 County Road, Wisdom, MT",,ORR,2019-10-02,
2012-11-06,MT,Beaverhead,Beaverhead,county,23,,,,Wise River Fire Hall,"64845 Highway, Wise River, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,1,,,,Peritsa- SR Center,"317 N Custer, Hardin, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,2,,,,Nat'l Park Serv Bldg - Fort,"5 Avenue B, Fort Smith, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,3,,,,Foster -3 SR Center,"317 N Custer, Hardin, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,4,,,,Whitman - SR Center,"317 N Custer, Hardin, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,5,,,,Crow School - Reno,"8470 South Child Street, Crow Agency, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,6,,,,Spring Crk Schl - Sarpy,"22997 East Sarpy Road, Big Horn, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,7,,,,Crow Schl - Crow Agncy,"8470 South Child Street, Crow Agency, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,8,,,,Pretty Eagle Schl - ST X,"18348 South Mission Road, Saint Xavier, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,9,,,,LG Senior Center,"Harding Ave & Wolf Lays Down, Lodge Grass, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,10,,,,Decker School - Decker,"38966 East Tongue Lane, Decker, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,14,,,,Wyola School - Wyola,"41220 South Mondel Avenue, Wyola, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,15,,,,Pryor Elementary School - Pryor,"45089 West School Yard Street, Pryor, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,17,,,,Auditorium - Hardin,"611 West 5th, Hardin, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,18,,,,Auditorium - Hardin,"611 West 5th, Hardin, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,19,,,,Auditorium - Hardin,"611 West 5th, Hardin, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,21,,,,LG High School,"11448 East Lodge Grass School Road, Lodge Grass, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,25,,,,LG High School,"11448 East Lodge Grass School Road, Lodge Grass, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,26,,,,Busby School - Busby,"13152 S. B Street, Busby, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,3 E,,,,East Foster - 3E SR Center,"317 N Custer, Hardin, MT",,ORR,2019-10-02,
2012-11-06,MT,Big Horn,Big Horn,county,4 E,,,,East Whitman - 4E SR Center,"317 N Custer, Hardin, MT",,ORR,2019-10-02,
2012-11-06,MT,Blaine,Blaine,county,1,,,,Turner School #1,"190 1st Street East, Turner, MT",,ORR,2019-10-02,
2012-11-06,MT,Blaine,Blaine,county,3,,,,Sacred Heart Catholic Church #3,"202 Chippewa Ave, Fort Belknap Agency, Harlem, MT",,ORR,2019-10-02,
2012-11-06,MT,Blaine,Blaine,county,8,,,,Harlem High School #8,"610 1st Avenue Southeast, Harlem, MT",,ORR,2019-10-02,
2012-11-06,MT,Blaine,Blaine,county,9,,,,Sacred Heart Catholic Church #3,"202 Chippewa Ave, Fort Belknap Agency, Harlem, MT",,ORR,2019-10-02,
2012-11-06,MT,Blaine,Blaine,county,10,,,,Chinook High School #10,"528 Ohio Street, Chinook, MT",,ORR,2019-10-02,
2012-11-06,MT,Blaine,Blaine,county,11,,,,Chinook High School #11,"528 Ohio Street, Chinook, MT",,ORR,2019-10-02,
2012-11-06,MT,Blaine,Blaine,county,13,,,,Chinook High School #13,"528 Ohio Street, Chinook, MT",,ORR,2019-10-02,
2012-11-06,MT,Blaine,Blaine,county,15,,,,John Capture Center #15,"129 John Capture Road, Hays, MT",,ORR,2019-10-02,
2012-11-06,MT,Broadwater,Broadwater,county,1,,,,Winston Fire Hall,"6467 Hwy 287, Winston, MT",,ORR,2019-10-02,
2012-11-06,MT,Broadwater,Broadwater,county,7,,,,Library Community Room,"201 North Spruce, Townsend, MT",,ORR,2019-10-02,
2012-11-06,MT,Broadwater,Broadwater,county,11,,,,Library Community Room,"201 North Spruce, Townsend, MT",,ORR,2019-10-02,
2012-11-06,MT,Broadwater,Broadwater,county,12,,,,Library Community Room,"201 North Spruce, Townsend, MT",,ORR,2019-10-02,
2012-11-06,MT,Broadwater,Broadwater,county,13,,,,Toston Fire Hall,"8852 Hwy 287, Toston, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,1,,,,Joliet Community Center,"209 Front St, Joliet, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,2,,,,P2 Joliet Community Center,"128 South Main, Joliet, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,3,,,,P3 Joliet Community Center,"209 E Front, Joliet, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,4,,,,P4 Bridger High School,"427 West Park, Bridger, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,5,,,,P5 Bridger High School,"427 West Park, Bridger, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,6,,,,Belfry Elementary School,"26 Wisconsin, Belfry, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,7,,,,Roberts Fire Hall,"5 South First Street, Roberts, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,8,,,,Red Lodge Civic Center1,"214 West 14th, Red Lodge, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,9,,,,Red Lodge Civic Center2,"214 West 14th, Red Lodge, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,10,,,,Red Lodge Civic Center3,"214 West 14th, Red Lodge, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,11,,,,Red Lodge Civic Center4,"214 West 14th, Red Lodge, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,12,,,,Edgar Fire Hall,"222 E Railway Ave, Edgar, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,13,,,,Roscoe Community Center,"1999 Highway 78, Roscoe, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,14,,,,Boyd School,"13 Montana Avenue, Boyd, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,15,,,,Fromberg School Music Room,"319 School, Fromberg, MT",,ORR,2019-10-02,
2012-11-06,MT,Carbon,Carbon,county,16,,,,Luther School,"4 Luther/Roscoe Road, Luther, MT",,ORR,2019-10-02,
2012-11-06,MT,Carter,Carter,county,1,,,,Alzada Community Hall,"142 O'Fallon Street, Alzada, MT",,ORR,2019-10-02,
2012-11-06,MT,Carter,Carter,county,3,,,,Boyes Community Hall,"10460 Hwy212, Boyes, MT",,ORR,2019-10-02,
