election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2016-11-08,MT,Beaverhead,Beaverhead,county,PREC_01,PRECINCT 01,,,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725",,ORR,2019-10-02,
2016-11-08,MT,Beaverhead,Beaverhead,county,PREC_02,PRECINCT 02,,,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725",,ORR,2019-10-02,
2016-11-08,MT,Beaverhead,Beaverhead,county,PREC_03,PRECINCT 03,,,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725",,ORR,2019-10-02,
2016-11-08,MT,Beaverhead,Beaverhead,county,PREC_04,PRECINCT 04,,,LIMA FIRE HALL,"5 WEST SECTION CORNER ST, LIMA, MT 59739",,ORR,2019-10-02,
2016-11-08,MT,Beaverhead,Beaverhead,county,PREC_05,PRECINCT 05,,,LIMA COMM FIRE HALL,"5 W SEC CORNER ST, LIMA, MT 59739",,ORR,2019-10-02,
2016-11-08,MT,Beaverhead,Beaverhead,county,PREC_06,PRECINCT 06,,,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725",,ORR,2019-10-02,
2016-11-08,MT,Beaverhead,Beaverhead,county,PREC_07,PRECINCT 07,,,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725",,ORR,2019-10-02,
2016-11-08,MT,Beaverhead,Beaverhead,county,PREC_08,PRECINCT 08,,,GRANT SCHOOL,"1240 HIGHWAY 324, DILLON, MT 59725",,ORR,2019-10-02,
2016-11-08,MT,Beaverhead,Beaverhead,county,PREC_09,PRECINCT 09,,,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725",,ORR,2019-10-02,
2016-11-08,MT,Beaverhead,Beaverhead,county,PREC_12,PRECINCT 12,,,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725",,ORR,2019-10-02,
2016-11-08,MT,Beaverhead,Beaverhead,county,PREC_14,PRECINCT 14,,,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725",,ORR,2019-10-02,
2016-11-08,MT,Beaverhead,Beaverhead,county,PREC_17,PRECINCT 17,,,REICHLE SCHOOL 1,"6715 SCHOOLHOUSE RD, GLEN, MT 59732",,ORR,2019-10-02,
2016-11-08,MT,Beaverhead,Beaverhead,county,PREC_19,PRECINCT 19,,,POLARIS SCHOOL,"4210 PIONEER MOUNTAINS BYWAY, POLARIS, MT 59746",,ORR,2019-10-02,
2016-11-08,MT,Beaverhead,Beaverhead,county,PREC_20,PRECINCT 20,,,JACKSON SCHOOL,"415 JARDINE, JACKSON, MT 59736",,ORR,2019-10-02,
