jurisdiction_name	text_election_code	date_election	text_name	text_address1	text_address2	text_address3	text_city	cde_state	text_zip5	text_zip4
Adams	GN14	11/4/2014 00:00:00	1st Christian Church 16 2-C	1201 Sheridan			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	1st Congregational Church 14 2-A	2810 W 7th St			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	1st Congregational Church 15 2-B	2810 W 7th St			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	1st Congregational Church 18 2-E	2810 W 7th St			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	1st St Pauls Luth - 501 N Burl. 19 3-A	501 N Burlington Ave			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	Ayr School	1270 S First St			Ayr	NE	68925	
Adams	GN14	11/4/2014 00:00:00	Barrett Alumni Center - 1001 N 6th Ave 26 4-C	1001 N 6th Ave			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	Barrett Alumni Center-1001 N 6th Ave 27 4-D	1001 N 6th Ave			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	Church of the Good Shepherd 21 3-C	1338 N Saunders Ave			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	Church of the Good Shepherd 22 3-D	1338 Saunders Ave			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	Comm Serv Bldg - Fairgrounds 05 Denver	947 S Baltimore Ave			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	Crosier Park 223 E 14th St 25 4-b	223 E 14th St			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	Crosier Park 223 E 14th St 28 4-E	223 E 14th St			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	Dawson Bldg-Fir Rm Ccc 06 Blaine	550 S Technical Blvd	PO Box 1024		Hastings	NE	68902	
Adams	GN14	11/4/2014 00:00:00	Dawson Bldg-Fir Rm Ccc 07 Pauline	550 S Technical Blvd	PO Box 1024		Hastings	NE	68902	
Adams	GN14	11/4/2014 00:00:00	Evangel. Free Church-2015 N St Joe 23 3-E	2015 N Saint Joseph Ave			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	First Christian Church 17 2-D	1201 Sheridan			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	Golden Friendship Center 12 1-B	509 S Bellevue			Hastings	NE	68901	
Adams	GN14	11/4/2014 00:00:00	Hastings Airport-Terminal Bldg 01 West Blue/Highla	3300 W 12th St			Hastings	NE	68901	
