election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2020-11-03,NV,Lander,Lander,county,1,,,polling_place,Battle Mountain Civic Center,"625 S Broad Street, NV 89820",Main Room,website,2020-10-26,
2020-11-03,NV,Lander,Lander,county,2,,,polling_place,Battle Mountain Civic Center,"625 S Broad Street, NV 89820",Main Room,website,2020-10-26,
2020-11-03,NV,Lander,Lander,county,3,,,polling_place,Battle Mountain Civic Center,"625 S Broad Street, NV 89820",Main Room,website,2020-10-26,
2020-11-03,NV,Lander,Lander,county,4,,,polling_place,Battle Mountain Civic Center,"625 S Broad Street, NV 89820",Main Room,website,2020-10-26,
2020-11-03,NV,Lander,Lander,county,5,,,polling_place,Battle Mountain Civic Center,"625 S Broad Street, NV 89820",Main Room,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,BARTLEY RANCH PARK,"6000 BARTLEY RANCH RD, NV 89511",Western Heritage Interpretive Center event room,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,BILLINGHURST MIDDLE SCHOOL,"6685 CHESTERFIELD LN, NV 89523",Gym,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,COLD SPRINGS MIDDLE SCHOOL,"18235 CODY CT, NV 89508",Multipurpose Room,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,DAMONTE RANCH HIGH SCHOOL,"10500 RIO WRANGLER PKWY, NV 89521",Gym,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,DOWNTOWN RENO LIBRARY,"301 S CENTER ST, NV 89501",First floor,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,GALENA HIGH SCHOOL,"3600 BUTCH CASSIDY DR, NV 89511",Gym,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,HUG HIGH SCHOOL,"2880 SUTRO ST, NV 89512",Gym,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,HUNGRY VALLEY GYMNASIUM,"9075 EAGLE CANYON DR, NV 89441",Gym,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,INCLINE VILLAGE MIDDLE SCHOOL,"931 SOUTHWOOD BLVD, NV 89451",Multi-Purpose Room,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,MAY MUSEUM AT RANCHO SAN RAFAEL PARK,"1595 N SIERRA ST, NV 89503",Double Diamond Room,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,MCQUEEN HIGH SCHOOL,"6055 LANCER ST, NV 89523",Gym,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,NATCHEZ ELEMENTARY SCHOOL,"1 STATE ROUTE 447, NV 89442",Multipurpose Room,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,NORTH VALLEYS COMMUNITY CENTER,"8085 SILVER LAKE RD, NV 89506",Main Room,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,NORTH VALLEYS HIGH SCHOOL,"1470 E GOLDEN VALLEY RD, NV 89506",Gym,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,O'BRIEN MIDDLE SCHOOL,"10500 STEAD BLVD, NV 89506",Gym,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,PYRAMID LAKE TRIBAL OFFICE,"208 CAPITOL HILL, NV 89424",Conference Room - Tribal Chambers,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,REED HIGH SCHOOL,"1350 BARING BLVD, NV 89434",Gym,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,REGISTRAR OF VOTERS OFFICE,"1001 E 9TH ST, NV 89512",Building Entrance,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,RENO HIGH SCHOOL,"395 BOOTH ST, NV 89509",Gym,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,RENO-SPARKS CONVENTION CENTER,"4590 S VIRGINIA ST, NV 89502",Conference Rooms,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,RENO-SPARKS INDIAN COLONY GYM,"34 RESERVATION RD BLDG B, NV 89502",Gym,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,RENO-SPARKS LIVESTOCK EVENTS CENTER,"1350 N WELLS AVE, NV 89512",Main Room,website,2020-10-26,
2020-11-03,NV,Washoe,Washoe,county,All,,,polling_place,SKY RANCH MIDDLE SCHOOL,"1200 WINDMILL FARMS PKWY, NV 89436",Gym,website,2020-10-26,
