election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2016-02-09,NH,,ACWORTH,municipality,,,,,Acworth Town Hall,13 Town Hall Rd Acworth NH 03601,,ORR,2019-10-03,
2016-02-09,NH,,ALBANY,municipality,,,,,Albany Town Hall,1972 Route 16 Albany NH 03818,,ORR,2019-10-03,
2016-02-09,NH,,ALEXANDRIA,municipality,,,,,Old Town Hall,45 Washburn Rd Alexandria NH 03222,,ORR,2019-10-03,
2016-02-09,NH,,ALLENSTOWN,municipality,,,,,St Jean The Baptist Parish,Hall 10 School St Allenstown NH 03275,,ORR,2019-10-03,
2016-02-09,NH,,ALSTEAD,municipality,,,,,Town Hall,9 Main St Alstead NH 03602,,ORR,2019-10-03,
2016-02-09,NH,,ALTON,municipality,,,,,Pearson Road Community &,Senior Center 7 Pearson Rd Alton NH 03809,,ORR,2019-10-03,
2016-02-09,NH,,AMHERST,municipality,,,,,Souhegan High School,412 Boston Post Rd Amherst NH 03031,,ORR,2019-10-03,
2016-02-09,NH,,ANDOVER,municipality,,,,,Andover Elementary Middle,School 20 School St Andover NH 03216,,ORR,2019-10-03,
2016-02-09,NH,,ANTRIM,municipality,,,,,Antrim Town Hall,66 Main St Antrim NH 03440,,ORR,2019-10-03,
2016-02-09,NH,,ASHLAND,municipality,,,,,William J. Tirone Gymnasium,27 Highland St Ashland NH 03217,,ORR,2019-10-03,
2016-02-09,NH,,ATKINSON,municipality,,,,,Atkinson Community Center,4 Main St Atkinson NH 03811,,ORR,2019-10-03,
2016-02-09,NH,,AUBURN,municipality,,,,,Auburn Village School,11 Eaton Hill Rd Auburn NH 03032,,ORR,2019-10-03,
2016-02-09,NH,,BARNSTEAD,municipality,,,,,Barnstead Town Hall,108 S Barnstead Rd Barnstead NH 03225,,ORR,2019-10-03,
2016-02-09,NH,,BARRINGTON,municipality,,,,,Barrington Middle School,51 Haley Dr Barrington NH 03825,,ORR,2019-10-03,
2016-02-09,NH,,BARTLETT,municipality,,,,,Bartlett Town Hall,56 Town Hall Rd Bartlett NH 03845,,ORR,2019-10-03,
2016-02-09,NH,,BATH,municipality,,,,,Bath Village School,61 Lisbon Rd Bath NH 03740,,ORR,2019-10-03,
2016-02-09,NH,,BEDFORD,municipality,,,,,Bedford High School,47 Nashua Rd Bedford NH 03110,,ORR,2019-10-03,
2016-02-09,NH,,BELMONT,municipality,,,,,Belmont High School,255 Seavey Rd Belmont NH 03220,,ORR,2019-10-03,
2016-02-09,NH,,BENNINGTON,municipality,,,,,Pierce School,19 Main St Bennington NH 03442,,ORR,2019-10-03,
2016-02-09,NH,,BENTON,municipality,,,,,Benton Town Building,221 Coventry Rd Benton NH 03785,,ORR,2019-10-03,
2016-02-09,NH,,BERLIN ,municipality,,WARD 01,,,WARD 01 - Precinct 1 - Berlin,Recreation Center - First Avenue Entrance 672 First Ave Berlin NH 03570,,ORR,2019-10-03,
2016-02-09,NH,,BERLIN ,municipality,,WARD 02,,,WARD 02 - New: Precinct 3 -,St Anne Hall - 304 School Street Entrance 304 School St Berlin NH 03570,,ORR,2019-10-03,
2016-02-09,NH,,BERLIN ,municipality,,WARD 04,,,WARD 04 - Precinct 4 -,Community Bible Church - Sullivan Street Entrance 593 Sullivan St Berlin NH 03570,,ORR,2019-10-03,
2016-02-09,NH,,BETHLEHEM,municipality,,,,,Bethlehem Town Hall,2155 Main St Bethlehem NH 03574,,ORR,2019-10-03,
2016-02-09,NH,,BOSCAWEN,municipality,,,,,Boscawen Town Hall,12 High St Boscawen NH 03303,,ORR,2019-10-03,
2016-02-09,NH,,BOW,municipality,,,,,Bow Memorial School,20 Bow Center Rd Bow NH 03304,,ORR,2019-10-03,
2016-02-09,NH,,BRADFORD,municipality,,,,,Bradford Town Hall,75 West Main St Bradford NH 03221,,ORR,2019-10-03,
2016-02-09,NH,,BRENTWOOD,municipality,,,,,Brentwood Recreation Center,190 Rte 125 Brentwood NH 03833,,ORR,2019-10-03,
2016-02-09,NH,,BRIDGEWATER,municipality,,,,,Bridgewater Town Hall,297 Mayhew Tpke Bridgewater NH 03222,,ORR,2019-10-03,
2016-02-09,NH,,BRISTOL,municipality,,,,,Marian Center,17 West Shore Rd Bristol NH 03222,,ORR,2019-10-03,
2016-02-09,NH,,BROOKFIELD,municipality,,,,,Brookfield Town House,267 Wentworth Rd Brookfield NH 03872,,ORR,2019-10-03,
2016-02-09,NH,,BROOKLINE,municipality,,,,,Captain Samuel Douglas,Academy 24 Townsend Hill Rd Brookline NH 03033,,ORR,2019-10-03,
2016-02-09,NH,,CAMBRIDGE,municipality,,,,,Errol Town Hall,33 Main St Cambridge NH 03579,,ORR,2019-10-03,
2016-02-09,NH,,CAMPTON,municipality,,,,,Campton Municipal Building,12 Gearty Way Campton NH 03223,,ORR,2019-10-03,
2016-02-09,NH,,CANAAN,municipality,,,,,Canaan Hall,18 Orange Rd Canaan NH 03741,,ORR,2019-10-03,
2016-02-09,NH,,CANDIA,municipality,,,,,Henry W Moore School,12 Deerfield Rd Candia NH 03034,,ORR,2019-10-03,
2016-02-09,NH,,CANTERBURY,municipality,,,,,Old Town Hall,11 Center Rd Canterbury NH 03224,,ORR,2019-10-03,
2016-02-09,NH,,CARROLL,municipality,,,,,Carroll Town Hall/Twin,Mountain 92 School St Carroll NH 03595,,ORR,2019-10-03,
2016-02-09,NH,,CENTER HARBOR,municipality,,,,,Center Harbor Town Office,36 Main St Center Harbor NH 03226,,ORR,2019-10-03,
