election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2020-11-03,NH,,ACWORTH,municipality,,,,,Acworth Town Hall,13 Town Hall Rd Acworth NH 03601,,ORR,2020-10-27,
2020-11-03,NH,,ALBANY,municipality,,,,,Albany Town Hall,1972 Route 16 Albany NH 03818,,ORR,2020-10-27,
2020-11-03,NH,,ALEXANDRIA,municipality,,,,,Old Town Hall,45 Washburn Rd Alexandria NH 03222,,ORR,2020-10-27,
2020-11-03,NH,,ALLENSTOWN,municipality,,,,,St Jean The Baptist Parish,Hall 10 School St Allenstown NH 03275,,ORR,2020-10-27,
2020-11-03,NH,,ALSTEAD,municipality,,,,,Town Hall,9 Main St Alstead NH 03602,,ORR,2020-10-27,
2020-11-03,NH,,ALTON,municipality,,,,,St. Katharine Drexel Church,40 Hidden Spring Rd Alton NH 03809,,ORR,2020-10-27,
2020-11-03,NH,,AMHERST,municipality,,,,,Souhegan High School,412 Boston Post Rd Amherst NH 03031,,ORR,2020-10-27,
2020-11-03,NH,,ANDOVER,municipality,,,,,Andover Elementary Middle,School 20 School St Andover NH 03216,,ORR,2020-10-27,
2020-11-03,NH,,ANTRIM,municipality,,,,,Antrim Town Hall,66 Main St Antrim NH 03440,,ORR,2020-10-27,
2020-11-03,NH,,ASHLAND,municipality,,,,,William J. Tirone Gymnasium,27 Highland St Ashland NH 03217,,ORR,2020-10-27,
2020-11-03,NH,,ATKINSON,municipality,,,,,Atkinson Academy,17 Academy Ave Atkinson NH 03811,,ORR,2020-10-27,
2020-11-03,NH,,AT.& GIL. AC. GT.,municipality,,,,,Colebrook Elementary School,Gym 27 Dumont St At.& Gil. Ac. Gt. NH 03576,,ORR,2020-10-27,
2020-11-03,NH,,AUBURN,municipality,,,,,Auburn Village School,11 Eaton Hill Rd Auburn NH 03032,,ORR,2020-10-27,
2020-11-03,NH,,BARNSTEAD,municipality,,,,,Barnstead Town Hall,108 S Barnstead Rd Barnstead NH 03225,,ORR,2020-10-27,
2020-11-03,NH,,BARRINGTON,municipality,,,,,Barrington Middle School,51 Haley Dr Barrington NH 03825,,ORR,2020-10-27,
2020-11-03,NH,,BARTLETT,municipality,,,,,Josiah Bartlett Elementary,School 1313 Route 302 Bartlett NH 03812,,ORR,2020-10-27,
2020-11-03,NH,,BATH,municipality,,,,,Bath Fire Station,19 Rum Hill Rd Bath NH 03740,,ORR,2020-10-27,
2020-11-03,NH,,BEAN'S GRANT,municipality,,,,,Gorham Town Hall,20 Park Street Gorham - For Polling Location Only Bean's Grant NH 03581,,ORR,2020-10-27,
2020-11-03,NH,,BEAN'S PURCHASE,municipality,,,,,Shelburne Town Hall,74 Village Rd Shelburne - For Polling Location Only Bean's Purchase NH 03581,,ORR,2020-10-27,
2020-11-03,NH,,BEDFORD,municipality,,,,,Bedford High School,47 Nashua Rd Bedford NH 03110,,ORR,2020-10-27,
2020-11-03,NH,,BELMONT,municipality,,,,,Belmont High School,255 Seavey Rd Belmont NH 03220,,ORR,2020-10-27,
2020-11-03,NH,,BENNINGTON,municipality,,,,,Pierce School,19 Main St Bennington NH 03442,,ORR,2020-10-27,
2020-11-03,NH,,BENTON,municipality,,,,,Benton Town Building,221 Coventry Rd Benton NH 03785,,ORR,2020-10-27,
2020-11-03,NH,,BERLIN ,municipality,,WARD 01,,,WARD 01 - Precinct  1 - Berlin,Recreation Center - First Avenue Entrance 672 First Ave Berlin NH 03570,,ORR,2020-10-27,
2020-11-03,NH,,BERLIN ,municipality,,WARD 03,,,WARD 03 - New Precinct 3 St.,Anne Hall 304 School Street-Voting Purposes Only St Berlin NH 03570,,ORR,2020-10-27,
2020-11-03,NH,,BERLIN ,municipality,,WARD 04,,,WARD 04 - Precinct 4 -,Community Bible Church - Sullivan Street Entrance 593 Sullivan St Berlin NH 03570,,ORR,2020-10-27,
2020-11-03,NH,,BETHLEHEM,municipality,,,,,Bethlehem Town Hall,2155 Main St Bethlehem NH 03574,,ORR,2020-10-27,
2020-11-03,NH,,BOSCAWEN,municipality,,,,,Boscawen Elementary School,1 B.E.S.T Ave Boscawen NH 03303,,ORR,2020-10-27,
