FIPS,Election Date,Site Type,Polling Location Name,Polling Location Address,Precinct Name
340,2016-11-08,polling_location,HAMBURG FIRE DEPT MEETING ROOM  ,18 WALLKILL AVE   HAMBURG NJ 07419,HAMBURG-09-02
340,2016-11-08,polling_location,MUNICIPAL BUILDING MEETING ROOM  ,16 WALLKILL AVE   HAMBURG NJ 07419,HAMBURG-09-01
340,2016-11-08,polling_location,ROOSEVELT SCHOOL  ,135 JACKSON AVE   SOUTH PLAINFIELD NJ 07080,SOUTH PLAINFIELD-00-04
340,2016-11-08,polling_location,CONSOLIDATED FIRE COMPANY TRUCK RM  ,34 FIRST ST   KEYPORT NJ 07735,KEYPORT-00-02
340,2016-11-08,polling_location,FOX MEADOW GOLF CENTER CAFE AREA ,2880 RTE 73   MAPLE SHADE TOWNSHIP NJ 08052,MAPLE SHADE TOWNSHIP-00-19
340,2016-11-08,polling_location,ST. ANSELM CHURCH  ,1028 WAYSIDE RD   TINTON FALLS NJ 07724,TINTON FALLS-00-09
340,2016-11-08,polling_location,ALLENTOWN METHODIST CHURCH  ,23 CHURCH ST   ALLENTOWN NJ 08501,ALLENTOWN-00-02
340,2016-11-08,polling_location,ANN STREET SCHOOL (H)  (ENT. DOOR B)  ,30 ANN ST   NEWARK NJ 07105,NEWARK-12-10
340,2016-11-08,polling_location,MUNICIPAL BUILDING  ,10 MANSFIELD DR   BYRAM NJ 07874,BYRAM-04-05
340,2016-11-08,polling_location,SENIOR CITIZEN'S CENTER  FIRST FLOOR,35 EAST SPRINGTOWN RD   LONG VALLEY NJ 07853,WASHINGTON TOWNSHIP-00-08
340,2016-11-08,polling_location,CENTRAL SCHOOL  ,2007 ALLENWOOD RD   WALL NJ 07719,WALL-00-01
340,2016-11-08,polling_location,SOUTH WALL FIRE COMPANY BALLROOM  ,2605 ATLANTIC AVE   WALL NJ 08736,WALL-00-02
340,2016-11-08,polling_location,WASHINGTON TWP BOARD OF EDUCATION  ,206 EAST HOLLY AVE   WASHINGTON NJ 08080,WASHINGTON-00-02
340,2016-11-08,polling_location,OPERATION LIFE BUILDING COMMUNITY RM  ,384 SECOND AVE   LONG BRANCH NJ 07740,LONG BRANCH-00-08
340,2016-11-08,polling_location,WEST BELMAR ELEMENTARY SCHOOL  ,925 SEVENTEENTH AVE   WALL NJ 07719,WALL-00-03
340,2016-11-08,polling_location,PARKWAY SCHOOL  ,446 PARKWAY AVENUE   EWING NJ 08618,EWING-00-12
340,2016-11-08,polling_location,SURREY DOWNS CLUBHOUSE  ,1 QUEEN ANNE BLVD   HOWELL NJ 07731,HOWELL-00-21
340,2016-11-08,polling_location,THE ENGLISH MANOR  ,1 ENGLISH LN   OCEAN NJ 07712,OCEAN-00-07
