election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,COBLE,1,election_day,ALAMANCE CIVITAN CLUB HOUSE,"3328 DOCTOR PICKETT RD, BURLINGTON, NC 27215",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,BURLINGTON 7,10,election_day,ELMIRA COMMUNITY CENTER,"810 WICKER ST, BURLINGTON, NC 27217",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,BOONE 5,11,election_day,ELON FIRE STATION #2,"2110 POWER LINE RD, ELON, NC 27244",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,NORTH BOONE,12,election_day,FIRST BAPTIST CHURCH OF ELON,"621 HAGGARD AVE, ELON, NC 27244",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,FAUCETTE,13,election_day,LAKEVIEW COMMUNITY CHURCH,"101 BOONE RD, BURLINGTON, NC 27217",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,GRAHAM 4,14,election_day,FELLOWSHIP BAPTIST CHURCH,"2744 MAPLE AVE, BURLINGTON, NC 27215",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,WEST BURLINGTON,15,election_day,FIRST PRESBYTERIAN CHURCH,"508 DAVIS ST, BURLINGTON, NC 27215",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,EAST GRAHAM,16,election_day,GRAHAM CIVIC CENTER,"503 MCGEE ST, GRAHAM, NC 27253",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,NORTH GRAHAM,17,election_day,GRAHAM RECREATION CENTER,"311 COLLEGE ST, GRAHAM, NC 27253",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,BURLINGTON 5,18,election_day,GROVE PARK BAPTIST CHURCH,"108 TRAIL ONE, BURLINGTON, NC 27215",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,HAW RIVER,19,election_day,HAW RIVER CIVIC CENTER,"110 STONE ST, HAW RIVER, NC 27258",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,EAST BURLINGTON,2,election_day,FAIRCHILD COMMUNITY CENTER,"827 GRAHAM-HOPEDALE RD, BURLINGTON, NC 27217",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,BURLINGTON 4,20,election_day,HILLCREST ELEMENTARY SCHOOL,"1714 DAVIS ST, BURLINGTON, NC 27215",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,CENTRAL BOONE,21,election_day,HOLLY HILL BAPTIST CHURCH,"2818 EDGEWOOD AVE, BURLINGTON, NC 27215",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,BURLINGTON 8,22,election_day,KERNODLE SENIOR ACTIVITIES CEN,"1535 MEBANE ST, BURLINGTON, NC 27215",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,NORTH BURLINGTON,23,election_day,MAYCO BIGELO CENTER,"849 SHARPE RD, BURLINGTON, NC 27217",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,SOUTH MELVILLE,24,election_day,MEBANE ARTS COMMUNITY CENTER,"622 CORREGIDOR ST, MEBANE, NC 27302",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,NORTH MELVILLE,25,election_day,MEBANE FIRE STATION,"405 FIRST ST, MEBANE, NC 27302",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,PATTERSON,26,election_day,SYLVAN ELEMENTARY SCHOOL,"7718 SYLVAN RD, SNOW CAMP, NC 27349",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,GRAHAM 3,27,election_day,R HOMER ANDREWS ELEMENTARY SCH,"2630 BUCKINGHAM RD, BURLINGTON, NC 27217",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,SOUTH BURLINGTON,28,election_day,NEW BIRTH BAPTISH CHURCH,"424 FLANNER ST, BURLINGTON, NC 27215",,website,2019-06-25,
2014-11-04,NC,ALAMANCE,ALAMANCE,county,,WEST GRAHAM,29,election_day,HARVEY R NEWLIN ELEMENTARY SCH,"316 CARDEN ST, BURLINGTON, NC 27215",,website,2019-06-25,
