election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2020-11-03,ND,Adams,Adams,county,01,,,election_day,Adams County Courthouse,"602 Adams Ave Ste 201, Hettinger, ND 58639",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,01,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,02,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,03,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,04,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,05,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,06,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,07,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,08,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,09,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,10,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,11,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,12,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,13,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,14,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Barnes,Barnes,county,15,,,election_day,Barnes County Courthouse,"230 4th St NW, Valley City, ND 58072",,website,2020-11-01,
2020-11-03,ND,Benson,Benson,county,01,,,election_day,Benson County Courthouse (Precinct 1 & 2),"311 B Ave S, Minnewaukan, ND 58351",,website,2020-11-01,
2020-11-03,ND,Benson,Benson,county,02,,,election_day,Benson County Courthouse (Precinct 1 & 2),"311 B Ave S, Minnewaukan, ND 58351",,website,2020-11-01,
2020-11-03,ND,Benson,Benson,county,03,,,election_day,Ft. Totten Community Center (Precinct 3),"816 3rd Ave. N, Fort Totten, ND 58335",,website,2020-11-01,
2020-11-03,ND,Benson,Benson,county,04,,,election_day,Warwick Public School (Precinct 4),"210 4th Ave, Warwick, ND 58381",,website,2020-11-01,
2020-11-03,ND,Billings,Billings,county,01,,,election_day,BILLINGS COUNTY COURTHOUSE (VOTE CENTER),"495 4TH STREET, MEDORA, ND 58645",,website,2020-11-01,
2020-11-03,ND,Billings,Billings,county,01,,,election_day,FAIRFIELD FIRE HALL (VOTE CENTER),"12823 20TH STREET SW, FAIRFIELD, ND 58627",,website,2020-11-01,
2020-11-03,ND,Billings,Billings,county,02,,,election_day,BILLINGS COUNTY COURTHOUSE (VOTE CENTER),"495 4TH STREET, MEDORA, ND 58645",,website,2020-11-01,
2020-11-03,ND,Billings,Billings,county,02,,,election_day,FAIRFIELD FIRE HALL (VOTE CENTER),"12823 20TH STREET SW, FAIRFIELD, ND 58627",,website,2020-11-01,
2020-11-03,ND,Billings,Billings,county,03,,,election_day,BILLINGS COUNTY COURTHOUSE (VOTE CENTER),"495 4TH STREET, MEDORA, ND 58645",,website,2020-11-01,
2020-11-03,ND,Billings,Billings,county,03,,,election_day,FAIRFIELD FIRE HALL (VOTE CENTER),"12823 20TH STREET SW, FAIRFIELD, ND 58627",,website,2020-11-01,
2020-11-03,ND,Bottineau,Bottineau,county,01,,,election_day,Bottineau Armory,"115 W 6th Street, Bottineau, ND 58318",,website,2020-11-01,
2020-11-03,ND,Bottineau,Bottineau,county,02,,,election_day,Bottineau Armory,"115 W 6th Street, Bottineau, ND 58318",,website,2020-11-01,
2020-11-03,ND,Bottineau,Bottineau,county,03,,,election_day,Bottineau Armory,"115 W 6th Street, Bottineau, ND 58318",,website,2020-11-01,
