election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2020-11-03,OH,ADAMS,ADAMS,county,01AAA,,,,BRATTON TWP BLDG,"2535 LOUDEN RD, PEEBLES, OH 45660",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAB,,,,LYNX OLD SCHOOL BLDG,"505 LYNX DRIVE, WEST UNION, OH 45693",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAD,,,,FRANKLIN TWP BLDG,"2259 CEMETERY RD, PEEBLES, OH 45660",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAE,,,,GREEN TWP FIREHOUSE,"2243 BLUE CREEK RD, STOUT, OH 45684",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAG,,,,JEFFERSON SCHOOL GYM,"8990 BLUE CREEK RD, BLUE CREEK, OH 45616",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAI,,,,LIBERTY TWP BLDG,"8632 SR 136, WEST UNION, OH 45693",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAK,,,,MANCHESTER COMMUNITY BLDG,"400 PIKE STREET, MANCHESTER, OH 45144",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAN,,,,PEEBLES FIREHOUSE,"182 ELM ST., PEEBLES, OH 45660",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAP,,,,PEEBLES FIREHOUSE,"182 ELM ST., PEEBLES, OH 45660",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAR,,,,MONROE TWP. BLDG.,"2416 SR 247, MANCHESTER, OH 45144",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAS,,,,OLIVER TWP FIRE STATION,"4613 UNITY RD., WEST UNION, OH 45693",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAT,,,,SEAMAN FIRE STATION,"6493 TRI-COUNTY RD, SEAMAN, OH 45679",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAU,,,,SEAMAN FIRE STATION,"6493 TRI-COUNTY RD, SEAMAN, OH 45679",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAW,,,,SPRIGG TWP BLDG,"315 POPLAR FLAT RD, WEST UNION, OH 45693",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAY,,,,ADAMS CO FAIRGROUNDS,"836 BOYD AVE, WEST UNION, OH 45693",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01AAZ,,,,ADAMS CO FAIRGROUNDS,"836 BOYD AVE, WEST UNION, OH 45693",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01ABA,,,,ADAMS CO FAIRGROUNDS,"836 BOYD AVE, WEST UNION, OH 45693",,ORR,2020-10-19,
2020-11-03,OH,ADAMS,ADAMS,county,01ABC,,,,ADAMS CO FAIRGROUNDS,"836 BOYD AVE, WEST UNION, OH 45693",,ORR,2020-10-19,
