name,eo_id,ovc_id,physical_address_state,physical_address_city,physical_address_line3,physical_address_line2,physical_address_line1,physical_address_location_name,physical_address_zip,mailing_address_state,mailing_address_line1,mailing_address_line2,mailing_address_line3,mailing_address_location_name,mailing_address_zip,mailing_address_city,elections_url,registration_url,am_i_registered_url,absentee_url,where_do_i_vote_url,what_is_on_my_ballot_url,rules_url,voter_services,hours,id
ADAIR COUNTY ELECTION BOARD,2201,,OK,STILWELL,,"220 W DIVISION ST","COUNTY COURTHOUSE, BASEMENT",,74960,OK,"P.O. BOX 6","",,,74960-0006,STILWELL,,,,,,,,,8:00 - 4:00,1101
ALFALFA COUNTY ELECTION BOARD,2202,,OK,CHEROKEE,,"300 S GRAND AVE","COUNTY COURTHOUSE, FL 2",,73728,OK,"300 S GRAND AVE","",,,73728-2548,CHEROKEE,,,,,,,,,8:30 - 2:30,1102
ATOKA COUNTY ELECTION BOARD,2203,,OK,ATOKA,,"200 E. COURT ST., STE. 106E","COUNTY COURTHOUSE",,74525,OK,"200 E. COURT ST., STE. 106E","",,,74525-2056,ATOKA,,,,,,,,,8:30 - 2:30,1103
BEAVER COUNTY ELECTION BOARD,2204,,OK,BEAVER,,"111 W. 2nd St.","COUNTY COURTHOUSE, BASEMENT",,73932,OK,"P.O. BOX 639","",,,73932-0639,BEAVER,,,,,,,,,8:30 - 2:30,1104
BECKHAM COUNTY ELECTION BOARD,2205,,OK,SAYRE,,"","306 E. MAIN ST",,73662-2923,OK,"306 E. MAIN ST","",,,73662-2923,SAYRE,,,,,,,,,8:00 - 2:00,1105
BLAINE COUNTY ELECTION BOARD,2206,,OK,WATONGA,,"212 N. WEIGLE AVE, STE 6","COUNTY COURTHOUSE",,73772-3844,OK,"212 N. WEIGLE AVE, STE 6","",,,73772-3844,WATONGA,,,,,,,,,8:00 - 4:00,1106
BRYAN COUNTY ELECTION BOARD,2207,,OK,Durant,,"","402 W Evergreen St, Ste A2",,74701,OK,"PO Box 1396","",,,74702-1396,Durant,,,,,,,,,9:00 - 3:00,1107
CADDO COUNTY ELECTION BOARD,2208,,OK,ANADARKO,,"","110 SW 2nd ST, STE 112",,73005,OK,"PO BOX 277","",,,73005-0277,ANADARKO,,,,,,,,,8:30 - 2:30,1108
CANADIAN COUNTY ELECTION BOARD,2209,,OK,El Reno,,"","200 S Bickford Ave",,73036,OK,"P.O. BOX 307","",,,73036-0307,EL RENO,,,,,,,,,8:00 - 4:30,1109
CARTER COUNTY ELECTION BOARD,2210,,OK,Ardmore,,"106 Hinkle St SW","Courthouse Annex #1",,73401,OK,"106 HINKLE ST SW","",,,73401-6412,ARDMORE,,,,,,,,,8:00 - 5:00,1110
CHEROKEE COUNTY ELECTION BOARD,2211,,OK,TAHLEQUAH,,"","914 S. COLLEGE AVE.",,74464,OK,"914 S. COLLEGE AVE.","",,,74464-4726,TAHLEQUAH,,,,,,,,,8:00 - 5:00,1111
CHOCTAW COUNTY ELECTION BOARD,2212,,OK,HUGO,,"300 E Duke St","County Courthouse, west side",,74743,OK,"P.O. BOX 517","",,,74743-0517,HUGO,,,,,,,,,9:00 - 3:00,1112
CIMARRON COUNTY ELECTION BOARD,2213,,OK,BOISE CITY,,"","County Courthouse, basement",,73933,OK,"P.O. BOX 331","",,,73933-0331,BOISE CITY,,,,,,,,,9:00 - 3:00,1113
CLEVELAND COUNTY ELECTION BOARD,2214,,OK,NORMAN,,"","641 E Robinson St, Ste 200",,73071,OK,"641 E Robinson St, Ste 200","",,,73071-6656,NORMAN,,,,,,,,,8:00 - 5:00,1114
COAL COUNTY ELECTION BOARD,2215,,OK,Coalgate,,"","18 N. Michigan St.",,74538-2823,OK,"18 N. Michigan St.","",,,74538-2823,Coalgate,,,,,,,,,8:00 - 2:00,1115
COMANCHE COUNTY ELECTION BOARD,2216,,OK,LAWTON,,"315 SW 5th ST, ROOM 206","COUNTY COURTHOUSE",,73501,OK,"315 SW 5th ST, ROOM 206","",,,73501-4326,LAWTON,,,,,,,,,8:30 - 5:00,1116
COTTON COUNTY ELECTION BOARD,2217,,OK,WALTERS,,"301 N Broadway St, Rm 2","County Courthouse",,73572,OK,"301 N Broadway St, Rm 2","",,,73572-1271,WALTERS,,,,,,,,,9:00 - 3:00,1117
CRAIG COUNTY ELECTION BOARD,2218,,OK,VINITA,,"","210 W Delaware Ave, Ste 108",,74301,OK,"210 W Delaware Ave, Ste 108","",,,74301-4236,VINITA,,,,,,,,,8:30 - 4:30,1118
CREEK COUNTY ELECTION BOARD,2219,,OK,SAPULPA,,"","230 E Hobson Ave",,74066,OK,"P.O. BOX 990","",,,74067-0990,SAPULPA,,,,,,,,,8:00 - 5:00,1119
CUSTER COUNTY ELECTION BOARD,2220,,OK,CLINTON,,"","633 N 6th St",,73601,OK,"PO BOX 1326","",,,73601-1326,CLINTON,,,,,,,,,8:00 - 4:00,1120
DELAWARE COUNTY ELECTION BOARD,2221,,OK,JAY,,"","225 S 5th St",,74346,OK,"PO BOX 589","",,,74346-0589,JAY,,,,,,,,,9:00 - 3:00,1121
DEWEY COUNTY ELECTION BOARD,2222,,OK,TALOGA,,"","County Courthouse, basement",,73667,OK,"PO BOX 115","",,,73667-0115,TALOGA,,,,,,,,,8:00 - 2:00,1122
ELLIS COUNTY ELECTION BOARD,2223,,OK,ARNETT,,"101 S Washington St","County Courthouse, basement",,73832,OK,"PO BOX 492","",,,73832-0492,ARNETT,,,,,,,,,8:30 - 2:30,1123
GARFIELD COUNTY ELECTION BOARD,2224,,OK,ENID,,"","903 Failing Dr",,73701,OK,"PO BOX 1872","",,,73702-1872,ENID,,,,,,,,,9:00 - 4:00,1124
GARVIN COUNTY ELECTION BOARD,2225,,OK,PAULS VALLEY,,"201 W Grant Ave, Rm 8","County Courthouse, 1st floor",,73075,OK,"201 W GRANT AVE, RM 8","",,,73075-3234,PAULS VALLEY,,,,,,,,,8:30 - 4:30,1125
GRADY COUNTY ELECTION BOARD,2226,,OK,CHICKASHA,,"","307 W Pennsylvania Ave",,73018,OK,"PO BOX 1226","",,,73023-1226,CHICKASHA,,,,,,,,,9:00 - 3:00,1126
GRANT COUNTY ELECTION BOARD,2227,,OK,MEDFORD,,"112 E Guthrie St, Ste 101A","County Courthouse",,73759,OK,"PO BOX 68","",,,73759-0068,MEDFORD,,,,,,,,,8:00 - 2:00,1127
GREER COUNTY ELECTION BOARD,2228,,OK,Mangum,,"106 E. Jefferson St., Rm. 1","County Courthouse, 1st floor",,73554-4273,OK,"106 E. Jefferson St., Rm. 1","",,,73554-4273,Mangum,,,,,,,,,8:00 - 2:00,1128
