locality_id,early_vote_site_id
6601,3301
6602,3302
6603,3303
6604,3304
6605,3305
6606,3306
6607,3307
6608,3308
6609,3309
6610,3310
6611,3311
6612,3312
6613,3313
6614,3314
6615,3315
6616,3316
6617,3317
6618,3318
6619,3319
6620,3320
6621,3321
6622,3322
6623,3323
6624,3324
6625,3325
6626,3326
6627,3327
6628,3328
6629,3329
6630,3330
6631,3331
6632,3332
6633,3333
6634,3334
6635,3335
6636,3336
6637,3337
6638,3338
6639,3339
6640,3340
6641,3341
6642,3342
6643,3343
6644,3344
6645,3345
6646,3346
6647,3347
6648,3348
6649,3349
6650,3350
6651,3351
6652,3352
6653,3353
6654,3354
6655,3355
6656,3356
6657,3357
6658,3358
6659,3359
6660,3360
6661,3361
6662,3362
6663,3363
6664,3364
6665,3365
6666,3366
6667,3367
6668,3368
6669,3369
6670,3370
6671,3371
6672,3372
6673,3373
6674,3374
6675,3375
6676,3376
6677,3377
6614,3422686
6672,3422685
6655,35999999
