name,number,locality_id,ward,mail_only,ballot_style_image_url,id
ADAIR COUNTY PRECINCT 010001,010001,6601,,NO,,77010001
ADAIR COUNTY PRECINCT 010002,010002,6601,,NO,,77010002
ADAIR COUNTY PRECINCT 010003,010003,6601,,NO,,77010003
ADAIR COUNTY PRECINCT 010004,010004,6601,,NO,,77010004
ADAIR COUNTY PRECINCT 010005,010005,6601,,NO,,77010005
ADAIR COUNTY PRECINCT 010006,010006,6601,,NO,,77010006
ADAIR COUNTY PRECINCT 010007,010007,6601,,NO,,77010007
ADAIR COUNTY PRECINCT 010008,010008,6601,,NO,,77010008
ADAIR COUNTY PRECINCT 010010,010010,6601,,NO,,77010010
ADAIR COUNTY PRECINCT 010011,010011,6601,,NO,,77010011
ADAIR COUNTY PRECINCT 010012,010012,6601,,NO,,77010012
ADAIR COUNTY PRECINCT 010013,010013,6601,,NO,,77010013
ADAIR COUNTY PRECINCT 010014,010014,6601,,NO,,77010014
ADAIR COUNTY PRECINCT 010016,010016,6601,,NO,,77010016
ADAIR COUNTY PRECINCT 010017,010017,6601,,NO,,77010017
ADAIR COUNTY PRECINCT 010018,010018,6601,,NO,,77010018
ADAIR COUNTY PRECINCT 010019,010019,6601,,NO,,77010019
ALFALFA COUNTY PRECINCT 020110,020110,6602,,NO,,77020110
ALFALFA COUNTY PRECINCT 020120,020120,6602,,NO,,77020120
ALFALFA COUNTY PRECINCT 020140,020140,6602,,NO,,77020140
ALFALFA COUNTY PRECINCT 020220,020220,6602,,NO,,77020220
ALFALFA COUNTY PRECINCT 020230,020230,6602,,NO,,77020230
ALFALFA COUNTY PRECINCT 020310,020310,6602,,NO,,77020310
ALFALFA COUNTY PRECINCT 020330,020330,6602,,NO,,77020330
ATOKA COUNTY PRECINCT 030001,030001,6603,,NO,,77030001
ATOKA COUNTY PRECINCT 030002,030002,6603,,NO,,77030002
ATOKA COUNTY PRECINCT 030003,030003,6603,,NO,,77030003
ATOKA COUNTY PRECINCT 030006,030006,6603,,NO,,77030006
ATOKA COUNTY PRECINCT 030007,030007,6603,,NO,,77030007
ATOKA COUNTY PRECINCT 030008,030008,6603,,NO,,77030008
ATOKA COUNTY PRECINCT 030009,030009,6603,,NO,,77030009
ATOKA COUNTY PRECINCT 030010,030010,6603,,NO,,77030010
ATOKA COUNTY PRECINCT 030011,030011,6603,,NO,,77030011
ATOKA COUNTY PRECINCT 030012,030012,6603,,NO,,77030012
ATOKA COUNTY PRECINCT 030013,030013,6603,,NO,,77030013
ATOKA COUNTY PRECINCT 030014,030014,6603,,NO,,77030014
ATOKA COUNTY PRECINCT 030015,030015,6603,,NO,,77030015
ATOKA COUNTY PRECINCT 030016,030016,6603,,NO,,77030016
ATOKA COUNTY PRECINCT 030017,030017,6603,,NO,,77030017
ATOKA COUNTY PRECINCT 030018,030018,6603,,NO,,77030018
ATOKA COUNTY PRECINCT 030019,030019,6603,,NO,,77030019
BEAVER COUNTY PRECINCT 040011,040011,6604,,NO,,77040011
BEAVER COUNTY PRECINCT 040013,040013,6604,,NO,,77040013
BEAVER COUNTY PRECINCT 040023,040023,6604,,NO,,77040023
BEAVER COUNTY PRECINCT 040025,040025,6604,,NO,,77040025
BEAVER COUNTY PRECINCT 040026,040026,6604,,NO,,77040026
BEAVER COUNTY PRECINCT 040031,040031,6604,,NO,,77040031
BEAVER COUNTY PRECINCT 040033,040033,6604,,NO,,77040033
BECKHAM COUNTY PRECINCT 050111,050111,6605,,NO,,77050111
BECKHAM COUNTY PRECINCT 050112,050112,6605,,NO,,77050112
BECKHAM COUNTY PRECINCT 050115,050115,6605,,NO,,77050115
BECKHAM COUNTY PRECINCT 050141,050141,6605,,NO,,77050141
BECKHAM COUNTY PRECINCT 050231,050231,6605,,NO,,77050231
BECKHAM COUNTY PRECINCT 050232,050232,6605,,NO,,77050232
BECKHAM COUNTY PRECINCT 050235,050235,6605,,NO,,77050235
BECKHAM COUNTY PRECINCT 050242,050242,6605,,NO,,77050242
BECKHAM COUNTY PRECINCT 050320,050320,6605,,NO,,77050320
BECKHAM COUNTY PRECINCT 050330,050330,6605,,NO,,77050330
BECKHAM COUNTY PRECINCT 050332,050332,6605,,NO,,77050332
BECKHAM COUNTY PRECINCT 050333,050333,6605,,NO,,77050333
BECKHAM COUNTY PRECINCT 050343,050343,6605,,NO,,77050343
BLAINE COUNTY PRECINCT 060002,060002,6606,,NO,,77060002
BLAINE COUNTY PRECINCT 060007,060007,6606,,NO,,77060007
BLAINE COUNTY PRECINCT 060010,060010,6606,,NO,,77060010
BLAINE COUNTY PRECINCT 060011,060011,6606,,NO,,77060011
BLAINE COUNTY PRECINCT 060012,060012,6606,,NO,,77060012
BLAINE COUNTY PRECINCT 060016,060016,6606,,NO,,77060016
BLAINE COUNTY PRECINCT 060017,060017,6606,,NO,,77060017
BLAINE COUNTY PRECINCT 060020,060020,6606,,NO,,77060020
BLAINE COUNTY PRECINCT 060022,060022,6606,,NO,,77060022
BRYAN COUNTY PRECINCT 070003,070003,6607,,NO,,77070003
BRYAN COUNTY PRECINCT 070004,070004,6607,,NO,,77070004
BRYAN COUNTY PRECINCT 070005,070005,6607,,NO,,77070005
BRYAN COUNTY PRECINCT 070008,070008,6607,,NO,,77070008
BRYAN COUNTY PRECINCT 070010,070010,6607,,NO,,77070010
BRYAN COUNTY PRECINCT 070011,070011,6607,,NO,,77070011
BRYAN COUNTY PRECINCT 070013,070013,6607,,NO,,77070013
BRYAN COUNTY PRECINCT 070014,070014,6607,,NO,,77070014
BRYAN COUNTY PRECINCT 070015,070015,6607,,NO,,77070015
BRYAN COUNTY PRECINCT 070017,070017,6607,,NO,,77070017
BRYAN COUNTY PRECINCT 070018,070018,6607,,NO,,77070018
BRYAN COUNTY PRECINCT 070019,070019,6607,,NO,,77070019
BRYAN COUNTY PRECINCT 070020,070020,6607,,NO,,77070020
BRYAN COUNTY PRECINCT 070021,070021,6607,,NO,,77070021
BRYAN COUNTY PRECINCT 070022,070022,6607,,NO,,77070022
BRYAN COUNTY PRECINCT 070023,070023,6607,,NO,,77070023
BRYAN COUNTY PRECINCT 070025,070025,6607,,NO,,77070025
BRYAN COUNTY PRECINCT 070026,070026,6607,,NO,,77070026
BRYAN COUNTY PRECINCT 070027,070027,6607,,NO,,77070027
BRYAN COUNTY PRECINCT 070028,070028,6607,,NO,,77070028
BRYAN COUNTY PRECINCT 070029,070029,6607,,NO,,77070029
BRYAN COUNTY PRECINCT 070033,070033,6607,,NO,,77070033
CADDO COUNTY PRECINCT 080012,080012,6608,,NO,,77080012
CADDO COUNTY PRECINCT 080022,080022,6608,,NO,,77080022
CADDO COUNTY PRECINCT 080031,080031,6608,,NO,,77080031
CADDO COUNTY PRECINCT 080041,080041,6608,,NO,,77080041
CADDO COUNTY PRECINCT 080051,080051,6608,,NO,,77080051
CADDO COUNTY PRECINCT 080102,080102,6608,,NO,,77080102
CADDO COUNTY PRECINCT 080509,080509,6608,,NO,,77080509
CADDO COUNTY PRECINCT 080510,080510,6608,,NO,,77080510
CADDO COUNTY PRECINCT 080511,080511,6608,,NO,,77080511
CADDO COUNTY PRECINCT 080712,080712,6608,,NO,,77080712
CADDO COUNTY PRECINCT 080715,080715,6608,,NO,,77080715
CADDO COUNTY PRECINCT 080810,080810,6608,,NO,,77080810
CADDO COUNTY PRECINCT 080811,080811,6608,,NO,,77080811
CADDO COUNTY PRECINCT 080812,080812,6608,,NO,,77080812
CADDO COUNTY PRECINCT 081009,081009,6608,,NO,,77081009
CADDO COUNTY PRECINCT 081010,081010,6608,,NO,,77081010
CADDO COUNTY PRECINCT 081011,081011,6608,,NO,,77081011
CADDO COUNTY PRECINCT 081013,081013,6608,,NO,,77081013
CADDO COUNTY PRECINCT 081111,081111,6608,,NO,,77081111
CADDO COUNTY PRECINCT 081213,081213,6608,,NO,,77081213
CANADIAN COUNTY PRECINCT 090100,090100,6609,,NO,,77090100
