election_id,electoral_district_id,type,partisan,primary_party,electorate_specifications,special,office,filing_closed_date,number_elected,number_voting_for,ballot_id,ballot_placement,id
44201611,99213,General,,,,No,"CORPORATION COMMISSIONER",,1,1,asdf,150,8210002
44201611,99213,General,,,,No,"PRESIDENT",,1,1,asdf,999,8210001
44201611,99257,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 85",,1,1,asdf,206,8210118
44201611,99256,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 73",,1,1,asdf,206,8210106
44201611,99255,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 47",,1,1,asdf,206,8210080
44201611,99254,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 45",,1,1,asdf,206,8210078
44201611,99253,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 27",,1,1,asdf,206,8210060
44201611,99252,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 12",,1,1,asdf,206,8210045
44201611,99251,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 10",,1,1,asdf,206,8210043
44201611,99250,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 7",,1,1,asdf,206,8210040
44201611,99249,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 77",,1,1,asdf,206,8210110
44201611,99248,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 93",,1,1,asdf,206,8210126
44201611,99247,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 11",,1,1,asdf,206,8210044
44201611,99246,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 38",,1,1,asdf,206,8210071
44201611,99245,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 65",,1,1,asdf,206,8210098
44201611,99244,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 50",,1,1,asdf,206,8210083
44201611,99238,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 20",,1,1,asdf,206,8210053
44201611,99223,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 94",,1,1,asdf,206,8210127
44201611,99222,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 83",,1,1,asdf,206,8210116
44201611,99221,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 81",,1,1,asdf,206,8210114
44201611,99220,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 67",,1,1,asdf,206,8210100
44201611,99219,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 52",,1,1,asdf,206,8210085
44201611,99218,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 24",,1,1,asdf,206,8210057
44201611,99217,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 21",,1,1,asdf,206,8210054
44201611,99216,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 16",,1,1,asdf,206,8210049
44201611,99215,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 9",,1,1,asdf,206,8210042
44201611,99214,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 18",,1,1,asdf,206,8210051
44201611,99193,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 100",,1,1,asdf,206,8210133
44201611,99192,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 98",,1,1,asdf,206,8210131
44201611,99191,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 90",,1,1,asdf,206,8210123
44201611,99190,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 75",,1,1,asdf,206,8210108
44201611,99189,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 74",,1,1,asdf,206,8210107
44201611,99188,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 70",,1,1,asdf,206,8210103
44201611,99187,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 53",,1,1,asdf,206,8210086
44201611,99186,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 42",,1,1,asdf,206,8210075
44201611,99185,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 39",,1,1,asdf,206,8210072
44201611,99184,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 15",,1,1,asdf,206,8210048
44201611,99183,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 14",,1,1,asdf,206,8210047
44201611,99182,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 3",,1,1,asdf,206,8210036
44201611,99181,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 88",,1,1,asdf,206,8210121
44201611,99180,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 23",,1,1,asdf,206,8210056
44201611,99179,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 35",,1,1,asdf,206,8210068
44201611,99175,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 48",,1,1,asdf,206,8210081
44201611,99158,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 97",,1,1,asdf,206,8210130
44201611,99157,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 72",,1,1,asdf,206,8210105
44201611,99156,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 63",,1,1,asdf,206,8210096
44201611,99155,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 36",,1,1,asdf,206,8210069
44201611,99154,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 6",,1,1,asdf,206,8210039
44201611,99153,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 37",,1,1,asdf,206,8210070
44201611,99152,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 57",,1,1,asdf,206,8210090
44201611,99151,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 19",,1,1,asdf,206,8210052
44201611,99150,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 61",,1,1,asdf,206,8210094
44201611,99120,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 96",,1,1,asdf,206,8210129
44201611,99119,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 68",,1,1,asdf,206,8210101
44201611,99118,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 49",,1,1,asdf,206,8210082
44201611,99117,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 25",,1,1,asdf,206,8210058
44201611,99116,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 17",,1,1,asdf,206,8210050
44201611,99115,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 66",,1,1,asdf,206,8210099
44201611,99103,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 95",,1,1,asdf,206,8210128
44201611,99102,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 89",,1,1,asdf,206,8210122
44201611,99101,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 78",,1,1,asdf,206,8210111
44201611,99100,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 51",,1,1,asdf,206,8210084
44201611,9999,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 46",,1,1,asdf,206,8210079
44201611,9998,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 33",,1,1,asdf,206,8210066
44201611,9997,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 30",,1,1,asdf,206,8210063
44201611,9996,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 29",,1,1,asdf,206,8210062
44201611,9995,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 5",,1,1,asdf,206,8210038
44201611,9994,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 8",,1,1,asdf,206,8210041
44201611,9993,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 43",,1,1,asdf,206,8210076
44201611,9992,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 80",,1,1,asdf,206,8210113
44201611,9991,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 32",,1,1,asdf,206,8210065
44201611,9990,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 76",,1,1,asdf,206,8210109
44201611,9968,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 92",,1,1,asdf,206,8210125
44201611,9967,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 91",,1,1,asdf,206,8210124
44201611,9966,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 87",,1,1,asdf,206,8210120
44201611,9965,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 86",,1,1,asdf,206,8210119
44201611,9964,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 82",,1,1,asdf,206,8210115
44201611,9963,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 71",,1,1,asdf,206,8210104
44201611,9962,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 64",,1,1,asdf,206,8210097
44201611,9961,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 62",,1,1,asdf,206,8210095
44201611,9960,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 59",,1,1,asdf,206,8210092
44201611,9959,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 44",,1,1,asdf,206,8210077
44201611,9958,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 40",,1,1,asdf,206,8210073
44201611,9957,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 28",,1,1,asdf,206,8210061
44201611,9956,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 26",,1,1,asdf,206,8210059
44201611,9955,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 2",,1,1,asdf,206,8210035
44201611,9954,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 84",,1,1,asdf,206,8210117
44201611,9953,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 79",,1,1,asdf,206,8210112
44201611,9952,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 41",,1,1,asdf,206,8210074
44201611,9951,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 1",,1,1,asdf,206,8210034
44201611,9950,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 60",,1,1,asdf,206,8210093
44201611,9949,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 22",,1,1,asdf,206,8210055
44201611,9948,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 55",,1,1,asdf,206,8210088
44201611,9927,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 101",,1,1,asdf,206,8210134
44201611,9926,General,,,,No,"STATE REPRESENTATIVE, DISTRICT 58",,1,1,asdf,206,8210091
