address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,polling_hours,photo_url,id
"DAHLONEGAH SCHOOL","DAHLONEGAH SCHOOL","RT 1 BOX 351",,"STILWELL",OK,74960,,7:00 AM - 7:00 PM,,8811612
"PENTECOSTAL HOLINESS CHURCH","PENTECOSTAL HOLINESS CHURCH","102 N 6TH STREET",,"STILWELL",OK,74960,,7:00 AM - 7:00 PM,,8811615
"BELL SCHOOL","BELL SCHOOL","P O BOX  346",,"STILWELL",OK,74960,,7:00 AM - 7:00 PM,,8811621
"FOUR CORNER CHURCH OF CHRIST","FOUR CORNERS CHURCH OF CHRIST","HWY 100 EAST",,"STILWELL",OK,74960,,7:00 AM - 7:00 PM,,8811622
"WATTS BAPTIST CHURCH","WATTS BAPTIST CHURCH","",,"WATTS",OK,74964,,7:00 AM - 7:00 PM,,8811626
"BURLINGTON FIREHOUSE","BURLINGTON FIREHOUSE OFFICE","410 MAPLE",,"BURLINGTON",OK,73722,,7:00 AM - 7:00 PM,,8811629
"BM BAPTIST ASSOCIATION","1906 N WATTS","",,"SAYRE",OK,73662,,7:00 AM - 7:00 PM,,8811603
"CANTON COMMUNITY CENTER","301 NORTH GARFIELD","",,"CANTON",OK,73724,,7:00 AM - 7:00 PM,,8811610
"GREENFIELD BAPTIST CHURCH","GREENFIELD","",,"GREENFIELD",OK,73043,,7:00 AM - 7:00 PM,,8811632
"MEAD BAPTIST CHURCH","321 SOUTH CHURCH STREET","",,"MEAD",OK,73449,,7:00 AM - 7:00 PM,,8811256
"FIRST BAPTIST CHURCH","700 W. PETREE ROAD","PETREE AND MISSION",,"ANADARKO",OK,73005,,7:00 AM - 7:00 PM,,8811266
"MUSTANG NAZARENE CHURCH","700 E HIGHWAY 152","",,"MUSTANG",OK,73064,,7:00 AM - 7:00 PM,,8811297
"PIEDMONT UNITED METHODIST CHUR","2525 N PIEDMONT ROAD","",,"PIEDMONT",OK,73078,,7:00 AM - 7:00 PM,,8811420
"PIEDMONT FIRST BAPTIST CHURCH ","15 JACKSON AVE NW","",,"PIEDMONT",OK,73078,,7:00 AM - 7:00 PM,,8811421
"HFV WILSON COMMUNITY CENTER","625 E. MAIN","",,"ARDMORE",OK,73401,,7:00 AM - 7:00 PM,,8811424
"NEW HOPE F.W. BAPTIST CHURCH","9003 PRAIRIE VALLEY ROAD","",,"LONE GROVE",OK,73443,,7:00 AM - 7:00 PM,,8811437
"RATLIFF CITY HALL","RATLIFF CITY HALL","PO BOX 142",,"RATLIFF CITY",OK,73481,,7:00 AM - 7:00 PM,,8811183
"ARMORY MUNICIPAL CENTER","100 N WATER AVE","",,"TAHLEQUAH",OK,74464,,7:00 AM - 7:00 PM,,8811447
"WESLEY UNITED METHODIST CHURCH","504 SOUTH F ST.","",,"HUGO",OK,74743,,7:00 AM - 7:00 PM,,8828550
"LIBRARY","102 S.ELLIS AVE","",,"BOISE CITY",OK,73933,,7:00 AM - 7:00 PM,,8811479
"ST. JOHN'S EPISCOPAL CHURCH","235 W DUFFY","",,"NORMAN",OK,73069,,7:00 AM - 7:00 PM,,8811489
"CALVARY CHAPEL OF NORMAN","1401 W BOYD ST","",,"NORMAN",OK,73069,,7:00 AM - 7:00 PM,,8811492
"HEAVENLY HEIGHTS BAPT. CHURCH","3600 SE 89 ST","",,"OKLAHOMA CITY",OK,73135,,7:00 AM - 7:00 PM,,8811497
"GOODRICH MEM UNITED METHODIST ","200 W HAYES","",,"NORMAN",OK,73069,,7:00 AM - 7:00 PM,,8811192
"SOUTHWEST MANSIONS","9900 S WESTERN","",,"OKLAHOMA CITY",OK,73139,,7:00 AM - 7:00 PM,,8811510
"ENTERPRISE BAPTIST CHURCH","2425 SE 84TH","",,"NORMAN",OK,73026,,7:00 AM - 7:00 PM,,8811514
"MEMORIAL PRESBYTERIAN CHURCH","601 24TH AVE SW.","",,"NORMAN",OK,73069,,7:00 AM - 7:00 PM,,8811524
"ST. JOHN'S LUTHERAN CHURCH","1032 NW 12TH ST.","",,"MOORE",OK,73160,,7:00 AM - 7:00 PM,,8811525
"FAITHPOINTE CHURCH","3404 36TH AVE NW","",,"NORMAN",OK,73072,,7:00 AM - 7:00 PM,,8811536
"LAKESIDE CHURCH OF GOD","4400 E ALAMEDA","",,"NORMAN",OK,73026,,7:00 AM - 7:00 PM,,8813485
"VALLEY INSURANCE BUILDING","17 N MAIN STREET","",,"COALGATE",OK,74538,,7:00 AM - 7:00 PM,,8811551
"BETHLEHEM BAPTIST CHURCH","602 NW ARLINGTON AVE","",,"LAWTON",OK,73507,,7:00 AM - 7:00 PM,,8824685
"IMMANUEL BAPTIST CHURCH","1314 SW 11 ST","",,"LAWTON",OK,73501,,7:00 AM - 7:00 PM,,8811568
"CALVARY BAPTIST CHURCH","601 E. INDIANA ST.","",,"WALTERS",OK,73572,,7:00 AM - 7:00 PM,,8811302
"RANDLETT COMMUNITY BUILDING","RANDLETT COMMUNITY BUILDING","",,"RANDLETT",OK,73562,,7:00 AM - 7:00 PM,,8811307
"WHITE OAK BAPTIST CHURCH","154 KENNEDY ST","WHITE OAK",,"VINITA",OK,74301,,7:00 AM - 7:00 PM,,8811310
"COMMUNITY OF CHRIST ","HOPE AVE","",,"VINITA",OK,74301,,7:00 AM - 7:00 PM,,8811319
"EPISCOPAL CHURCH","1420 E. DEWEY","",,"SAPULPA",OK,74066,,7:00 AM - 7:00 PM,,8811208
"NAZARENE CHURCH","302 S. ELM","",,"SAPULPA",OK,74066,,7:00 AM - 7:00 PM,,8811325
"ST. JOSEPHS CATHOLIC CHURCH","308 N. ELM, BRISTOW","",,"BRISTOW",OK,74010,,7:00 AM - 7:00 PM,,8811328
"CANYON ROAD BAPTIST CHURCH","8550 S 49TH WEST AVE","",,"TULSA",OK,74131,,7:00 AM - 7:00 PM,,8811343
"THOMAS SENIOR CITIZENS' CENTER","101 1/2 NORTH MISSOURI","",,"THOMAS",OK,73669,,7:00 AM - 7:00 PM,,8811354
"TOPSY ASSEMBLY OF GOD CHURCH","40867 S 510 RD","",,"EUCHA",OK,74342,,7:00 AM - 7:00 PM,,8811368
"PUTNAM SENIOR CITIZENS CENTER","HI-WAY 183","PUTNAM, OK.",,"PUTNAM",OK,73659,,7:00 AM - 7:00 PM,,8811378
"FAY SCHOOL","--","",,"FAY",OK,73646,,7:00 AM - 7:00 PM,,8811385
"GAGE LIBRARY","510 N MAIN ST","",,"GAGE",OK,73843,,7:00 AM - 7:00 PM,,8811388
"GANTZ CENTER ROOM #100","100 S UNIVERSITY AVE","",,"ENID",OK,73701,,7:00 AM - 7:00 PM,,8811392
"CHISHOLM TRAIL EXPO CENTER","111 W PURDUE","",,"ENID",OK,73701,,7:00 AM - 7:00 PM,,8811401
"KREMLIN COMM UNITED METHODIST ","403 S 5TH","",,"KREMLIN",OK,73753,,7:00 AM - 7:00 PM,,8823873
"ELMORE CITY COMMUNITY CENTER","104 SOUTH MAIN","",,"ELMORE CITY",OK,73433,,7:00 AM - 7:00 PM,,8810214
"HENNEPIN COMMUNITY BUILDING","33789 N CR 3173","",,"HENNEPIN",OK,73444,,7:00 AM - 7:00 PM,,8810217
"MIDDLEBERG SCHOOL","2130 CR 1317","",,"BLANCHARD",OK,73010,,7:00 AM - 7:00 PM,,8810238
"NINNEKAH TOWN HALL","301 N OLD HWY 81","",,"NINNEKAH",OK,73067,,7:00 AM - 7:00 PM,,8810240
"CROSSROAD TO LIFE BAPTIST CH","1496 CS 2980","",,"BLANCHARD",OK,73010,,7:00 AM - 7:00 PM,,8810244
"NASH FIRE STATION CLASSROOM","115 N. MAIN","",,"NASH",OK,73761,,7:00 AM - 7:00 PM,,8810249
"CIVIC CENTER","208 WEST JONES","",,"HOLLIS",OK,73550,,7:00 AM - 7:00 PM,,8810269
"CIVIC CENTER","208 WEST JONES","",,"HOLLIS",OK,73550,,7:00 AM - 7:00 PM,,8810270
"GOULD COMMUNITY BUILDING","104 S. KENNEDY","",,"GOULD",OK,73544,,7:00 AM - 7:00 PM,,8810271
"MCCURTAIN SR. CITIZENS BLDG.","SOUTH SIDE, HWY. 31","",,"MCCURTAIN",OK,74944,,7:00 AM - 7:00 PM,,8810279
"KINTA COMMUNITY CENTER","SO. SIDE, HWY. 31","",,"KINTA",OK,74552,,7:00 AM - 7:00 PM,,8811235
"JEFFERSON COUNTY FAIR BARN","802 EAST D STREET","",,"WAURIKA",OK,73573,,7:00 AM - 7:00 PM,,8810323
"FIRST BAPTIST CHURCH","1ST & BRIDGE","",,"BLACKWELL",OK,74631,,7:00 AM - 7:00 PM,,8810343
"CHRIST'S CHURCH","1001 S. BOAZ","",,"NEWKIRK",OK,74647,,7:00 AM - 7:00 PM,,8810346
"BRAMAN TOWN HALL","302 BROADWAY","",,"BRAMAN",OK,74632,,7:00 AM - 7:00 PM,,8810349
"RANCH DRIVE VOL. FIRE DEPT.","3454 S. RANCH DRIVE","",,"PONCA CITY",OK,74601,,7:00 AM - 7:00 PM,,8810355
"VICTORY WORSHIP CENTER","618 EAST HARTFORD AVE","",,"PONCA CITY",OK,74601,,7:00 AM - 7:00 PM,,8810356
"FIRST CHURCH OF GOD","1101 WEST GRAND AVE","",,"PONCA CITY",OK,74601,,7:00 AM - 7:00 PM,,8811242
"OKARCHE HIGH SCHOOL","632 W. OKLAHOMA.","",,"OKARCHE",OK,73762,,7:00 AM - 7:00 PM,,8810557
"HOBART SCHOOL ADM. BLDG.","321 N. JEFFERSON","",,"HOBART",OK,73651,,7:00 AM - 7:00 PM,,8811753
"ROOSEVELT SENIOR CITIZEN","401 SOUTH MAIN","",,"ROOSEVELT",OK,73564,,7:00 AM - 7:00 PM,,8810378
"ROOSEVELT SENIOR CITIZEN","401 SOUTH MAIN","",,"ROOSEVELT",OK,73564,,7:00 AM - 7:00 PM,,8810379
"USWV COLONY ADMINISTRATION ","831 SE 172ND RD","",,"WILBURTON",OK,74578,,7:00 AM - 7:00 PM,,8810386
"PANOLA SCHOOL","5558 NE 104 RD","",,"WILBURTON",OK,74578,,7:00 AM - 7:00 PM,,8810389
"TUCKER COMMUNITY BLDG.","15335 RHINO RD","",,"TUCKER",OK,74941,,7:00 AM - 7:00 PM,,8810392
"PANAMA SR. CITIZENS BLDG.","309 MAIN ST","",,"PANAMA",OK,74951,,7:00 AM - 7:00 PM,,8810401
"BOB LEE KIDD III CIVIC CENTER","101 PIRATE LANE-POTEAU","",,"POTEAU",OK,74953,,7:00 AM - 7:00 PM,,8811732
"CLARK CHAPMAN COMM. CENTER","301 FIRST ST- TALIHINA","",,"TALIHINA",OK,74571,,7:00 AM - 7:00 PM,,8810413
"OCTAVIA BAPT CH FELLSHIP HALL","68623 US HWY 259","",,"OCTAVIA",OK,74957,,7:00 AM - 7:00 PM,,8810416
"STROUD CITY HALL","220 W. 2ND ST","",,"STROUD",OK,74079,,7:00 AM - 7:00 PM,,8810421
"FIRST ASSEMBLY OF GOD CHURCH","1/2 MI WEST OF WALMART","ON HWY 66",,"CHANDLER",OK,74834,,7:00 AM - 7:00 PM,,8810429
"SPARKS COMMUNITY BUILDING","1 BLOCK N. OF POST OFFICE","",,"SPARKS",OK,74869,,7:00 AM - 7:00 PM,,8810433
"PRAGUE FIRE DEPT. TRAIN. CTR.","1115 N. JIM THORPE BLVD.","",,"PRAGUE",OK,74864,,7:00 AM - 7:00 PM,,8811755
"FIRST ASSEMBLY OF GOD CHURCH","1900 S. DIVISION","",,"GUTHRIE",OK,73044,,7:00 AM - 7:00 PM,,8810454
"TURNER SCHOOL AUDITORIUM","HIGHWAY 32 WEST","",,"BURNEYVILLE",OK,73430,,7:00 AM - 7:00 PM,,8810460
"ROSEDALE FIRST BAPTIST CHURCH","37740 ARKANSAS AVE","",,"BYARS",OK,74831,,7:00 AM - 7:00 PM,,8810468
"BLANCHARD PUBLIC LIBRARY","205 NE 10TH STREET","",,"BLANCHARD",OK,73010,,7:00 AM - 7:00 PM,,8810476
"PURCELL FIRST BAPTIST CHURCH","400 MAIN ST","",,"PURCELL",OK,73080,,7:00 AM - 7:00 PM,,8810482
"CHAPEL OF THE PINES CHURCH","7 MI N BBOW ON HWY 259","HOCHATOWN",,"BROKEN BOW",OK,74728,,7:00 AM - 7:00 PM,,8810494
"CHURCH OF CHRIST","309 E. GENTRY","",,"CHECOTAH",OK,74426,,7:00 AM - 7:00 PM,,8810509
"TEXANNA FIRE DEPARTMENT","TEXANNA ROAD","",,"EUFAULA",OK,74432,,7:00 AM - 7:00 PM,,8810515
"KINGSTON SR. CITIZ. & COMM. BL","14 S. MAIN","",,"KINGSTON",OK,73439,,7:00 AM - 7:00 PM,,8828355
"ADAIR TOWN HALL","533 E MAIN ST","SUITE #4",,"ADAIR",OK,74330,,7:00 AM - 7:00 PM,,8810540
"1ST UNITED METHODIST LG","703 N HIGHWAY 82","",,"LOCUST GROVE",OK,74352,,7:00 AM - 7:00 PM,,8810556
"FIRST CHRISTIAN CHURCH YTH CTR","105 N VANN ST","",,"PRYOR",OK,74361,,7:00 AM - 7:00 PM,,8810550
"PRYOR CHURCH OF CHRIST","605 S COO-Y-YAH ST","",,"PRYOR",OK,74361,,7:00 AM - 7:00 PM,,8810553
"EASTERN HEIGHTS BAPTIST CHURCH","2401 HASKELL BLVD","",,"MUSKOGEE",OK,74403,,7:00 AM - 7:00 PM,,8810013
"SALVATION ARMY","700 INDEPENDENCE","",,"MUSKOGEE",OK,74403,,7:00 AM - 7:00 PM,,8810015
"YORK ST CHRISTIAN CHURCH","1125 S YORK","",,"MUSKOGEE",OK,74403,,7:00 AM - 7:00 PM,,8810016
"EMMANUEL PENTECOSTAL CHURCH","100 BUCE ST","",,"BRAGGS",OK,74423,,7:00 AM - 7:00 PM,,8810028
"FIRST ASSEMBLY OF GOD CHURCH","3100 GULICK","",,"MUSKOGEE",OK,74403,,7:00 AM - 7:00 PM,,8810030
"LIFEPOINT CHURCH","2200 S 32 ST","",,"MUSKOGEE",OK,74401,,7:00 AM - 7:00 PM,,8810031
"SUMMIT FIRST BAPTIST CHURCH","1ST & BROADWAY","",,"SUMMIT",OK,74401,,7:00 AM - 7:00 PM,,8810039
"CITIZENS STATE BANK","323 WEST BROADWAY","",,"OKEMAH",OK,74859,,7:00 AM - 7:00 PM,,8810064
"UNITED PENTECOSTAL CHURCH","104 E. BROADWAY","",,"OKEMAH",OK,74859,,7:00 AM - 7:00 PM,,8810069
"BETHANY 1ST CH OF THE NAZARENE","NW 41ST & N MUELLER","",,"OKLAHOMA CITY",OK,73008,,7:00 AM - 7:00 PM,,8811638
"CENTRAL 7TH DAY ADVENTIST CH","4747 NW 63RD ST","",,"OKLAHOMA CITY",OK,73132,,7:00 AM - 7:00 PM,,8811646
"CHURCH OF THE SAVIOR","5600 NW 63RD ST","",,"OKLAHOMA CITY",OK,73112,,7:00 AM - 7:00 PM,,8811813
"FIRST BAPTIST CHURCH OF NCP","1931 NICHOLS DR","",,"NICOMA PARK",OK,73066,,7:00 AM - 7:00 PM,,8811800
"WESTWOOD CHURCH OF CHRIST","3100 W DANFORTH RD","",,"EDMOND",OK,73012,,7:00 AM - 7:00 PM,,8811651
"EDMOND ROAD BAPTIST CHURCH","1207 W EDMOND RD","",,"EDMOND",OK,73003,,7:00 AM - 7:00 PM,,8811859
"CALVARY TEMPLE","1801 S KELLY AVE","",,"EDMOND",OK,73034,,7:00 AM - 7:00 PM,,8811656
"THE GARVEY CENTER","2501 E MEMORIAL RD","",,"OKLAHOMA CITY",OK,73136,,7:00 AM - 7:00 PM,,8811882
"PRESBYTERIAN CHURCH","1001 S RANKIN ST","",,"EDMOND",OK,73034,,7:00 AM - 7:00 PM,,8811657
"CROSS TIMBERS CHURCH","4201 E MEMORIAL RD","",,"EDMOND",OK,73013,,7:00 AM - 7:00 PM,,8811907
"LIFE CHURCH","4500 E 2ND STREET","",,"EDMOND",OK,73034,,7:00 AM - 7:00 PM,,8811908
"ST JAMES A M E CHURCH","700 N MAIN ST (ARCADIA)","",,"ARCADIA",OK,73007,,7:00 AM - 7:00 PM,,8811913
"LIFE CHURCH. TV","6809 E RENO","",,"MIDWEST CITY",OK,73110,,7:00 AM - 7:00 PM,,8811787
"SOONER BAPTIST CHURCH","5824 SE 15TH ST","",,"MIDWEST CITY",OK,73110,,7:00 AM - 7:00 PM,,8810106
"RIDGECREST CHURCH OF CHRIST","500 N AIR DEPOT","",,"MIDWEST CITY",OK,73110,,7:00 AM - 7:00 PM,,8811669
"CARL ALBERT MIDDLE SCHOOL","2515 S POST RD","",,"MIDWEST CITY",OK,73110,,7:00 AM - 7:00 PM,,8811674
"ALL SOULS FAMILY LIFE CENTER","6404 N PENNSYLVANIA AVE","",,"OKLAHOMA CITY",OK,73116,,7:00 AM - 7:00 PM,,8811886
"OUR LORD'S LUTHERAN CHURCH","2900 W HEFNER RD","",,"OKLAHOMA CITY",OK,73120,,7:00 AM - 7:00 PM,,8811856
"BRIDGEWAY CHURCH","228 W HEFNER RD","",,"OKLAHOMA CITY",OK,73114,,7:00 AM - 7:00 PM,,8811902
"THE FOUNTAINS AT CANTERBURY","1404 NW 122ND ST","",,"OKLAHOMA CITY",OK,73114,,7:00 AM - 7:00 PM,,8811900
"CHAPEL HILL UNITED METHODIST","2717 WEST HEFNER RD","",,"OKLAHOMA CITY",OK,73120,,7:00 AM - 7:00 PM,,8811899
"ST ELIJAH ANTIOCHIAN CHURCH","15000 N MAY AVE","",,"OKLAHOMA CITY",OK,73134,,7:00 AM - 7:00 PM,,8811693
"FRANCIS TUTTLE TECHNOLOGY CTR","12777 N ROCKWELL AVE","",,"OKLAHOMA CITY",OK,73142,,7:00 AM - 7:00 PM,,8811864
"EPISCOPAL CH OF RESURRECTION","13112 N ROCKWELL AVE","",,"OKLAHOMA CITY",OK,73142,,7:00 AM - 7:00 PM,,8811889
"OUR LORD'S LUTHERAN CHURCH","2900 W. HEFNER RD","",,"OKLAHOMA CITY",OK,73120,,7:00 AM - 7:00 PM,,8811893
"NEW HOPE CHURCH","11600 N COUNCIL RD","",,"OKLAHOMA CITY",OK,73162,,7:00 AM - 7:00 PM,,8811866
"HEFNER MANSIONS","7700 W HEFNER ROAD","",,"OKLAHOMA CITY",OK,73162,,7:00 AM - 7:00 PM,,8811412
"CHEROKEE HILLS BAPTIST CHURCH	","5700 NW 63RD","",,"OKLAHOMA CITY",OK,73132,,7:00 AM - 7:00 PM,,8811905
"HIGHLAND HILLS BAPTIST CHURCH","7900 DEVORE DRIVE","",,"OKLAHOMA CITY",OK,73162,,7:00 AM - 7:00 PM,,8811683
