precinct_id,polling_location_id
77010001,8811612
77010002,8811613
77010003,8811614
77010004,8811615
77010005,8821685
77010006,8811617
77010007,8811618
77010008,8811619
77010010,8811620
77010011,8811621
77010012,8811622
77010013,8811623
77010014,8811624
77010016,8811625
77010017,8811626
77010018,8811627
77010019,8811628
77020110,8811629
77020120,8826533
77020140,8811586
77020220,8810717
77020230,8811587
77020310,8811588
77020320,8824186
77020330,8810194
77030001,8811589
77030002,8811590
77030003,8811591
77030006,8811592
77030007,8811162
77030008,8811593
77030009,8811594
77030010,8823706
77030011,8811596
77030012,8811163
77030013,8811597
77030014,8811598
77030015,8810512
77030016,8810508
77030019,8810524
77040011,8824493
77040013,8811599
77040023,8811600
77040025,8811165
77040026,8811601
77040031,8811602
77040033,8811166
77050111,8811603
77050112,8811604
77050115,8811167
77050141,8811757
77050231,8825905
77050232,8825907
77050235,8811606
77050242,8811874
77050320,8811168
77050330,8811759
77050332,8811607
77050333,8811608
77050343,8811609
77060002,8811169
77060007,8811610
77060010,8811611
77060011,8811170
77060012,8811631
77060016,8811632
77060017,8810665
77060020,8811171
77060022,8811633
77070003,8811634
77070004,8829832
77070005,8811635
77070008,8811636
77070010,8830754
77070011,8811245
77070013,8811246
77070014,8811247
77070015,8811248
77070017,8811249
77070018,8813361
77070019,8811251
77070020,8811252
77070021,8811253
77070022,8811254
77070023,8811255
77070025,8811256
77070026,8811257
77070027,8811258
77070028,8811259
77070029,8811260
77070033,8811261
77080012,8811262
77080022,8811263
77080031,8811264
77080041,8811265
77080051,8811266
77080102,8811173
77080509,8811267
77080510,8810673
77080511,8811268
77080712,8811269
77080715,8810247
77080810,8811271
77080811,8811271
77080812,8811272
77081009,8811273
77081010,8811274
77081011,8810674
77081013,8811275
77081111,8811276
77081213,8811176
77090100,8811277
77090102,8811278
77090106,8811279
77090107,8811177
77090109,8811177
77090114,8811280
77090116,8821223
77090124,8811282
77090200,8811283
77090201,8811284
77090202,8813281
77090204,8811178
77090206,8811285
77090208,8811286
77090209,8810103
77090210,8811179
77090211,8810104
77090214,8811287
77090215,8810672
77090216,8811288
77090217,8811180
77090218,8813199
77090220,8811289
77090221,8821226
77090223,8811291
77090224,8821230
77090225,8811293
77090226,8811181
77090227,8811294
77090228,8810105
77090300,8811295
77090301,8811296
77090302,8811297
77090303,8813259
77090304,8811411
77090306,8810719
77090308,8813201
77090309,8813201
77090400,8811413
77090403,8811414
77090404,8811415
77090406,8811416
77090408,8811417
77090409,8811417
77090502,8811418
77090503,8811419
77090504,8811420
77090506,8811421
77100001,8811422
77100002,8811423
77100007,8811424
77100011,8811425
77100014,8811426
77100015,8811427
77100017,8811428
77100019,8811429
77100020,8811430
77100024,8811431
77100025,8811432
77100026,8829215
77100030,8811434
77100031,8811435
77100032,8811182
77100033,8811436
77100034,8811437
77100039,8811438
77100041,8811439
77100051,8811183
77100052,8811440
77100061,8811441
77100062,8811184
77100063,8811442
77100071,8811443
77110001,8811444
77110002,8811445
77110003,8811446
77110004,8811185
77110005,8811447
77110006,8811448
77110007,8811449
77110008,8811450
77110009,8811451
77110010,8811186
77110011,8811452
77110012,8811453
77110013,8811454
77110014,8811455
77110015,8811187
77110016,8811456
77110017,8811188
77110018,8811458
77110019,8811188
77110020,8824626
77110021,8811460
77110022,8811461
77110023,8811462
77110025,8811463
77120101,8811464
77120104,8811189
77120105,8828550
77120106,8811876
77120207,8811466
77120208,8811190
77120209,8811467
77120210,8811191
77120211,8811468
77120214,8811469
77120215,8811470
77120316,8811471
77120318,8811472
77120319,8811473
77120320,8811474
77120321,8811475
77120322,8811476
77130002,8811477
77130003,8811478
77130004,8811479
77130005,8811480
77130006,8811481
77130007,8811482
77140002,8811483
77140003,8811484
77140004,8811485
77140005,8811486
77140006,8811487
77140007,8811488
77140008,8811489
77140009,8811490
77140010,8811491
77140011,8811492
77140012,8811493
77140013,8830770
77140014,8811495
77140015,8811496
77140016,8811920
77140017,8811497
77140018,8811192
77140019,8811498
77140020,8826060
77140021,8811500
77140022,8811501
77140024,8821875
77140025,8811503
77140026,8810682
77140027,8811193
77140028,8810706
77140029,8811504
77140030,8811505
77140032,8811194
77140034,8811506
77140035,8811507
77140036,8811508
77140037,8811195
77140038,8811509
77140039,8810688
77140040,8811196
77140041,8811510
77140042,8811511
77140043,8811512
77140044,8811513
77140045,8811514
77140047,8811515
77140048,8811516
77140049,8811517
77140050,8813583
77140051,8811197
77140053,8811519
77140054,8811520
77140055,8811521
77140056,8811198
77140057,8811522
77140058,8811523
77140059,8811524
77140060,8811525
77140061,8811199
77140063,8811502
77140064,8811527
77140065,8811528
77140067,8811530
77140068,8811531
77140069,8811532
77140070,8811533
77140071,8811534
77140072,8811535
77140073,8811536
77140074,8811537
77140076,8811538
77140077,8810689
77140078,8811539
77140080,8824534
77140081,8811540
77140082,8811541
77140083,8824595
77140086,8811543
77140087,8811544
77140088,8811545
77140089,8811546
77140090,8811195
77140091,8811521
77140092,8811198
77140093,8811507
77140094,8813485
77140095,8810877
77150002,8811547
77150003,8811548
77150004,8811549
77150005,8811550
77150006,8811551
77150007,8811552
77150009,8811553
77150010,8811200
77150011,8811554
77160001,8811555
77160002,8811556
77160003,8811557
77160007,8811558
77160008,8811559
77160009,8811201
77160011,8811560
77160013,8811561
77160014,8811562
77160015,8824630
77160017,8824334
77160019,8811564
77160020,8811565
77160021,8824685
77160025,8811567
77160026,8811568
77160027,8811569
77160029,8811570
77160030,8811571
77160031,8811204
77160032,8811572
77160033,8811573
77160034,8824332
77160035,8811205
77160036,8811575
77160037,8811576
77160038,8828996
77160039,8831290
77160040,8811206
77160041,8811579
77160042,8811580
77160043,8811581
77160045,8811207
77160046,8811582
77160048,8811583
77160049,8811584
77160050,8811585
77160051,8811298
77170001,8811299
77170003,8811301
77170004,8811302
77170005,8811303
77170007,8810693
77170008,8811304
77170009,8830130
77170010,8811306
77170011,8811307
77180140,8811308
77180320,8810690
77180410,8811309
77180520,8811310
77180611,8811311
77180612,8811312
77180621,8811313
77180622,8811314
77180710,8811315
77180810,8811317
